# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
3.4089109244209154e-13	0.15506262	-9.475388e-09	0.98788834	-6.975808e-17	-2.9975745e+06	300
3.4089109244209154e-13	0.15506263	-9.475388e-09	0.98788834	-6.9758087e-17	-3.2972888e+06	300
1.0226732773262746e-12	0.15506262	-3.0369485e-08	0.98788834	-6.9758087e-17	-3.2972888e+06	300
1.0226732773262746e-12	0.15506262	-3.0369485e-08	0.98788834	-6.975807e-17	-3.6269705e+06	300
2.3862376470946408e-12	0.15506262	-7.5810625e-08	0.98788834	-6.975808e-17	-3.6269705e+06	300
2.3862376470946408e-12	0.15506262	-7.5810625e-08	0.98788834	-6.9758073e-17	-3.9896152e+06	300
5.113366386631373e-12	0.15506265	-1.6631763e-07	0.98788834	-6.9758087e-17	-3.9896152e+06	300
5.113366386631373e-12	0.15506266	-1.6631763e-07	0.98788834	-6.9758073e-17	-4.3885195e+06	300
5.113366386631373e-12	0.15506265	-1.6631765e-07	0.98788834	-6.9758073e-17	-4.3885195e+06	300
5.213366386631373e-12	0.15506266	-1.6959743e-07	0.9878883	-6.975808e-17	-4.3885195e+06	300
5.213366386631373e-12	0.15506265	-1.6959743e-07	0.9878883	-6.975807e-17	-4.827308e+06	300
5.413366386631373e-12	0.15506265	-1.7673972e-07	0.98788834	-6.9758087e-17	-4.827308e+06	300
5.413366386631373e-12	0.15506265	-1.7673972e-07	0.98788834	-6.9758073e-17	-5.3099695e+06	300
5.813366386631373e-12	0.15506266	-1.9266248e-07	0.9878883	-6.9758087e-17	-5.3099695e+06	300
5.813366386631373e-12	0.15506265	-1.9266248e-07	0.9878883	-6.9758073e-17	-5.8408895e+06	300
6.613366386631373e-12	0.15506266	-2.2690507e-07	0.9878883	-6.9758087e-17	-5.8408895e+06	300
6.613366386631373e-12	0.15506266	-2.2690507e-07	0.98788834	-6.9758073e-17	-6.4248935e+06	300
7.995508898844746e-12	0.15506269	-2.8493844e-07	0.9878883	-6.9758087e-17	-6.4248935e+06	300
7.995508898844746e-12	0.15506269	-2.8493844e-07	0.9878883	-6.9758073e-17	-7.0672895e+06	300
9.368849355819421e-12	0.15506274	-3.3842903e-07	0.9878883	-6.9758073e-17	-7.0672895e+06	300
9.368849355819421e-12	0.15506274	-3.3842906e-07	0.9878883	-6.9758073e-17	-7.773916e+06	300
1.0476090822611222e-11	0.15506278	-3.798282e-07	0.9878883	-6.9758073e-17	-7.773916e+06	300
1.0476090822611222e-11	0.15506278	-3.798282e-07	0.9878883	-6.9758073e-17	-8.551194e+06	300
1.1398433473837451e-11	0.15506281	-4.1419693e-07	0.9878883	-6.975808e-17	-8.551194e+06	300
1.1398433473837451e-11	0.15506281	-4.141969e-07	0.9878883	-6.975808e-17	-9.406188e+06	300
1.2308214442936218e-11	0.15506285	-4.4871348e-07	0.9878883	-6.975808e-17	-9.406188e+06	300
1.2308214442936218e-11	0.15506285	-4.4871348e-07	0.9878883	-6.975808e-17	-1.0346669e+07	300
1.3259848535907789e-11	0.1550629	-4.857826e-07	0.9878883	-6.975808e-17	-1.0346669e+07	300
1.3259848535907789e-11	0.1550629	-4.857826e-07	0.9878882	-6.975808e-17	-1.1381183e+07	300
1.4252412450107405e-11	0.15506293	-5.2564553e-07	0.9878883	-6.9758053e-17	-1.1381183e+07	300
1.4252412450107405e-11	0.15506294	-5.2564553e-07	0.9878883	-6.975808e-17	-1.2519133e+07	300
1.5276832562282847e-11	0.155063	-5.680454e-07	0.9878883	-6.9758053e-17	-1.2519133e+07	300
1.5276832562282847e-11	0.155063	-5.680454e-07	0.9878882	-6.9758053e-17	-1.377086e+07	300
1.6320565401315713e-11	0.15506303	-6.12185e-07	0.9878883	-6.975806e-17	-1.377086e+07	300
1.6320565401315713e-11	0.15506303	-6.1218503e-07	0.9878883	-6.975806e-17	-1.5147741e+07	300
1.7371123247129342e-11	0.1550631	-6.587331e-07	0.9878882	-6.9758073e-17	-1.5147741e+07	300
1.7371123247129342e-11	0.1550631	-6.587331e-07	0.9878882	-6.9758073e-17	-1.6662288e+07	300
1.842146420867767e-11	0.15506315	-7.0936693e-07	0.9878882	-6.9758073e-17	-1.6662288e+07	300
1.842146420867767e-11	0.15506315	-7.093669e-07	0.9878882	-6.975807e-17	-1.8328264e+07	300
1.9468936314567234e-11	0.15506321	-7.6421424e-07	0.9878882	-6.9758087e-17	-1.8328264e+07	300
1.9468936314567234e-11	0.15506321	-7.642142e-07	0.9878882	-6.9758073e-17	-2.0160814e+07	300
2.0510520734100342e-11	0.15506329	-8.226822e-07	0.9878882	-6.9758073e-17	-2.0160814e+07	300
2.0510520734100342e-11	0.1550633	-8.226822e-07	0.9878882	-6.975805e-17	-2.2176586e+07	300
2.154448656742759e-11	0.15506335	-8.8560085e-07	0.9878882	-6.975806e-17	-2.2176586e+07	300
2.154448656742759e-11	0.15506336	-8.8560085e-07	0.9878882	-6.975806e-17	-2.4393904e+07	300
2.2574039691494365e-11	0.15506342	-9.56284e-07	0.9878882	-6.975807e-17	-2.4393904e+07	300
2.2574039691494365e-11	0.15506342	-9.56284e-07	0.9878883	-6.975807e-17	-2.6832916e+07	300
2.36000038251962e-11	0.1550635	-1.0353057e-06	0.9878882	-6.975807e-17	-2.6832916e+07	300
2.36000038251962e-11	0.1550635	-1.0353057e-06	0.9878882	-6.975807e-17	-2.9515788e+07	300
2.4623299385877542e-11	0.15506357	-1.1226502e-06	0.98788816	-6.9758087e-17	-2.9515788e+07	300
