# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1.3e+06
2.5e-13	0.1596749	5.8908605e-05	0.9871697	300.00015	2.530205e+10	1.2999999e+06
5e-13	0.15970622	0.00015599576	0.98716456	300.00052	4.1452323e+10	1.2999994e+06
7.999999999999999e-13	0.15976204	0.0003428268	0.9871555	300.0015	6.621365e+10	1.299998e+06
1.05e-12	0.15983121	0.0005857158	0.9871441	300.00388	1.03122076e+11	1.299995e+06
1.3e-12	0.15993337	0.00095473893	0.98712736	300.00937	1.56589e+11	1.2999879e+06
1.5499999999999999e-12	0.16008075	0.0015013139	0.9871029	300.0214	2.3183358e+11	1.2999722e+06
1.7999999999999998e-12	0.16028798	0.0022905692	0.98706764	300.04642	3.3465467e+11	1.2999396e+06
2.05e-12	0.16057181	0.0034017225	0.98701847	300.09598	4.710022e+11	1.2998752e+06
2.3e-12	0.16094969	0.004926905	0.9869504	300.18927	6.463302e+11	1.2997539e+06
2.55e-12	0.16143845	0.006968006	0.98685825	300.35623	8.647517e+11	1.2995369e+06
2.7999999999999998e-12	0.16205186	0.009631221	0.9867353	300.64017	1.1280645e+12	1.2991675e+06
3.0499999999999997e-12	0.16279773	0.01301928	0.98657364	301.0992	1.4347686e+12	1.2985702e+06
3.2999999999999997e-12	0.16367483	0.017221771	0.98636395	301.8047	1.7792432e+12	1.2976518e+06
3.5499999999999996e-12	0.16467015	0.022304285	0.9860965	302.8352	2.1512665e+12	1.296309e+06
3.8e-12	0.16575617	0.028297588	0.98576075	304.266	2.5360547e+12	1.2944424e+06
4.05e-12	0.16688968	0.035188153	0.9853476	306.15405	2.9149322e+12	1.291975e+06
4.3e-12	0.16801216	0.042911585	0.98485047	308.52194	3.2666592e+12	1.2888739e+06
4.55e-12	0.16905104	0.051350124	0.9842687	311.34402	3.569313e+12	1.2851681e+06
4.8e-12	0.16992356	0.060335256	0.9836086	314.54	3.802515e+12	1.2809585e+06
5.05e-12	0.17054167	0.069655664	0.98288536	317.9786	3.9496875e+12	1.2764139e+06
5.3e-12	0.17081815	0.07907027	0.98212487	321.49268	4e+12	1.2717526e+06
5.5499999999999996e-12	0.17067283	0.088324964	0.98136103	324.90244	3.9496875e+12	1.2672134e+06
5.7999999999999995e-12	0.170039	0.09717147	0.98063475	328.04214	3.802515e+12	1.2630192e+06
6.0499999999999995e-12	0.16886844	0.105385184	0.9799886	330.78326	3.569313e+12	1.2593461e+06
6.2999999999999994e-12	0.16713487	0.11278068	0.97946227	333.04895	3.2666592e+12	1.256302e+06
6.549999999999999e-12	0.16483508	0.11922187	0.9790892	334.81757	2.9149322e+12	1.2539205e+06
6.799999999999999e-12	0.16198833	0.124626584	0.97889125	336.11563	2.5360547e+12	1.2521698e+06
7.049999999999999e-12	0.15863349	0.12896532	0.9788786	337.00378	2.1512665e+12	1.2509705e+06
7.3e-12	0.15482491	0.13225512	0.97904956	337.56027	1.7792432e+12	1.2502185e+06
7.500000000000003e-12	0.15147318	0.1341059	0.979322	337.86615	1.4347686e+12	1.249805e+06
7.750000000000007e-12	0.14701813	0.13567017	0.9797854	337.99445	1.1280645e+12	1.2496315e+06
8.000000000000011e-12	0.14230256	0.13639642	0.9803806	338.00452	8.647517e+11	1.2496179e+06
8.250000000000015e-12	0.1373959	0.13638459	0.9810819	337.94052	6.463302e+11	1.2497044e+06
8.500000000000019e-12	0.13236259	0.13573384	0.98186386	337.83286	4.710022e+11	1.24985e+06
8.750000000000023e-12	0.12726031	0.1345364	0.9827028	337.701	3.3465467e+11	1.2500282e+06
9.000000000000027e-12	0.122138865	0.13287401	0.9835786	337.5566	2.3183358e+11	1.2502235e+06
9.250000000000031e-12	0.11704017	0.130816	0.98447406	337.40625	1.56589e+11	1.2504266e+06
9.500000000000035e-12	0.11199875	0.12841924	0.98537546	337.25342	1.03122076e+11	1.2506332e+06
9.750000000000039e-12	0.10704261	0.12572922	0.9862729	337.09982	6.621365e+10	1.2508408e+06
1.0000000000000043e-11	0.10219412	0.12278145	0.98715794	336.9463	4.1452323e+10	1.2510482e+06
1.0250000000000047e-11	0.09747135	0.11960345	0.98802555	336.79312	2.530205e+10	1.2512551e+06
1.0500000000000051e-11	0.09288872	0.116216585	0.98887074	336.6405	1.5058025e+10	1.2514611e+06
1.0750000000000055e-11	0.08845823	0.11263769	0.98969084	336.4885	8.737473e+09	1.2516665e+06
1.1000000000000059e-11	0.08418978	0.10888053	0.99048334	336.3371	4.9432105e+09	1.2518709e+06
1.1250000000000063e-11	0.08009184	0.104956634	0.99124634	336.1863	2.7267028e+09	1.2520744e+06
1.1500000000000067e-11	0.076171905	0.10087644	0.9919787	336.03616	1.4664662e+09	1.252277e+06
1.1750000000000071e-11	0.07243656	0.09664944	0.9926792	335.88663	7.689742e+08	1.2524789e+06
1.2000000000000075e-11	0.06889173	0.09228486	0.99334663	335.73773	3.931488e+08	1.2526798e+06
1.2250000000000079e-11	0.06554284	0.087791786	0.99398035	335.58945	1.9597813e+08	1.2528798e+06
1.2500000000000083e-11	0.06239479	0.08317924	0.9945794	335.44177	9.524973e+07	1.253079e+06
1.2750000000000087e-11	0.059452023	0.078456365	0.9951433	335.2947	4.513624e+07	1.2532772e+06
1.3000000000000091e-11	0.05671859	0.07363235	0.99567133	335.14825	2.0854148e+07	1.2534748e+06
1.3250000000000095e-11	0.05419806	0.0687165	0.99616295	335.0024	9.394313e+06	1.2536714e+06
1.3500000000000099e-11	0.051893625	0.06371832	0.9966178	334.85718	4.1261318e+06	1.2538671e+06
1.3750000000000103e-11	0.04980798	0.058647342	0.99703544	334.71252	1.7669596e+06	1.254062e+06
1.4000000000000107e-11	0.047943413	0.053513203	0.99741554	334.5685	737760.94	1.2542561e+06
1.425000000000011e-11	0.046301775	0.048325613	0.99775785	334.42505	300337.9	1.2544494e+06
1.4500000000000115e-11	0.04488448	0.043094315	0.9980622	334.28223	119209.29	1.2546419e+06
1.4750000000000114e-11	0.043692496	0.037829105	0.9983286	334.13995	46133.41	1.2548334e+06
1.500000000000011e-11	0.04272642	0.032539725	0.99855673	333.99832	17407.102	1.2550242e+06
1.5250000000000106e-11	0.0419863	0.027235936	0.9987469	333.85724	6403.8755	1.2552141e+06
1.55000000000001e-11	0.041471805	0.02192751	0.99889904	333.71674	2297.02	1.2554032e+06
1.5750000000000097e-11	0.04118213	0.01662411	0.99901336	333.71674	2297.02	1.2554032e+06
1.6000000000000093e-11	0.04111604	0.011335396	0.99909014	333.57684	803.32654	1.2555916e+06
1.625000000000009e-11	0.0412719	0.006070833	0.9991294	333.43753	273.92078	1.2557791e+06
1.6500000000000085e-11	0.041647673	0.0008398079	0.9991321	333.29877	91.067474	1.2559659e+06
1.675000000000008e-11	0.04224086	-0.0043484215	0.99909794	333.1606	29.51937	1.2561518e+06
1.7000000000000077e-11	0.043048616	-0.009484756	0.9990281	333.023	9.329457	1.2563369e+06
1.7250000000000073e-11	0.044067673	-0.014560276	0.99892247	333.023	9.329457	1.2563369e+06
1.750000000000007e-11	0.045294378	-0.01956618	0.9987821	332.886	2.874823	1.2565211e+06
1.7750000000000065e-11	0.046724763	-0.024494	0.9986075	332.74954	0.8637168	1.2567046e+06
1.800000000000006e-11	0.048354425	-0.029335443	0.9983993	332.61365	0.25300965	1.2568874e+06
