# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
4.0594647171260697e-13	0.15506259	-6.845517e-08	0.98788834	-6.975808e-17	-1.7985446e+07	300
4.0594647171260697e-13	0.15506259	-6.845517e-08	0.98788834	-6.975807e-17	-2.0228572e+07	300
1.2178394151378209e-12	0.15506256	-2.256642e-07	0.98788834	-6.9758087e-17	-2.0228572e+07	300
1.2178394151378209e-12	0.15506256	-2.256642e-07	0.98788834	-6.9758073e-17	-2.2751456e+07	300
2.8416253019882486e-12	0.15506256	-5.707838e-07	0.98788834	-6.975808e-17	-2.2751456e+07	300
2.8416253019882486e-12	0.15506256	-5.7078387e-07	0.98788834	-6.975808e-17	-2.5588992e+07	300
2.8416253019882486e-12	0.15506256	-5.707838e-07	0.98788834	-6.975808e-17	-2.5588992e+07	300
3.0416253019882485e-12	0.15506257	-6.170665e-07	0.98788834	-6.975807e-17	-2.5588992e+07	300
3.0416253019882485e-12	0.15506256	-6.170665e-07	0.98788834	-6.975807e-17	-2.878042e+07	300
3.4416253019882484e-12	0.15506259	-7.2028314e-07	0.98788834	-6.9758087e-17	-2.878042e+07	300
3.4416253019882484e-12	0.15506259	-7.2028314e-07	0.98788834	-6.975807e-17	-3.236988e+07	300
4.241625301988248e-12	0.15506263	-9.469363e-07	0.9878883	-6.975808e-17	-3.236988e+07	300
4.241625301988248e-12	0.15506262	-9.469363e-07	0.98788834	-6.975807e-17	-3.6407012e+07	300
5.841625301988248e-12	0.15506276	-1.4201548e-06	0.98788834	-6.975808e-17	-3.6407012e+07	300
5.841625301988248e-12	0.15506278	-1.4201548e-06	0.98788834	-6.9758073e-17	-4.0947644e+07	300
5.841625301988248e-12	0.15506276	-1.420155e-06	0.98788834	-6.9758073e-17	-4.0947644e+07	300
6.041625301988248e-12	0.1550628	-1.4827224e-06	0.98788834	-6.975808e-17	-4.0947644e+07	300
6.041625301988248e-12	0.1550628	-1.4827224e-06	0.9878883	-6.9758053e-17	-4.605458e+07	300
6.441625301988248e-12	0.15506285	-1.6237062e-06	0.98788834	-6.975808e-17	-4.605458e+07	300
6.441625301988248e-12	0.15506285	-1.6237062e-06	0.98788834	-6.975808e-17	-5.1798444e+07	300
7.2416253019882476e-12	0.15506297	-1.932497e-06	0.9878883	-6.9758053e-17	-5.1798444e+07	300
7.2416253019882476e-12	0.15506297	-1.932497e-06	0.9878883	-6.9758053e-17	-5.8258668e+07	300
8.841625301988248e-12	0.15506329	-2.5644108e-06	0.9878882	-6.975809e-17	-5.8258668e+07	300
8.841625301988248e-12	0.15506329	-2.5644108e-06	0.9878882	-6.975809e-17	-6.5524596e+07	300
8.841625301988248e-12	0.1550633	-2.5644108e-06	0.9878882	-6.975809e-17	-6.5524596e+07	300
9.041625301988248e-12	0.15506333	-2.6483356e-06	0.9878883	-6.9758087e-17	-6.5524596e+07	300
9.041625301988248e-12	0.15506335	-2.6483356e-06	0.9878882	-6.9758087e-17	-7.369672e+07	300
9.441625301988248e-12	0.15506345	-2.8404995e-06	0.9878882	-6.975807e-17	-7.369672e+07	300
9.441625301988248e-12	0.15506344	-2.8404997e-06	0.9878882	-6.975807e-17	-8.288804e+07	300
1.0241625301988248e-11	0.15506366	-3.2659752e-06	0.98788816	-6.975806e-17	-8.288804e+07	300
1.0241625301988248e-11	0.15506364	-3.2659752e-06	0.98788816	-6.975806e-17	-9.322569e+07	300
1.1841625301988247e-11	0.1550642	-4.141132e-06	0.987888	-6.975808e-17	-9.322569e+07	300
1.1841625301988247e-11	0.1550642	-4.141132e-06	0.987888	-6.9758073e-17	-1.0485261e+08	300
1.1841625301988247e-11	0.1550642	-4.141132e-06	0.987888	-6.9758073e-17	-1.0485261e+08	300
1.2041625301988247e-11	0.15506425	-4.2583542e-06	0.987888	-6.975808e-17	-1.0485261e+08	300
1.2041625301988247e-11	0.15506425	-4.2583542e-06	0.987888	-6.975808e-17	-1.1792961e+08	300
1.2441625301988247e-11	0.1550644	-4.5321185e-06	0.987888	-6.975808e-17	-1.1792961e+08	300
1.2441625301988247e-11	0.15506443	-4.532118e-06	0.987888	-6.9758073e-17	-1.3263752e+08	300
1.3241625301988247e-11	0.15506473	-5.1469633e-06	0.9878879	-6.975809e-17	-1.3263752e+08	300
1.3241625301988247e-11	0.15506473	-5.146963e-06	0.9878879	-6.975808e-17	-1.4917974e+08	300
1.457526725030514e-11	0.15506539	-6.2360923e-06	0.98788786	-6.9758073e-17	-1.4917974e+08	300
1.457526725030514e-11	0.15506539	-6.2360923e-06	0.98788786	-6.9758073e-17	-1.6778506e+08	300
1.590878128862905e-11	0.15506619	-7.3491037e-06	0.98788774	-6.9758073e-17	-1.6778506e+08	300
1.590878128862905e-11	0.15506619	-7.3491037e-06	0.98788774	-6.9758073e-17	-1.8871074e+08	300
1.70120105485339e-11	0.15506697	-8.300008e-06	0.9878876	-6.975808e-17	-1.8871074e+08	300
1.70120105485339e-11	0.15506697	-8.300008e-06	0.9878876	-6.975806e-17	-2.1224616e+08	300
1.794811879591815e-11	0.1550677	-9.167858e-06	0.98788744	-6.975808e-17	-2.1224616e+08	300
1.794811879591815e-11	0.15506771	-9.167858e-06	0.98788744	-6.975808e-17	-2.3871678e+08	300
1.886799621036745e-11	0.15506846	-1.0105729e-05	0.9878874	-6.975806e-17	-2.3871678e+08	300
1.886799621036745e-11	0.15506846	-1.0105729e-05	0.9878874	-6.9758087e-17	-2.6848867e+08	300
1.9825116741797517e-11	0.1550693	-1.1187208e-05	0.98788726	-6.975806e-17	-2.6848867e+08	300
1.9825116741797517e-11	0.15506932	-1.1187207e-05	0.9878873	-6.9758053e-17	-3.0197347e+08	300
2.0819502452389257e-11	0.15507029	-1.2433042e-05	0.987887	-6.9758087e-17	-3.0197347e+08	300
2.0819502452389257e-11	0.15507028	-1.2433042e-05	0.987887	-6.975808e-17	-3.396343e+08	300
2.184166842402295e-11	0.15507138	-1.385183e-05	0.9878869	-6.975808e-17	-3.396343e+08	300
2.184166842402295e-11	0.15507141	-1.385183e-05	0.9878869	-6.975808e-17	-3.8199184e+08	300
2.2879482753735854e-11	0.15507261	-1.5452151e-05	0.9878868	-6.975808e-17	-3.8199184e+08	300
2.2879482753735854e-11	0.15507261	-1.5452151e-05	0.9878868	-6.975808e-17	-4.296318e+08	300
2.3920282165879043e-11	0.15507397	-1.7240072e-05	0.9878865	-6.97581e-17	-4.296318e+08	300
2.3920282165879043e-11	0.15507397	-1.7240072e-05	0.9878865	-6.97581e-17	-4.8321296e+08	300
2.4957242832004405e-11	0.15507546	-1.9230785e-05	0.9878863	-6.975807e-17	-4.8321296e+08	300
2.4957242832004405e-11	0.15507546	-1.9230785e-05	0.9878863	-6.975807e-17	-5.434761e+08	300
2.598865304431222e-11	0.15507707	-2.145321e-05	0.987886	-6.975808e-17	-5.434761e+08	300
2.598865304431222e-11	0.15507708	-2.145321e-05	0.987886	-6.975808e-17	-6.112545e+08	300
2.701673201189387e-11	0.15507887	-2.3947461e-05	0.98788583	-6.975806e-17	-6.112545e+08	300
2.701673201189387e-11	0.15507887	-2.3947461e-05	0.98788583	-6.9758073e-17	-6.874853e+08	300
2.8043507292777857e-11	0.15508087	-2.6760128e-05	0.9878854	-6.9758073e-17	-6.874853e+08	300
