# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1.3e+06
2.5e-13	0.15962714	-7.629641e-05	0.9871774	300	2.530205e+10	1.3e+06
5e-13	0.15958695	-0.00020035976	0.9871839	300.00018	4.1452323e+10	1.2999998e+06
7.999999999999999e-13	0.15951218	-0.0004471435	0.9871959	300.00067	6.621365e+10	1.2999991e+06
1.05e-12	0.1594175	-0.0007752212	0.9872111	300.00238	1.12334496e+11	1.2999969e+06
1.3e-12	0.15928106	-0.0012647706	0.98723257	300.0056	1.697164e+11	1.2999928e+06
1.5499999999999999e-12	0.15908892	-0.0019768337	0.9872623	300.01263	2.5e+11	1.2999835e+06
1.7999999999999998e-12	0.15882461	-0.0029866048	0.98730236	300.02713	3.5905556e+11	1.2999648e+06
2.05e-12	0.15847045	-0.0043827896	0.9873539	300.05554	5.0279252e+11	1.2999278e+06
2.3e-12	0.15800881	-0.006265153	0.98741776	300.10846	6.8646974e+11	1.299859e+06
2.55e-12	0.15742384	-0.008739823	0.9874925	300.20224	9.138176e+11	1.299737e+06
2.7999999999999998e-12	0.15670462	-0.011912278	0.9875737	300.3602	1.1860502e+12	1.2995316e+06
3.0499999999999997e-12	0.15584771	-0.0158782	0.9876536	300.61313	1.5009013e+12	1.2992028e+06
3.2999999999999997e-12	0.15486063	-0.020712906	0.9877191	300.99808	1.8518536e+12	1.2987019e+06
3.5499999999999996e-12	0.15376438	-0.026460294	0.98775333	301.55502	2.227751e+12	1.2979769e+06
3.8e-12	0.15259548	-0.03312275	0.9877337	302.32098	2.6129562e+12	1.2969792e+06
4.05e-12	0.15140678	-0.04065353	0.9876352	303.32236	2.9881548e+12	1.2956738e+06
4.3e-12	0.15026663	-0.0489529	0.9874329	304.56674	3.331805e+12	1.2940496e+06
4.55e-12	0.14925624	-0.0578692	0.9871036	306.03665	3.6221087e+12	1.2921285e+06
4.8e-12	0.14846556	-0.06720536	0.98663133	307.68695	3.839272e+12	1.2899682e+06
5.05e-12	0.1479873	-0.07673047	0.9860082	309.44797	3.9677266e+12	1.287659e+06
5.3e-12	0.14791052	-0.086195454	0.98523754	311.23392	3.9979752e+12	1.285313e+06
5.5499999999999996e-12	0.14831366	-0.095351055	0.9843329	312.95502	3.927751e+12	1.283048e+06
5.7999999999999995e-12	0.14925863	-0.10396595	0.9833173	314.53088	3.7622986e+12	1.2809706e+06
6.0499999999999995e-12	0.15078576	-0.11184246	0.98221934	315.90134	3.5137273e+12	1.2791612e+06
6.2999999999999994e-12	0.15291125	-0.11882822	0.98107	317.03287	3.1995456e+12	1.2776654e+06
6.549999999999999e-12	0.15562671	-0.12482248	0.9798979	317.91916	2.840626e+12	1.2764925e+06
6.799999999999999e-12	0.15890115	-0.1297767	0.9787282	318.57684	2.4589251e+12	1.2756215e+06
7.049999999999999e-12	0.1626844	-0.13369036	0.97757906	319.03806	2.0753053e+12	1.2750104e+06
7.3e-12	0.1669123	-0.13660274	0.9764632	319.3423	1.7077495e+12	1.274607e+06
7.500000000000003e-12	0.17056593	-0.13825746	0.97559834	319.5293	1.3701618e+12	1.274359e+06
7.750000000000007e-12	0.17540836	-0.13955438	0.97455454	319.63412	1.0718277e+12	1.27422e+06
8.000000000000011e-12	0.18048634	-0.14008392	0.97355086	319.68478	8.174922e+11	1.2741529e+06
8.250000000000015e-12	0.18572865	-0.13994373	0.9725846	319.70178	6.0792177e+11	1.2741302e+06
8.500000000000019e-12	0.19107114	-0.13922666	0.9716521	319.69904	4.4077534e+11	1.274134e+06
8.750000000000023e-12	0.19645761	-0.13801628	0.9707502	319.68536	3.1159635e+11	1.2741521e+06
9.000000000000027e-12	0.20184089	-0.13638473	0.96987617	319.66595	2.1476963e+11	1.2741778e+06
9.250000000000031e-12	0.20718217	-0.13439192	0.9690276	319.64377	1.4433075e+11	1.2742072e+06
9.500000000000035e-12	0.21245006	-0.13208614	0.9682036	319.62024	9.456935e+10	1.2742385e+06
9.750000000000039e-12	0.21761976	-0.12950544	0.9674038	319.59616	6.0415357e+10	1.2742704e+06
1.0000000000000043e-11	0.22267163	-0.12667961	0.9666281	319.57184	3.7631353e+10	1.2743026e+06
1.0250000000000047e-11	0.22758998	-0.123631604	0.9658767	319.54745	2.2853763e+10	1.274335e+06
1.0500000000000051e-11	0.23236252	-0.12037963	0.96515095	319.5231	1.3532285e+10	1.2743672e+06
1.0750000000000055e-11	0.23697911	-0.11693834	0.9644514	319.49872	7.8125e+09	1.2743996e+06
1.1000000000000059e-11	0.24143103	-0.11331986	0.9637789	319.47437	4.3975864e+09	1.2744319e+06
1.1250000000000063e-11	0.24571131	-0.109534904	0.96313465	319.45007	2.413483e+09	1.2744641e+06
1.1500000000000067e-11	0.24981356	-0.10559315	0.9625192	319.42578	1.2914559e+09	1.2744962e+06
1.1750000000000071e-11	0.25373217	-0.10150384	0.96193403	319.40152	6.737835e+08	1.2745285e+06
1.2000000000000075e-11	0.25746214	-0.097275786	0.9613796	319.37732	3.4274147e+08	1.2745606e+06
1.2250000000000079e-11	0.26099882	-0.092917755	0.96085685	319.35312	1.6998805e+08	1.2745926e+06
1.2500000000000083e-11	0.26433825	-0.08843846	0.96036667	319.32895	8.220072e+07	1.2746248e+06
1.2750000000000087e-11	0.26747656	-0.08384658	0.95990944	319.30484	3.8755948e+07	1.2746568e+06
1.3000000000000091e-11	0.27041042	-0.079150945	0.95948595	319.28073	1.781585e+07	1.2746886e+06
1.3250000000000095e-11	0.27313694	-0.07436033	0.9590969	319.25665	7.9850975e+06	1.2747205e+06
1.3500000000000099e-11	0.27565333	-0.06948363	0.9587426	319.2326	3.4894692e+06	1.2747524e+06
1.3750000000000103e-11	0.27795732	-0.06452968	0.95842355	319.20862	1.4867708e+06	1.2747842e+06
1.4000000000000107e-11	0.28004718	-0.059507463	0.95814025	319.18463	617638.1	1.274816e+06
1.425000000000011e-11	0.28192112	-0.05442587	0.95789254	319.16068	250166.81	1.2748478e+06
1.4500000000000115e-11	0.28357807	-0.049293872	0.95768154	319.13675	98794.04	1.2748795e+06
1.4750000000000114e-11	0.28501722	-0.044120397	0.95750654	319.11285	38039.72	1.2749111e+06
1.500000000000011e-11	0.28623796	-0.038914368	0.95736796	319.08423	11703.948	1.2749491e+06
1.5250000000000106e-11	0.28724012	-0.033684682	0.9572663	319.05566	3472.125	1.274987e+06
1.55000000000001e-11	0.28802392	-0.02844016	0.9572009	319.0271	993.176	1.2750249e+06
1.5750000000000097e-11	0.28858975	-0.023189578	0.957172	319.0271	993.176	1.2750249e+06
1.6000000000000093e-11	0.2889385	-0.017941624	0.9571796	318.99863	273.92078	1.2750626e+06
1.625000000000009e-11	0.28907132	-0.012704998	0.95722336	318.97015	72.843636	1.2751004e+06
1.6500000000000085e-11	0.28898963	-0.0074882647	0.957303	318.94174	18.677818	1.275138e+06
1.675000000000008e-11	0.2886953	-0.0022998964	0.9574183	318.91336	4.61773	1.2751756e+06
1.7000000000000077e-11	0.28819057	0.002851751	0.95756876	318.88504	1.1007758	1.2752131e+06
1.7250000000000073e-11	0.28747752	0.007958439	0.95775425	318.88504	1.1007758	1.2752131e+06
1.750000000000007e-11	0.28655913	0.013012113	0.9579743	318.85675	0.25300965	1.2752506e+06
1.7750000000000065e-11	0.2854385	0.01800473	0.958228	318.82852	0.056071624	1.275288e+06
1.800000000000006e-11	0.28411877	0.022928461	0.95851505	318.80032	0.011981663	1.2753254e+06
