# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
1e-13	0.15506262	-4.419931e-11	0.98788834	-6.9758087e-17	-2.3980596e+07	300
2e-13	0.15506262	-7.601564e-11	0.98788834	-6.9758087e-17	-2.3980596e+07	300
3.4999999999999997e-13	0.15506262	-1.295355e-10	0.98788834	-6.9758087e-17	-2.6971428e+07	300
4.4999999999999995e-13	0.15506262	-1.6787993e-10	0.98788834	-6.9758087e-17	-2.6971428e+07	300
5.5e-13	0.15506262	-2.0422064e-10	0.98788834	-6.9758087e-17	-3.123985e+07	300
6.5e-13	0.15506262	-2.4222402e-10	0.98788834	-6.9758073e-17	-3.123985e+07	300
7.499999999999999e-13	0.15506262	-2.8147618e-10	0.98788834	-6.9758087e-17	-3.513605e+07	300
8.499999999999999e-13	0.15506262	-3.2013858e-10	0.98788834	-6.9758073e-17	-3.513605e+07	300
9.5e-13	0.15506262	-3.608953e-10	0.98788834	-6.9758087e-17	-4.0696576e+07	300
1.05e-12	0.15506262	-4.0170534e-10	0.9878883	-6.9758087e-17	-4.0696576e+07	300
1.15e-12	0.15506262	-4.4319037e-10	0.98788834	-6.9758087e-17	-4.57722e+07	300
1.25e-12	0.15506263	-4.8660276e-10	0.9878883	-6.9758073e-17	-4.57722e+07	300
1.35e-12	0.15506263	-5.316849e-10	0.98788834	-6.9758087e-17	-5.1480852e+07	300
1.4499999999999999e-12	0.15506263	-5.775256e-10	0.98788834	-6.9758087e-17	-5.1480852e+07	300
1.5499999999999999e-12	0.15506262	-6.251799e-10	0.98788834	-6.9758087e-17	-5.790147e+07	300
1.6499999999999998e-12	0.15506262	-6.745786e-10	0.98788834	-6.9758073e-17	-5.790147e+07	300
1.7499999999999998e-12	0.15506262	-7.2471273e-10	0.9878883	-6.9758087e-17	-6.5122864e+07	300
1.85e-12	0.15506262	-7.7649176e-10	0.98788834	-6.9758073e-17	-6.5122864e+07	300
1.95e-12	0.15506262	-8.3021945e-10	0.98788834	-6.9758087e-17	-7.32449e+07	300
2.05e-12	0.15506262	-8.8601304e-10	0.98788834	-6.9758073e-17	-7.32449e+07	300
2.15e-12	0.15506262	-9.424461e-10	0.98788834	-6.9758087e-17	-8.237989e+07	300
2.25e-12	0.15506262	-1.000652e-09	0.98788834	-6.9758073e-17	-8.237989e+07	300
2.35e-12	0.15506262	-1.0613519e-09	0.98788834	-6.9758087e-17	-9.265418e+07	300
2.45e-12	0.15506262	-1.124203e-09	0.98788834	-6.9758073e-17	-9.265418e+07	300
