# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
1e-13	-7.318093e-09	-2.3167924e-08	1	-6.810669e-17	-2.3980596e+07	300
2e-13	-1.4647435e-08	-4.780257e-08	1	-6.810669e-17	-2.3980596e+07	300
3.4999999999999997e-13	-2.5664255e-08	-8.768296e-08	1	-6.810669e-17	-2.6971428e+07	300
4.4999999999999995e-13	-3.302545e-08	-1.1634925e-07	1	-6.810669e-17	-2.6971428e+07	300
5.5e-13	-4.0401403e-08	-1.4678763e-07	1	-6.810669e-17	-3.123985e+07	300
6.5e-13	-4.7793563e-08	-1.7909764e-07	1	-6.810669e-17	-3.123985e+07	300
7.499999999999999e-13	-5.520361e-08	-2.133848e-07	1	-6.810669e-17	-3.513605e+07	300
8.499999999999999e-13	-6.263348e-08	-2.4976106e-07	1	-6.810669e-17	-3.513605e+07	300
9.5e-13	-7.0085335e-08	-2.8834523e-07	1	-6.810669e-17	-4.0696576e+07	300
1.05e-12	-7.756164e-08	-3.2926334e-07	1	-6.810669e-17	-4.0696576e+07	300
1.15e-12	-8.506509e-08	-3.7264905e-07	1	-6.810669e-17	-4.57722e+07	300
1.25e-12	-9.259872e-08	-4.186442e-07	1	-6.810669e-17	-4.57722e+07	300
1.35e-12	-1.0016586e-07	-4.6739927e-07	1	-6.810669e-17	-5.1480852e+07	300
1.4499999999999999e-12	-1.0777019e-07	-5.1907375e-07	1	-6.810669e-17	-5.1480852e+07	300
1.5499999999999999e-12	-1.15415695e-07	-5.7383716e-07	1	-6.810669e-17	-5.790147e+07	300
1.6499999999999998e-12	-1.2310679e-07	-6.318689e-07	1	-6.810669e-17	-5.790147e+07	300
1.7499999999999998e-12	-1.3084824e-07	-6.9335965e-07	1	-6.810669e-17	-6.5122864e+07	300
1.85e-12	-1.386452e-07	-7.585115e-07	1	-6.810669e-17	-6.5122864e+07	300
1.95e-12	-1.4650334e-07	-8.275389e-07	1	-6.810669e-17	-7.32449e+07	300
2.05e-12	-1.544287e-07	-9.006693e-07	1	-6.810669e-17	-7.32449e+07	300
2.15e-12	-1.6242792e-07	-9.781439e-07	1	-6.810669e-17	-8.237989e+07	300
2.25e-12	-1.7050805e-07	-1.0602191e-06	1	-6.810669e-17	-8.237989e+07	300
2.35e-12	-1.7867671e-07	-1.1471659e-06	1	-6.810669e-17	-9.265418e+07	300
2.45e-12	-1.8694212e-07	-1.2392727e-06	1	-6.810669e-17	-9.265418e+07	300
2.55e-12	-1.953131e-07	-1.3368448e-06	1	-6.810669e-17	-1.0420985e+08	300
2.65e-12	-2.0379916e-07	-1.4402063e-06	1	-6.810669e-17	-1.0420985e+08	300
2.7499999999999998e-12	-2.1241041e-07	-1.5497012e-06	1	-6.810669e-17	-1.1720671e+08	300
2.8499999999999998e-12	-2.2115775e-07	-1.6656943e-06	1	-6.810669e-17	-1.1720671e+08	300
2.9499999999999997e-12	-2.3005278e-07	-1.788572e-06	1	-6.810669e-17	-1.3182451e+08	300
3.0499999999999997e-12	-2.3910798e-07	-1.9187453e-06	1	-6.810669e-17	-1.3182451e+08	300
3.1499999999999997e-12	-2.4833668e-07	-2.0566483e-06	1	-6.810669e-17	-1.4826539e+08	300
3.2499999999999997e-12	-2.5775302e-07	-2.2027436e-06	1	-6.810669e-17	-1.4826539e+08	300
3.3499999999999997e-12	-2.6737223e-07	-2.3575212e-06	1	-6.810669e-17	-1.6675674e+08	300
3.4499999999999996e-12	-2.7721046e-07	-2.5214995e-06	1	-6.810669e-17	-1.6675674e+08	300
3.5499999999999996e-12	-2.8728502e-07	-2.6952303e-06	1	-6.810669e-17	-1.8755424e+08	300
3.65e-12	-2.976143e-07	-2.8792972e-06	1	-6.810669e-17	-1.8755424e+08	300
3.75e-12	-3.082178e-07	-3.0743208e-06	1	-6.810669e-17	-2.1094554e+08	300
3.85e-12	-3.1911662e-07	-3.280958e-06	1	-6.810669e-17	-2.1094554e+08	300
3.95e-12	-3.303328e-07	-3.4999066e-06	1	-6.810669e-17	-2.3725408e+08	300
4.05e-12	-3.4189011e-07	-3.7319055e-06	1	-6.810669e-17	-2.3725408e+08	300
4.15e-12	-3.538137e-07	-3.9777406e-06	1	-6.810669e-17	-2.6684371e+08	300
4.25e-12	-3.661304e-07	-4.2382426e-06	1	-6.810669e-17	-2.6684371e+08	300
4.35e-12	-3.788687e-07	-4.5142942e-06	1	-6.810669e-17	-3.001236e+08	300
