# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1.3e+06
2.5e-13	-2.733484e-05	-7.6312346e-05	1	300	2.530205e+10	1.3e+06
5e-13	-6.803779e-05	-0.00020042331	1	300.00018	4.1452323e+10	1.2999998e+06
7.999999999999999e-13	-0.0001437365	-0.00044733385	0.99999994	300.00067	6.621365e+10	1.2999991e+06
1.05e-12	-0.00023963084	-0.0007755988	0.9999996	300.00238	1.12334496e+11	1.2999969e+06
1.3e-12	-0.00037765963	-0.0012654337	0.9999991	300.0056	1.697164e+11	1.2999928e+06
1.5499999999999999e-12	-0.0005720425	-0.001977911	0.999998	300.01263	2.5e+11	1.2999835e+06
1.7999999999999998e-12	-0.00083919935	-0.0029882286	0.99999523	300.02713	3.5905556e+11	1.2999648e+06
2.05e-12	-0.0011968856	-0.004385074	0.9999896	300.05554	5.0279252e+11	1.2999278e+06
2.3e-12	-0.0016627068	-0.0062681213	0.999979	300.10846	6.8646974e+11	1.299859e+06
2.55e-12	-0.002251981	-0.008743297	0.99995935	300.20224	9.138176e+11	1.299737e+06
2.7999999999999998e-12	-0.0029750129	-0.011915699	0.9999246	300.3602	1.1860502e+12	1.2995316e+06
3.0499999999999997e-12	-0.0038339794	-0.015880391	0.99986655	300.61313	1.5009013e+12	1.2992028e+06
3.2999999999999997e-12	-0.00481977	-0.020711742	0.9997739	300.99808	1.8518536e+12	1.2987019e+06
3.5499999999999996e-12	-0.0059092203	-0.026452333	0.9996327	301.55502	2.227751e+12	1.2979769e+06
3.8e-12	-0.0070632477	-0.033102885	0.9994269	302.32098	2.6129562e+12	1.2969792e+06
4.05e-12	-0.008226339	-0.040614665	0.9991411	303.32236	2.9881548e+12	1.2956738e+06
4.3e-12	-0.009327732	-0.04888576	0.9987608	304.56674	3.331805e+12	1.2940496e+06
4.55e-12	-0.010284439	-0.057762418	0.99827754	306.03665	3.6221087e+12	1.2921285e+06
4.8e-12	-0.01100596	-0.06704562	0.9976893	307.68695	3.839272e+12	1.2899682e+06
5.05e-12	-0.011400314	-0.076503046	0.9970044	309.44797	3.9677266e+12	1.287659e+06
5.3e-12	-0.011380769	-0.08588481	0.99624014	311.23392	3.9979752e+12	1.285313e+06
5.5499999999999996e-12	-0.010872467	-0.09494162	0.99542344	312.95502	3.927751e+12	1.283048e+06
5.7999999999999995e-12	-0.009818204	-0.103442684	0.99458694	314.53088	3.7622986e+12	1.2809706e+06
6.0499999999999995e-12	-0.0081826	-0.11119147	0.9937654	315.90134	3.5137273e+12	1.2791612e+06
6.2999999999999994e-12	-0.0059542367	-0.11803712	0.9929914	317.03287	3.1995456e+12	1.2776654e+06
6.549999999999999e-12	-0.0031455322	-0.123880625	0.9922923	317.91916	2.840626e+12	1.2764925e+06
6.799999999999999e-12	0.00020945583	-0.128675	0.9916869	318.57684	2.4589251e+12	1.2756215e+06
7.049999999999999e-12	0.0040588398	-0.13242102	0.99118525	319.03806	2.0753053e+12	1.2750104e+06
7.3e-12	0.008337802	-0.13515924	0.9907889	319.3423	1.7077495e+12	1.274607e+06
7.500000000000003e-12	0.0120215975	-0.13667043	0.9905437	319.5293	1.3701618e+12	1.274359e+06
7.750000000000007e-12	0.01688917	-0.13778335	0.99031836	319.63412	1.0718277e+12	1.27422e+06
8.000000000000011e-12	0.021979453	-0.13812405	0.990171	319.68478	8.174922e+11	1.2741529e+06
8.250000000000015e-12	0.027222617	-0.1377904	0.99008715	319.70178	6.0792177e+11	1.2741302e+06
8.500000000000019e-12	0.032555576	-0.13687527	0.99005324	319.69904	4.4077534e+11	1.274134e+06
8.750000000000023e-12	0.03792331	-0.13546246	0.99005646	319.68536	3.1159635e+11	1.2741521e+06
9.000000000000027e-12	0.043279257	-0.13362414	0.9900866	319.66595	2.1476963e+11	1.2741778e+06
9.250000000000031e-12	0.048584916	-0.13142012	0.9901356	319.64377	1.4433075e+11	1.2742072e+06
9.500000000000035e-12	0.053809103	-0.12889884	0.99019676	319.62024	9.456935e+10	1.2742385e+06
9.750000000000039e-12	0.058926795	-0.12609856	0.99026597	319.59616	6.0415357e+10	1.2742704e+06
1.0000000000000043e-11	0.06391806	-0.12304919	0.9903401	319.57184	3.7631353e+10	1.2743026e+06
