# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1.3e+06
5e-13	-0.15589832	0.009920799	0.9877218	300.68607	-2.1111338e+12	1.2991078e+06
1e-12	-0.15211411	0.024145732	0.98806655	303.41547	-3.0843415e+12	1.2955522e+06
1.5499999999999999e-12	-0.14738831	0.04595537	0.98800915	308.08868	-4.1810096e+12	1.2894419e+06
2.05e-12	-0.1426634	0.07239528	0.98711884	316.16162	-5.4535085e+12	1.2788174e+06
2.55e-12	-0.13768053	0.10588437	0.9847996	329.07983	-6.8445825e+12	1.26163e+06
3.0499999999999997e-12	-0.13262822	0.14681254	0.9802316	348.22446	-8.2659734e+12	1.235719e+06
3.5499999999999996e-12	-0.12768982	0.19511193	0.9724327	374.4968	-9.605437e+12	1.1992501e+06
4.05e-12	-0.122987725	0.25015497	0.960362	407.87738	-1.0740301e+13	1.1512491e+06
4.55e-12	-0.11854841	0.31069222	0.94308835	447.13712	-1.1555582e+13	1.0920972e+06
5.05e-12	-0.11432193	0.37485114	0.9200089	489.8673	-1.1963089e+13	1.02384006e+06
5.5499999999999996e-12	-0.11027374	0.44022277	0.8910907	532.88617	-1.191711e+13	950181.44
6.0499999999999995e-12	-0.10652625	0.5040642	0.85707057	572.9168	-1.1422856e+13	876094.3
6.549999999999999e-12	-0.10347891	0.5636295	0.8195192	607.30176	-1.0535485e+13	807044.06
7.049999999999999e-12	-0.101813555	0.61659396	0.7806684	634.5006	-9.349975e+12	747922.44
7.500000000000003e-12	-0.10211669	0.657404	0.7465846	654.22205	-7.984404e+12	701946.9
8.000000000000011e-12	-0.10522462	0.6945392	0.71171534	667.20483	-6.560707e+12	669961
8.500000000000019e-12	-0.11153321	0.7235381	0.68121046	674.7939	-5.187223e+12	650535.7
9.000000000000027e-12	-0.12104554	0.74546623	0.6554554	678.498	-3.9463478e+12	640840.75
9.500000000000035e-12	-0.13346024	0.76164436	0.6340968	679.6648	-2.8888956e+12	637756.25
1.0000000000000043e-11	-0.14830406	0.77335227	0.61637914	679.3224	-2.0349064e+12	638662.94
1.0500000000000051e-11	-0.16504873	0.781679	0.6014371	678.1608	-1.3792189e+12	641729.25
1.1000000000000059e-11	-0.18318808	0.78748125	0.5884754	676.594	-8.9949346e+11	645842.4
1.1500000000000067e-11	-0.20227945	0.7914	0.57684916	674.8458	-5.644675e+11	650400.8
1.2000000000000075e-11	-0.22196084	0.7938971	0.5660783	673.0263	-3.4084428e+11	655111.56
1.2500000000000083e-11	-0.24195187	0.7952948	0.55582994	671.18463	-1.980383e+11	659845.4
1.3000000000000091e-11	-0.2620455	0.7958125	0.54588807	669.34094	-1.1071806e+11	664550.7
1.3500000000000099e-11	-0.28209493	0.79559654	0.5361204	667.5027	-5.956126e+10	669209.1
1.4000000000000107e-11	-0.30199933	0.7947446	0.52645147	665.6725	-3.0830842e+10	673815.25
1.4500000000000115e-11	-0.3216908	0.7933225	0.51684153	663.8511	-1.5356172e+10	678368.2
1.500000000000011e-11	-0.3411212	0.7913778	0.507272	661.85815	-6.823297e+09	683315
1.55000000000001e-11	-0.3602561	0.7889478	0.49773577	659.6967	-2.6705477e+09	688639.94
1.6000000000000093e-11	-0.37908158	0.7860572	0.48823327	658.6209	-1.636336e+09	691275.2
1.6500000000000085e-11	-0.39758074	0.7827314	0.47876695	656.4788	-5.893251e+08	696492.4
1.7000000000000077e-11	-0.4157344	0.77899784	0.46934015	654.3495	-2.0079598e+08	701639.94
1.750000000000007e-11	-0.4335383	0.77487564	0.45995763	653.2897	-1.1479531e+08	704188.2
1.800000000000006e-11	-0.4509834	0.77038735	0.45062375	651.1794	-3.5991556e+07	709234.5
1.8500000000000052e-11	-0.46805656	0.7655588	0.44134203	649.0818	-1.067566e+07	714215.4
1.9000000000000044e-11	-0.48475733	0.760408	0.43211704	648.03766	-5.694569e+06	716681.75
1.9500000000000036e-11	-0.50108045	0.7549568	0.42295238	645.9588	-1.5542874e+06	721567.25
2.0000000000000028e-11	-0.51701677	0.7492301	0.41385102	643.89233	-401346.44	726391
2.050000000000002e-11	-0.5325685	0.74324536	0.40481642	642.8638	-199748.05	728780.1
2.100000000000001e-11	-0.5477333	0.7370233	0.39585155	640.8158	-47462.105	733513.9
2.1500000000000003e-11	-0.56250536	0.73058766	0.38695848	638.7801	-10669.132	738189.25
2.2049999999999994e-11	-0.57830423	0.7232828	0.37726215	637.7668	-4954.379	740505.44
2.2549999999999986e-11	-0.592262	0.71645397	0.36852837	635.74927	-1024.8203	745095.7
2.3049999999999978e-11	-0.60582876	0.7094716	0.35987273	633.7438	-200.55052	749630.56
2.354999999999997e-11	-0.61900663	0.7023536	0.35129696	632.74554	-86.89223	751877.7
2.404999999999996e-11	-0.63180536	0.6951113	0.34280333	630.758	-15.647083	756331.9
2.4549999999999953e-11	-0.64422077	0.6877682	0.33439195	628.78235	-2.665652	760733.6
2.5049999999999945e-11	-0.65625685	0.68034124	0.32606384	627.79895	-1.0776001	762915.1
2.5549999999999937e-11	-0.6679239	0.67284	0.31782058	625.841	-0.16892895	767240.1
2.604999999999993e-11	-0.67922026	0.6652863	0.30966175	623.8947	-0.025053486	771515.3
2.654999999999992e-11	-0.6901509	0.6576952	0.30158776	622.9259	-0.009449728	773634.5
2.7049999999999912e-11	-0.7007268	0.6500747	0.2935995	620.9971	-0.0012896141	777836.7
2.7549999999999904e-11	-0.71094775	0.6424451	0.28569606	619.0797	-0.0001665014	781991.44
2.8049999999999896e-11	-0.7208201	0.63481915	0.2778774	618.1253	-5.8595735e-05	784051.25
2.8549999999999888e-11	-0.73035455	0.6272041	0.2701437	616.22516	-6.9614625e-06	788136.44
2.904999999999988e-11	-0.7395525	0.6196178	0.2624938	614.3363	-7.824427e-07	792176.3
2.95499999999999e-11	-0.74842393	0.6120677	0.25492746	612.7705	-1.2134346e-07	795509.75
3.0049999999999925e-11	-0.75697327	0.6045672	0.24744365	611.21246	-1.8107407e-08	798812.75
3.054999999999995e-11	-0.76520735	0.5971269	0.24004136	609.66223	-2.5999936e-09	802085.8
3.104999999999997e-11	-0.7731329	0.58975697	0.23271947	608.1197	-3.592232e-10	805329.4
3.155e-11	-0.78075665	0.582467	0.22547677	606.58484	-4.7756514e-11	808543.9
3.200000000000002e-11	-0.7873653	0.57598245	0.21902488	605.0577	-6.1090963e-12	811729.7
3.250000000000004e-11	-0.7944343	0.5688695	0.21192881	603.5381	-7.519647e-13	814887.3
3.300000000000007e-11	-0.8012212	0.5618618	0.20490766	602.02606	-8.906232e-14	818017.06
3.350000000000009e-11	-0.8077326	0.55496764	0.19795977	600.5216	-1.0150015e-14	821119.4
3.4000000000000115e-11	-0.81397533	0.5481943	0.19108337	599.0246	-1.113052e-15	824194.7
3.450000000000014e-11	-0.81995565	0.5415491	0.18427657	597.53503	-1.1744658e-16	827243.3
3.5000000000000163e-11	-0.8256803	0.53503877	0.17753743	596.0529	-1.1924533e-17	830265.7
3.550000000000019e-11	-0.83115554	0.5286697	0.17086387	594.5782	-1.1649801e-18	833262.06
3.600000000000021e-11	-0.83638763	0.5224483	0.16425379	593.11084	-1.0951454e-19	836232.9
3.6500000000000236e-11	-0.84138256	0.51638	0.1577049	591.65076	-9.906064e-21	839178.44
3.700000000000026e-11	-0.8461464	0.51047057	0.151215	590.19794	-8.621972e-22	842099.1
3.7500000000000284e-11	-0.8506845	0.5047253	0.14478166	588.7524	-7.220847e-23	844995.25
3.800000000000031e-11	-0.85500306	0.49914902	0.13840246	587.314	-5.818966e-24	847867.1
3.850000000000033e-11	-0.8591069	0.49374664	0.1320749	585.8828	-4.5121093e-25	850715.06
3.9000000000000356e-11	-0.8630016	0.48852253	0.1257964	584.45874	-3.3665844e-26	853539.4
3.950000000000038e-11	-0.86669177	0.4834812	0.119564295	583.04175	-2.4169937e-27	856340.4
4.0000000000000405e-11	-0.8701825	0.47862655	0.113375925	581.63184	-1.669697e-28	859118.4
4.050000000000043e-11	-0.8734782	0.4739626	0.10722855	580.22894	-1.10987965e-29	861873.6
4.100000000000045e-11	-0.87658304	0.46949312	0.101119295	578.833	-7.0988866e-31	864606.5
4.150000000000048e-11	-0.8795014	0.46522173	0.09504534	577.4441	-4.3689866e-32	867317.1
4.20000000000005e-11	-0.88223654	0.4611518	0.08900375	576.062	-2.587303e-33	870005.94
4.2500000000000525e-11	-0.8847927	0.45728663	0.08299154	574.6869	-1.474314e-34	872673.06
