# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
1e-13	0.15506262	-1.7359309e-08	0.98788834	-6.9758073e-17	-1.7985446e+07	300
2e-13	0.15506262	-3.571227e-08	0.98788834	-6.975808e-17	-1.7985446e+07	300
3.4999999999999997e-13	0.15506262	-6.525565e-08	0.9878883	-6.9758087e-17	-2.0228572e+07	300
4.4999999999999995e-13	0.15506262	-8.638993e-08	0.9878883	-6.9758087e-17	-2.0228572e+07	300
5.5e-13	0.15506263	-1.0875479e-07	0.98788834	-6.9758073e-17	-2.3429888e+07	300
6.5e-13	0.15506262	-1.3242594e-07	0.98788834	-6.9758087e-17	-2.3429888e+07	300
7.499999999999999e-13	0.15506262	-1.5748405e-07	0.98788834	-6.9758087e-17	-2.6352036e+07	300
8.499999999999999e-13	0.15506263	-1.8401137e-07	0.98788834	-6.9758073e-17	-2.6352036e+07	300
9.5e-13	0.15506263	-2.1209853e-07	0.98788834	-6.9758087e-17	-3.052243e+07	300
1.05e-12	0.15506262	-2.4183834e-07	0.9878883	-6.9758073e-17	-3.052243e+07	300
1.15e-12	0.15506262	-2.7333334e-07	0.98788834	-6.9758087e-17	-3.432915e+07	300
1.25e-12	0.15506262	-3.0668872e-07	0.9878883	-6.9758087e-17	-3.432915e+07	300
1.35e-12	0.15506262	-3.4201835e-07	0.9878883	-6.9758087e-17	-3.861064e+07	300
1.4499999999999999e-12	0.15506262	-3.7943835e-07	0.98788834	-6.9758073e-17	-3.861064e+07	300
1.5499999999999999e-12	0.15506262	-4.1907734e-07	0.98788834	-6.9758087e-17	-4.3426104e+07	300
1.6499999999999998e-12	0.15506263	-4.6107073e-07	0.9878883	-6.9758073e-17	-4.3426104e+07	300
1.7499999999999998e-12	0.15506262	-5.0555974e-07	0.9878883	-6.9758073e-17	-4.8842148e+07	300
1.85e-12	0.15506263	-5.5269527e-07	0.9878883	-6.9758087e-17	-4.8842148e+07	300
1.95e-12	0.15506262	-6.026396e-07	0.98788834	-6.9758087e-17	-5.493367e+07	300
2.05e-12	0.15506262	-6.5556054e-07	0.9878883	-6.9758073e-17	-5.493367e+07	300
2.15e-12	0.15506262	-7.1163754e-07	0.9878883	-6.9758087e-17	-6.1784916e+07	300
2.25e-12	0.15506262	-7.71066e-07	0.98788834	-6.9758087e-17	-6.1784916e+07	300
2.35e-12	0.15506262	-8.340456e-07	0.9878883	-6.9758087e-17	-6.949063e+07	300
2.45e-12	0.15506262	-9.0079146e-07	0.98788834	-6.9758087e-17	-6.949063e+07	300
2.55e-12	0.15506263	-9.715332e-07	0.9878883	-6.9758087e-17	-7.8157384e+07	300
2.65e-12	0.15506262	-1.0465116e-06	0.98788834	-6.9758087e-17	-7.8157384e+07	300
2.7499999999999998e-12	0.15506262	-1.1259829e-06	0.98788834	-6.9758073e-17	-8.790503e+07	300
2.8499999999999998e-12	0.15506262	-1.2102194e-06	0.9878883	-6.9758087e-17	-8.790503e+07	300
2.9499999999999997e-12	0.15506262	-1.2995126e-06	0.98788834	-6.9758087e-17	-9.886838e+07	300
3.0499999999999997e-12	0.15506262	-1.394166e-06	0.98788834	-6.9758087e-17	-9.886838e+07	300
3.1499999999999997e-12	0.15506262	-1.4945035e-06	0.98788834	-6.9758087e-17	-1.1119905e+08	300
3.2499999999999997e-12	0.15506262	-1.6008686e-06	0.98788834	-6.9758087e-17	-1.1119905e+08	300
3.3499999999999997e-12	0.15506262	-1.7136297e-06	0.98788834	-6.9758087e-17	-1.25067544e+08	300
3.4499999999999996e-12	0.15506262	-1.8331713e-06	0.98788834	-6.9758087e-17	-1.25067544e+08	300
3.5499999999999996e-12	0.15506262	-1.9599047e-06	0.98788834	-6.975808e-17	-1.4066568e+08	300
3.65e-12	0.15506262	-2.094267e-06	0.98788834	-6.9758087e-17	-1.4066568e+08	300
3.75e-12	0.15506262	-2.2367187e-06	0.98788834	-6.9758087e-17	-1.5820915e+08	300
3.85e-12	0.15506262	-2.3877465e-06	0.98788834	-6.9758087e-17	-1.5820915e+08	300
3.95e-12	0.15506262	-2.5478757e-06	0.98788834	-6.9758087e-17	-1.7794056e+08	300
4.05e-12	0.15506262	-2.7176534e-06	0.98788834	-6.9758087e-17	-1.7794056e+08	300
4.15e-12	0.15506262	-2.8976647e-06	0.9878883	-6.9758087e-17	-2.0013278e+08	300
4.25e-12	0.15506262	-3.0885308e-06	0.98788834	-6.9758087e-17	-2.0013278e+08	300
4.35e-12	0.15506262	-3.2909084e-06	0.98788834	-6.9758087e-17	-2.2509269e+08	300
4.45e-12	0.15506262	-3.505494e-06	0.98788834	-6.9758087e-17	-2.2509269e+08	300
4.55e-12	0.15506263	-3.733027e-06	0.98788834	-6.9758087e-17	-2.5316547e+08	300
4.65e-12	0.15506262	-3.9742927e-06	0.98788834	-6.9758087e-17	-2.5316547e+08	300
4.75e-12	0.15506262	-4.230121e-06	0.98788834	-6.9758087e-17	-2.847393e+08	300
4.85e-12	0.15506262	-4.5013935e-06	0.9878883	-6.9758087e-17	-2.847393e+08	300
4.95e-12	0.15506262	-4.789047e-06	0.98788834	-6.9758087e-17	-3.2025078e+08	300
5.05e-12	0.15506262	-5.0940707e-06	0.98788834	-6.9758087e-17	-3.2025078e+08	300
5.15e-12	0.15506262	-5.417515e-06	0.98788834	-6.9758087e-17	-3.6019098e+08	300
5.25e-12	0.15506262	-5.7604916e-06	0.9878883	-6.9758087e-17	-3.6019098e+08	300
5.35e-12	0.15506262	-6.1241835e-06	0.98788834	-6.9758087e-17	-4.0511216e+08	300
5.45e-12	0.15506262	-6.509841e-06	0.98788834	-6.9758087e-17	-4.0511216e+08	300
5.5499999999999996e-12	0.15506262	-6.918801e-06	0.98788834	-6.9758087e-17	-4.5563546e+08	300
5.6499999999999996e-12	0.15506262	-7.3524675e-06	0.98788834	-6.9758087e-17	-4.5563546e+08	300
5.7499999999999995e-12	0.15506262	-7.81234e-06	0.98788834	-6.9758087e-17	-5.124595e+08	300
5.8499999999999995e-12	0.15506262	-8.300001e-06	0.9878883	-6.9758087e-17	-5.124595e+08	300
5.9499999999999995e-12	0.15506262	-8.81714e-06	0.98788834	-6.9758087e-17	-5.763699e+08	300
6.0499999999999995e-12	0.15506263	-9.3655535e-06	0.98788834	-6.9758087e-17	-5.763699e+08	300
6.1499999999999994e-12	0.15506262	-9.94714e-06	0.98788834	-6.975808e-17	-6.482504e+08	300
6.2499999999999994e-12	0.15506262	-1.0563912e-05	0.98788834	-6.9758087e-17	-6.482504e+08	300
6.349999999999999e-12	0.15506262	-1.1217993e-05	0.98788834	-6.975808e-17	-7.290947e+08	300
6.449999999999999e-12	0.15506262	-1.1911633e-05	0.98788834	-6.9758087e-17	-7.290947e+08	300
6.549999999999999e-12	0.15506262	-1.2647219e-05	0.98788834	-6.9758087e-17	-8.2002054e+08	300
6.649999999999999e-12	0.15506262	-1.3427279e-05	0.98788834	-6.9758087e-17	-8.2002054e+08	300
6.749999999999999e-12	0.15506262	-1.4254816e-05	0.9878883	-6.975805e-17	-9.222849e+08	300
6.849999999999999e-12	0.15506262	-1.5132708e-05	0.98788834	-6.975804e-17	-9.222849e+08	300
6.949999999999999e-12	0.1550626	-1.6063776e-05	0.9878883	-6.975804e-17	-1.0373015e+09	300
7.049999999999999e-12	0.15506256	-1.7051478e-05	0.9878883	-6.9758073e-17	-1.0373015e+09	300
7.149999999999999e-12	0.1550625	-1.8099476e-05	0.98788834	-6.975807e-17	-1.1666604e+09	300
7.249999999999999e-12	0.15506245	-1.9211575e-05	0.98788834	-6.975807e-17	-1.1666604e+09	300
7.35e-12	0.15506242	-2.0391568e-05	0.98788834	-6.9758053e-17	-1.3121492e+09	300
7.400000000000002e-12	0.1550624	-2.1008313e-05	0.98788834	-6.9758073e-17	-1.3121492e+09	300
7.500000000000003e-12	0.15506235	-2.2297929e-05	0.9878884	-6.975807e-17	-1.3121492e+09	300
7.600000000000005e-12	0.15506229	-2.3666087e-05	0.9878884	-6.9758073e-17	-1.4757792e+09	300
7.700000000000006e-12	0.15506223	-2.5117502e-05	0.9878884	-6.975807e-17	-1.4757792e+09	300
7.800000000000008e-12	0.15506217	-2.6657182e-05	0.9878884	-6.975807e-17	-1.6598116e+09	300
7.90000000000001e-12	0.15506214	-2.8290446e-05	0.9878884	-6.9758073e-17	-1.6598116e+09	300
8.000000000000011e-12	0.15506208	-3.0022915e-05	0.9878884	-6.975807e-17	-1.8667896e+09	300
8.100000000000013e-12	0.15506202	-3.1860556e-05	0.9878884	-6.975807e-17	-1.8667896e+09	300
8.200000000000014e-12	0.15506195	-3.3809774e-05	0.9878884	-6.975807e-17	-2.0995732e+09	300
8.300000000000016e-12	0.15506189	-3.587741e-05	0.9878884	-6.975806e-17	-2.0995732e+09	300
8.400000000000018e-12	0.1550618	-3.807076e-05	0.9878884	-6.975807e-17	-2.3613786e+09	300
8.500000000000019e-12	0.15506169	-4.0397616e-05	0.9878885	-6.9758053e-17	-2.3613786e+09	300
8.60000000000002e-12	0.15506159	-4.2865955e-05	0.9878885	-6.9758053e-17	-2.6558226e+09	300
8.700000000000022e-12	0.15506148	-4.548436e-05	0.9878885	-6.975805e-17	-2.6558226e+09	300
8.800000000000024e-12	0.15506138	-4.826169e-05	0.98788846	-6.975805e-17	-2.986972e+09	300.00003
8.900000000000025e-12	0.15506127	-5.1207517e-05	0.9878885	-6.975805e-17	-2.986972e+09	300.00003
9.000000000000027e-12	0.15506116	-5.4332046e-05	0.9878885	-6.975807e-17	-3.3594002e+09	300.00003
9.100000000000029e-12	0.15506104	-5.7646153e-05	0.9878886	-6.975807e-17	-3.3594002e+09	300.00003
9.20000000000003e-12	0.15506089	-6.1161445e-05	0.98788863	-6.975805e-17	-3.7782497e+09	300.00003
9.300000000000032e-12	0.15506074	-6.4890315e-05	0.98788863	-6.975806e-17	-3.7782497e+09	300.00003
9.400000000000033e-12	0.15506059	-6.8845446e-05	0.98788863	-6.975806e-17	-4.2493028e+09	300.00003
9.500000000000035e-12	0.15506044	-7.3040384e-05	0.98788863	-6.9758053e-17	-4.2493028e+09	300.00003
9.600000000000037e-12	0.15506026	-7.749013e-05	0.9878887	-6.9758034e-17	-4.7790607e+09	300.00003
9.700000000000038e-12	0.15506013	-8.220925e-05	0.9878887	-6.9758034e-17	-4.7790607e+09	300.00003
9.80000000000004e-12	0.15505996	-8.721386e-05	0.98788875	-6.975803e-17	-5.374834e+09	300.00006
9.900000000000041e-12	0.15505981	-9.252119e-05	0.98788875	-6.975805e-17	-5.374834e+09	300.00006
