# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
1e-13	0.15506262	-1.736423e-08	0.98788834	-6.9758087e-17	-1.7985446e+07	300
2e-13	0.15506263	-3.571999e-08	0.98788834	-6.9758087e-17	-1.7985446e+07	300
3.4999999999999997e-13	0.15506263	-6.526686e-08	0.98788834	-6.975807e-17	-2.0228572e+07	300
4.4999999999999995e-13	0.15506262	-8.640376e-08	0.98788834	-6.975808e-17	-2.0228572e+07	300
5.5e-13	0.15506263	-1.08772475e-07	0.98788834	-6.975807e-17	-2.3429888e+07	300
6.5e-13	0.15506262	-1.3244679e-07	0.98788834	-6.975808e-17	-2.3429888e+07	300
7.499999999999999e-13	0.15506262	-1.5750777e-07	0.98788834	-6.975807e-17	-2.6352036e+07	300
8.499999999999999e-13	0.15506262	-1.8403787e-07	0.98788834	-6.975808e-17	-2.6352036e+07	300
9.5e-13	0.15506262	-2.1212819e-07	0.98788834	-6.975807e-17	-3.052243e+07	300
1.05e-12	0.15506262	-2.418705e-07	0.98788834	-6.975808e-17	-3.052243e+07	300
1.15e-12	0.15506262	-2.7336714e-07	0.98788834	-6.975808e-17	-3.432915e+07	300
1.25e-12	0.15506262	-3.067196e-07	0.98788834	-6.975808e-17	-3.432915e+07	300
1.35e-12	0.15506262	-3.4204555e-07	0.98788834	-6.975807e-17	-3.861064e+07	300
1.4499999999999999e-12	0.15506263	-3.7946342e-07	0.98788834	-6.975808e-17	-3.861064e+07	300
1.5499999999999999e-12	0.15506263	-4.1910107e-07	0.98788834	-6.975807e-17	-4.3426104e+07	300
1.6499999999999998e-12	0.15506262	-4.6109434e-07	0.98788834	-6.975808e-17	-4.3426104e+07	300
1.7499999999999998e-12	0.15506263	-5.0558236e-07	0.98788834	-6.975807e-17	-4.8842148e+07	300
1.85e-12	0.15506263	-5.5271886e-07	0.98788834	-6.975808e-17	-4.8842148e+07	300
1.95e-12	0.15506262	-6.026629e-07	0.98788834	-6.975808e-17	-5.493367e+07	300
2.05e-12	0.15506262	-6.555853e-07	0.98788834	-6.975808e-17	-5.493367e+07	300
2.15e-12	0.15506263	-7.1166585e-07	0.98788834	-6.975808e-17	-6.1784916e+07	300
2.25e-12	0.15506262	-7.7109456e-07	0.98788834	-6.975808e-17	-6.1784916e+07	300
2.35e-12	0.15506263	-8.340749e-07	0.98788834	-6.975808e-17	-6.949063e+07	300
2.45e-12	0.15506262	-9.00822e-07	0.98788834	-6.975808e-17	-6.949063e+07	300
2.55e-12	0.15506263	-9.715641e-07	0.98788834	-6.975808e-17	-7.8157384e+07	300
2.65e-12	0.15506262	-1.0465454e-06	0.98788834	-6.975808e-17	-7.8157384e+07	300
2.7499999999999998e-12	0.15506263	-1.1260186e-06	0.98788834	-6.975808e-17	-8.790503e+07	300
2.8499999999999998e-12	0.15506262	-1.2102594e-06	0.98788834	-6.975808e-17	-8.790503e+07	300
2.9499999999999997e-12	0.15506262	-1.2995524e-06	0.98788834	-6.975808e-17	-9.886838e+07	300
3.0499999999999997e-12	0.15506263	-1.3942075e-06	0.98788834	-6.975808e-17	-9.886838e+07	300
3.1499999999999997e-12	0.15506262	-1.4945484e-06	0.98788834	-6.975808e-17	-1.1119905e+08	300
3.2499999999999997e-12	0.15506263	-1.6009147e-06	0.98788834	-6.975808e-17	-1.1119905e+08	300
3.3499999999999997e-12	0.15506263	-1.7136797e-06	0.98788834	-6.975808e-17	-1.25067544e+08	300
3.4499999999999996e-12	0.15506262	-1.8332225e-06	0.98788834	-6.975808e-17	-1.25067544e+08	300
3.5499999999999996e-12	0.15506262	-1.959956e-06	0.98788834	-6.975808e-17	-1.4066568e+08	300
3.65e-12	0.15506263	-2.0943207e-06	0.98788834	-6.975808e-17	-1.4066568e+08	300
3.75e-12	0.15506263	-2.2367717e-06	0.98788834	-6.975808e-17	-1.5820915e+08	300
3.85e-12	0.15506263	-2.3877997e-06	0.98788834	-6.975808e-17	-1.5820915e+08	300
