# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
1e-13	0.15506262	-3.4697656e-08	0.98788834	-6.9758087e-17	-3.5970892e+07	300
2e-13	0.15506263	-7.1381606e-08	0.98788834	-6.975808e-17	-3.5970892e+07	300
3.4999999999999997e-13	0.15506262	-1.3043677e-07	0.98788834	-6.975808e-17	-4.0457144e+07	300
4.4999999999999995e-13	0.15506262	-1.726813e-07	0.98788834	-6.975808e-17	-4.0457144e+07	300
5.5e-13	0.15506262	-2.1738924e-07	0.98788834	-6.9758087e-17	-4.6859776e+07	300
6.5e-13	0.15506262	-2.6471287e-07	0.98788834	-6.975807e-17	-4.6859776e+07	300
7.499999999999999e-13	0.15506262	-3.1480883e-07	0.98788834	-6.975808e-17	-5.270407e+07	300
8.499999999999999e-13	0.15506262	-3.678429e-07	0.98788834	-6.975808e-17	-5.270407e+07	300
9.5e-13	0.15506262	-4.239931e-07	0.98788834	-6.9758087e-17	-6.104486e+07	300
1.05e-12	0.15506262	-4.834526e-07	0.98788834	-6.975808e-17	-6.104486e+07	300
1.15e-12	0.15506262	-5.464192e-07	0.98788834	-6.975808e-17	-6.86583e+07	300
1.25e-12	0.15506262	-6.131054e-07	0.98788834	-6.975808e-17	-6.86583e+07	300
1.35e-12	0.15506262	-6.8373845e-07	0.98788834	-6.9758087e-17	-7.722128e+07	300
1.4499999999999999e-12	0.15506262	-7.585542e-07	0.98788834	-6.975807e-17	-7.722128e+07	300
1.5499999999999999e-12	0.15506262	-8.378116e-07	0.98788834	-6.975808e-17	-8.685221e+07	300
1.6499999999999998e-12	0.15506262	-9.217749e-07	0.98788834	-6.975808e-17	-8.685221e+07	300
1.7499999999999998e-12	0.15506262	-1.0107312e-06	0.98788834	-6.9758087e-17	-9.7684296e+07	300
1.85e-12	0.15506262	-1.1049796e-06	0.98788834	-6.9758087e-17	-9.7684296e+07	300
1.95e-12	0.15506262	-1.2048425e-06	0.98788834	-6.975808e-17	-1.0986734e+08	300
2.05e-12	0.15506262	-1.3106635e-06	0.98788834	-6.9758073e-17	-1.0986734e+08	300
2.15e-12	0.15506262	-1.4228018e-06	0.98788834	-6.9758087e-17	-1.2356983e+08	300
2.25e-12	0.15506262	-1.541642e-06	0.98788834	-6.975807e-17	-1.2356983e+08	300
2.35e-12	0.15506262	-1.6675883e-06	0.98788834	-6.975808e-17	-1.3898126e+08	300
2.45e-12	0.15506262	-1.8010683e-06	0.98788834	-6.975808e-17	-1.3898126e+08	300
2.55e-12	0.15506262	-1.9425447e-06	0.98788834	-6.975808e-17	-1.5631477e+08	300
2.65e-12	0.15506262	-2.0924977e-06	0.98788834	-6.975808e-17	-1.5631477e+08	300
2.7499999999999998e-12	0.15506262	-2.2514414e-06	0.98788834	-6.975808e-17	-1.7581006e+08	300
2.8499999999999998e-12	0.15506262	-2.4199176e-06	0.98788834	-6.975808e-17	-1.7581006e+08	300
2.9499999999999997e-12	0.15506262	-2.598503e-06	0.9878883	-6.975808e-17	-1.9773677e+08	300
3.0499999999999997e-12	0.15506262	-2.78781e-06	0.98788834	-6.975808e-17	-1.9773677e+08	300
3.1499999999999997e-12	0.15506263	-2.9884884e-06	0.98788834	-6.975808e-17	-2.223981e+08	300
3.2499999999999997e-12	0.15506262	-3.2012274e-06	0.98788834	-6.975808e-17	-2.223981e+08	300
3.3499999999999997e-12	0.15506262	-3.4267537e-06	0.98788834	-6.975808e-17	-2.5013509e+08	300
3.4499999999999996e-12	0.15506262	-3.6658444e-06	0.98788834	-6.975808e-17	-2.5013509e+08	300
3.5499999999999996e-12	0.15506262	-3.9193174e-06	0.9878883	-6.975808e-17	-2.8133136e+08	300
3.65e-12	0.15506262	-4.188048e-06	0.98788834	-6.975808e-17	-2.8133136e+08	300
3.75e-12	0.15506262	-4.4729563e-06	0.98788834	-6.975808e-17	-3.164183e+08	300
3.85e-12	0.15506262	-4.775021e-06	0.98788834	-6.975808e-17	-3.164183e+08	300
3.95e-12	0.15506263	-5.0952876e-06	0.9878883	-6.975808e-17	-3.5588112e+08	300
4.05e-12	0.15506262	-5.434845e-06	0.98788834	-6.975808e-17	-3.5588112e+08	300
4.15e-12	0.15506262	-5.794876e-06	0.98788834	-6.975808e-17	-4.0026557e+08	300
4.25e-12	0.15506262	-6.176612e-06	0.98788834	-6.975808e-17	-4.0026557e+08	300
4.35e-12	0.15506262	-6.5813683e-06	0.98788834	-6.975808e-17	-4.5018538e+08	300
4.45e-12	0.15506262	-7.0105516e-06	0.98788834	-6.975808e-17	-4.5018538e+08	300
4.55e-12	0.15506262	-7.465637e-06	0.98788834	-6.975808e-17	-5.0633094e+08	300
4.65e-12	0.15506262	-7.948212e-06	0.98788834	-6.975808e-17	-5.0633094e+08	300
4.75e-12	0.15506262	-8.45993e-06	0.98788834	-6.975808e-17	-5.694786e+08	300
