# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
1e-13	0.15506262	-4.737366e-11	0.98788834	-6.9758073e-17	-2.3980596e+07	300
2e-13	0.15506263	-8.468781e-11	0.98788834	-6.9758087e-17	-2.3980596e+07	300
3.4999999999999997e-13	0.15506262	-1.3997514e-10	0.98788834	-6.975808e-17	-2.6971428e+07	300
4.4999999999999995e-13	0.15506262	-1.7776891e-10	0.98788834	-6.975808e-17	-2.6971428e+07	300
5.5e-13	0.15506262	-2.1711166e-10	0.98788834	-6.975808e-17	-3.123985e+07	300
6.5e-13	0.15506262	-2.5884717e-10	0.98788834	-6.975808e-17	-3.123985e+07	300
7.499999999999999e-13	0.15506262	-2.9850433e-10	0.98788834	-6.975808e-17	-3.513605e+07	300
8.499999999999999e-13	0.15506263	-3.4260417e-10	0.9878883	-6.975807e-17	-3.513605e+07	300
9.5e-13	0.15506262	-3.8388315e-10	0.98788834	-6.975808e-17	-4.0696576e+07	300
1.05e-12	0.15506262	-4.2730974e-10	0.98788834	-6.975807e-17	-4.0696576e+07	300
1.15e-12	0.15506263	-4.721752e-10	0.98788834	-6.975808e-17	-4.57722e+07	300
1.25e-12	0.15506262	-5.1633897e-10	0.98788834	-6.975808e-17	-4.57722e+07	300
1.35e-12	0.15506263	-5.627161e-10	0.98788834	-6.975808e-17	-5.1480852e+07	300
1.4499999999999999e-12	0.15506262	-6.1118755e-10	0.98788834	-6.975808e-17	-5.1480852e+07	300
1.5499999999999999e-12	0.15506262	-6.600107e-10	0.98788834	-6.975808e-17	-5.790147e+07	300
1.6499999999999998e-12	0.15506263	-7.098535e-10	0.98788834	-6.975808e-17	-5.790147e+07	300
1.7499999999999998e-12	0.15506263	-7.634551e-10	0.98788834	-6.975808e-17	-6.5122864e+07	300
1.85e-12	0.15506263	-8.176748e-10	0.98788834	-6.975808e-17	-6.5122864e+07	300
1.95e-12	0.15506263	-8.7319485e-10	0.98788834	-6.975807e-17	-7.32449e+07	300
