# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
1e-13	0.15506262	-4.0462844e-08	0.98788834	-6.975807e-17	-4.196604e+07	300
2e-13	0.15506262	-8.325481e-08	0.98788834	-6.975808e-17	-4.196604e+07	300
3.4999999999999997e-13	0.15506262	-1.521423e-07	0.9878883	-6.9758087e-17	-4.72e+07	300
4.4999999999999995e-13	0.15506262	-2.0142294e-07	0.98788834	-6.9758073e-17	-4.72e+07	300
5.5e-13	0.15506263	-2.5358045e-07	0.98788834	-6.9758087e-17	-5.4669736e+07	300
6.5e-13	0.15506262	-3.0878437e-07	0.98788834	-6.9758073e-17	-5.4669736e+07	300
7.499999999999999e-13	0.15506262	-3.6722497e-07	0.98788834	-6.9758087e-17	-6.1488084e+07	300
8.499999999999999e-13	0.15506262	-4.2909318e-07	0.9878883	-6.9758087e-17	-6.1488084e+07	300
9.5e-13	0.15506262	-4.946011e-07	0.98788834	-6.9758087e-17	-7.121901e+07	300
1.05e-12	0.15506262	-5.6396823e-07	0.98788834	-6.9758087e-17	-7.121901e+07	300
1.15e-12	0.15506262	-6.374324e-07	0.98788834	-6.9758087e-17	-8.010135e+07	300
1.25e-12	0.15506262	-7.1523635e-07	0.98788834	-6.9758087e-17	-8.010135e+07	300
1.35e-12	0.15506262	-7.976447e-07	0.98788834	-6.9758087e-17	-9.009149e+07	300
1.4499999999999999e-12	0.15506262	-8.8493573e-07	0.98788834	-6.9758087e-17	-9.009149e+07	300
1.5499999999999999e-12	0.15506262	-9.774091e-07	0.98788834	-6.9758087e-17	-1.01327576e+08	300
1.6499999999999998e-12	0.15506262	-1.0753763e-06	0.98788834	-6.9758073e-17	-1.01327576e+08	300
1.7499999999999998e-12	0.15506262	-1.1791692e-06	0.98788834	-6.9758087e-17	-1.13965016e+08	300
1.85e-12	0.15506262	-1.2891408e-06	0.98788834	-6.9758073e-17	-1.13965016e+08	300
1.95e-12	0.15506262	-1.4056662e-06	0.98788834	-6.9758073e-17	-1.2817857e+08	300
2.05e-12	0.15506262	-1.5291412e-06	0.98788834	-6.9758073e-17	-1.2817857e+08	300
2.15e-12	0.15506262	-1.6599874e-06	0.98788834	-6.9758087e-17	-1.441648e+08	300
2.25e-12	0.15506262	-1.7986481e-06	0.98788834	-6.9758087e-17	-1.441648e+08	300
2.35e-12	0.15506262	-1.9456015e-06	0.98788834	-6.9758087e-17	-1.621448e+08	300
2.45e-12	0.15506262	-2.1013443e-06	0.98788834	-6.9758073e-17	-1.621448e+08	300
2.55e-12	0.15506262	-2.266412e-06	0.98788834	-6.9758087e-17	-1.8236723e+08	300
2.65e-12	0.15506262	-2.441364e-06	0.98788834	-6.9758073e-17	-1.8236723e+08	300
2.7499999999999998e-12	0.15506262	-2.626803e-06	0.98788834	-6.9758087e-17	-2.0511174e+08	300
2.8499999999999998e-12	0.15506262	-2.8233628e-06	0.98788834	-6.975808e-17	-2.0511174e+08	300
2.9499999999999997e-12	0.15506262	-3.031717e-06	0.98788834	-6.975808e-17	-2.306929e+08	300
3.0499999999999997e-12	0.15506262	-3.2525775e-06	0.98788834	-6.975808e-17	-2.306929e+08	300
3.1499999999999997e-12	0.15506262	-3.4867007e-06	0.98788834	-6.9758087e-17	-2.5946443e+08	300
3.2499999999999997e-12	0.15506262	-3.734895e-06	0.98788834	-6.975807e-17	-2.5946443e+08	300
3.3499999999999997e-12	0.15506262	-3.998008e-06	0.98788834	-6.9758087e-17	-2.918243e+08	300
3.4499999999999996e-12	0.15506262	-4.276947e-06	0.98788834	-6.9758087e-17	-2.918243e+08	300
3.5499999999999996e-12	0.15506262	-4.572664e-06	0.98788834	-6.9758087e-17	-3.282199e+08	300
