# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
1e-13	0.15506262	-2.314159e-08	0.98788834	-6.9758087e-17	-2.3980596e+07	300
2e-13	0.15506263	-4.7608815e-08	0.98788834	-6.9758087e-17	-2.3980596e+07	300
3.4999999999999997e-13	0.15506262	-8.699193e-08	0.98788834	-6.975808e-17	-2.6971428e+07	300
4.4999999999999995e-13	0.15506262	-1.1516696e-07	0.98788834	-6.9758073e-17	-2.6971428e+07	300
5.5e-13	0.15506263	-1.4498258e-07	0.98788834	-6.975808e-17	-3.123985e+07	300
6.5e-13	0.15506262	-1.7654153e-07	0.98788834	-6.9758087e-17	-3.123985e+07	300
7.499999999999999e-13	0.15506263	-2.0994696e-07	0.98788834	-6.9758087e-17	-3.513605e+07	300
8.499999999999999e-13	0.15506263	-2.4531158e-07	0.98788834	-6.9758073e-17	-3.513605e+07	300
9.5e-13	0.15506262	-2.8275744e-07	0.98788834	-6.975808e-17	-4.0696576e+07	300
1.05e-12	0.15506263	-3.2240752e-07	0.98788834	-6.9758073e-17	-4.0696576e+07	300
1.15e-12	0.15506262	-3.6439513e-07	0.98788834	-6.9758087e-17	-4.57722e+07	300
1.25e-12	0.15506262	-4.088633e-07	0.98788834	-6.9758073e-17	-4.57722e+07	300
1.35e-12	0.15506262	-4.5596175e-07	0.98788834	-6.975808e-17	-5.1480852e+07	300
1.4499999999999999e-12	0.15506263	-5.058463e-07	0.98788834	-6.9758073e-17	-5.1480852e+07	300
1.5499999999999999e-12	0.15506262	-5.5869145e-07	0.98788834	-6.975808e-17	-5.790147e+07	300
1.6499999999999998e-12	0.15506263	-6.146746e-07	0.98788834	-6.9758073e-17	-5.790147e+07	300
1.7499999999999998e-12	0.15506262	-6.73983e-07	0.98788834	-6.9758087e-17	-6.5122864e+07	300
1.85e-12	0.15506262	-7.368237e-07	0.98788834	-6.9758087e-17	-6.5122864e+07	300
1.95e-12	0.15506262	-8.0340675e-07	0.98788834	-6.9758087e-17	-7.32449e+07	300
2.05e-12	0.15506262	-8.739596e-07	0.98788834	-6.9758073e-17	-7.32449e+07	300
2.15e-12	0.15506262	-9.4872433e-07	0.98788834	-6.975808e-17	-8.237989e+07	300
2.25e-12	0.15506262	-1.0279534e-06	0.98788834	-6.9758073e-17	-8.237989e+07	300
2.35e-12	0.15506263	-1.1119166e-06	0.98788834	-6.9758087e-17	-9.265418e+07	300
2.45e-12	0.15506262	-1.200902e-06	0.98788834	-6.9758087e-17	-9.265418e+07	300
2.55e-12	0.15506263	-1.2952175e-06	0.98788834	-6.975808e-17	-1.0420985e+08	300
2.65e-12	0.15506262	-1.3951812e-06	0.98788834	-6.9758087e-17	-1.0420985e+08	300
2.7499999999999998e-12	0.15506262	-1.5011365e-06	0.98788834	-6.9758087e-17	-1.1720671e+08	300
2.8499999999999998e-12	0.15506262	-1.6134493e-06	0.98788834	-6.975807e-17	-1.1720671e+08	300
2.9499999999999997e-12	0.15506262	-1.732501e-06	0.98788834	-6.975808e-17	-1.3182451e+08	300
3.0499999999999997e-12	0.15506262	-1.8586982e-06	0.98788834	-6.975807e-17	-1.3182451e+08	300
3.1499999999999997e-12	0.15506262	-1.9924746e-06	0.98788834	-6.9758087e-17	-1.4826539e+08	300
3.2499999999999997e-12	0.15506262	-2.1342914e-06	0.98788834	-6.9758087e-17	-1.4826539e+08	300
3.3499999999999997e-12	0.15506262	-2.2846334e-06	0.98788834	-6.9758087e-17	-1.6675674e+08	300
3.4499999999999996e-12	0.15506262	-2.4440205e-06	0.98788834	-6.9758087e-17	-1.6675674e+08	300
3.5499999999999996e-12	0.15506262	-2.612997e-06	0.98788834	-6.9758087e-17	-1.8755424e+08	300
3.65e-12	0.15506262	-2.7921465e-06	0.98788834	-6.9758087e-17	-1.8755424e+08	300
3.75e-12	0.15506262	-2.9820826e-06	0.98788834	-6.9758087e-17	-2.1094554e+08	300
3.85e-12	0.15506262	-3.183462e-06	0.98788834	-6.9758087e-17	-2.1094554e+08	300
3.95e-12	0.15506262	-3.3969677e-06	0.98788834	-6.9758087e-17	-2.3725408e+08	300
4.05e-12	0.15506262	-3.623344e-06	0.98788834	-6.9758087e-17	-2.3725408e+08	300
4.15e-12	0.15506263	-3.8633684e-06	0.98788834	-6.975808e-17	-2.6684371e+08	300
4.25e-12	0.15506262	-4.1178664e-06	0.98788834	-6.9758087e-17	-2.6684371e+08	300
4.35e-12	0.15506262	-4.3877103e-06	0.98788834	-6.9758087e-17	-3.001236e+08	300
4.45e-12	0.15506262	-4.6738332e-06	0.98788834	-6.9758087e-17	-3.001236e+08	300
4.55e-12	0.15506263	-4.977217e-06	0.98788834	-6.9758087e-17	-3.3755395e+08	300
4.65e-12	0.15506263	-5.2989053e-06	0.98788834	-6.9758087e-17	-3.3755395e+08	300
4.75e-12	0.15506262	-5.6400086e-06	0.98788834	-6.975808e-17	-3.7965238e+08	300
4.85e-12	0.15506262	-6.0016982e-06	0.98788834	-6.975807e-17	-3.7965238e+08	300
4.95e-12	0.15506262	-6.3852244e-06	0.98788834	-6.975808e-17	-4.2700102e+08	300
5.05e-12	0.15506262	-6.7919045e-06	0.98788834	-6.975808e-17	-4.2700102e+08	300
5.15e-12	0.15506262	-7.223148e-06	0.98788834	-6.975808e-17	-4.8025462e+08	300
5.25e-12	0.15506262	-7.680437e-06	0.98788834	-6.975808e-17	-4.8025462e+08	300
5.35e-12	0.15506262	-8.165358e-06	0.98788834	-6.975808e-17	-5.4014957e+08	300
5.45e-12	0.15506262	-8.679581e-06	0.98788834	-6.975808e-17	-5.4014957e+08	300
5.5499999999999996e-12	0.15506262	-9.224904e-06	0.98788834	-6.975808e-17	-6.07514e+08	300
5.6499999999999996e-12	0.15506262	-9.803197e-06	0.98788834	-6.975808e-17	-6.07514e+08	300
5.7499999999999995e-12	0.15506262	-1.0416458e-05	0.98788834	-6.975808e-17	-6.8327936e+08	300
5.8499999999999995e-12	0.15506262	-1.1066797e-05	0.98788834	-6.975808e-17	-6.8327936e+08	300
5.9499999999999995e-12	0.15506263	-1.1756447e-05	0.98788834	-6.9758087e-17	-7.6849325e+08	300
6.0499999999999995e-12	0.15506262	-1.2487774e-05	0.98788834	-6.975808e-17	-7.6849325e+08	300
6.1499999999999994e-12	0.15506262	-1.3263305e-05	0.98788834	-6.975808e-17	-8.643339e+08	300
6.2499999999999994e-12	0.15506262	-1.40857155e-05	0.98788834	-6.975808e-17	-8.643339e+08	300
6.349999999999999e-12	0.1550626	-1.4957924e-05	0.98788834	-6.975808e-17	-9.721263e+08	300
6.449999999999999e-12	0.15506257	-1.5883095e-05	0.98788834	-6.975808e-17	-9.721263e+08	300
6.549999999999999e-12	0.15506253	-1.6864687e-05	0.98788834	-6.975808e-17	-1.0933608e+09	300
6.649999999999999e-12	0.15506247	-1.7906295e-05	0.98788834	-6.975808e-17	-1.0933608e+09	300
6.749999999999999e-12	0.15506244	-1.9011555e-05	0.98788834	-6.9758087e-17	-1.2297133e+09	300
6.849999999999999e-12	0.1550624	-2.0184338e-05	0.98788834	-6.9758087e-17	-1.2297133e+09	300
6.949999999999999e-12	0.15506233	-2.1428688e-05	0.98788834	-6.9758087e-17	-1.3830687e+09	300
7.049999999999999e-12	0.15506227	-2.274888e-05	0.98788834	-6.9758087e-17	-1.3830687e+09	300
7.149999999999999e-12	0.15506223	-2.41495e-05	0.98788834	-6.975808e-17	-1.555547e+09	300
7.249999999999999e-12	0.15506217	-2.5635421e-05	0.9878884	-6.9758073e-17	-1.555547e+09	300
7.35e-12	0.15506212	-2.7211701e-05	0.9878884	-6.9758087e-17	-1.7495323e+09	300
7.400000000000002e-12	0.15506211	-2.8035402e-05	0.9878884	-6.975808e-17	-1.7495323e+09	300
7.500000000000003e-12	0.15506205	-2.97575e-05	0.98788834	-6.9758073e-17	-1.7495323e+09	300
7.600000000000005e-12	0.15506198	-3.1584183e-05	0.9878884	-6.975808e-17	-1.9677056e+09	300
7.700000000000006e-12	0.1550619	-3.352182e-05	0.9878884	-6.9758073e-17	-1.9677056e+09	300
7.800000000000008e-12	0.15506184	-3.5577217e-05	0.9878884	-6.975807e-17	-2.213082e+09	300
7.90000000000001e-12	0.15506174	-3.7757654e-05	0.9878884	-6.9758053e-17	-2.213082e+09	300
8.000000000000011e-12	0.15506165	-4.0070827e-05	0.9878885	-6.9758073e-17	-2.489053e+09	300
8.100000000000013e-12	0.15506156	-4.252464e-05	0.9878885	-6.975806e-17	-2.489053e+09	300
8.200000000000014e-12	0.15506144	-4.5127545e-05	0.9878885	-6.975806e-17	-2.799431e+09	300
8.300000000000016e-12	0.15506135	-4.7888465e-05	0.9878885	-6.9758087e-17	-2.799431e+09	300
8.400000000000018e-12	0.15506123	-5.081691e-05	0.9878885	-6.975807e-17	-3.1485048e+09	300
8.500000000000019e-12	0.15506111	-5.3923024e-05	0.9878885	-6.975807e-17	-3.1485048e+09	300
8.60000000000002e-12	0.15506098	-5.7217672e-05	0.98788863	-6.9758087e-17	-3.5410967e+09	300
8.700000000000022e-12	0.15506084	-6.0712475e-05	0.98788863	-6.975807e-17	-3.5410967e+09	300
8.800000000000024e-12	0.1550607	-6.4419495e-05	0.98788863	-6.9758073e-17	-3.9826294e+09	300
8.900000000000025e-12	0.15506053	-6.835137e-05	0.9878887	-6.975806e-17	-3.9826294e+09	300
9.000000000000027e-12	0.15506038	-7.252167e-05	0.98788863	-6.975807e-17	-4.4792e+09	300
9.100000000000029e-12	0.15506023	-7.6944656e-05	0.98788863	-6.975808e-17	-4.4792e+09	300
9.20000000000003e-12	0.15506005	-8.1635415e-05	0.9878887	-6.9758073e-17	-5.0376663e+09	300
9.300000000000032e-12	0.1550599	-8.661006e-05	0.9878887	-6.9758073e-17	-5.0376663e+09	300
9.400000000000033e-12	0.15505973	-9.188571e-05	0.98788875	-6.975807e-17	-5.665737e+09	300
9.500000000000035e-12	0.15505958	-9.7480464e-05	0.98788875	-6.9758087e-17	-5.665737e+09	300
9.600000000000037e-12	0.15505937	-0.00010341379	0.9878888	-6.975806e-17	-6.372081e+09	300
9.700000000000038e-12	0.15505917	-0.000109706154	0.9878888	-6.975807e-17	-6.372081e+09	300
9.80000000000004e-12	0.15505895	-0.00011637922	0.98788893	-6.975806e-17	-7.1664456e+09	300
9.900000000000041e-12	0.1550587	-0.00012345635	0.98788893	-6.975807e-17	-7.1664456e+09	300
1.0000000000000043e-11	0.15505846	-0.0001309618	0.98788893	-6.9758053e-17	-8.059788e+09	300
1.0100000000000045e-11	0.15505818	-0.00013892134	0.98788905	-6.9758073e-17	-8.059788e+09	300
1.0200000000000046e-11	0.15505788	-0.00014736287	0.9878891	-6.9758073e-17	-9.064429e+09	300
1.0300000000000048e-11	0.15505758	-0.00015631541	0.9878891	-6.975807e-17	-9.064429e+09	300
1.040000000000005e-11	0.15505727	-0.00016580963	0.9878892	-6.9758087e-17	-1.0194215e+10	300
1.0500000000000051e-11	0.15505694	-0.00017587795	0.9878892	-6.9758087e-17	-1.0194215e+10	300
1.0600000000000053e-11	0.1550566	-0.00018655515	0.98788923	-6.975806e-17	-1.1464717e+10	300
1.0700000000000054e-11	0.15505621	-0.000197878	0.98788923	-6.975805e-17	-1.1464717e+10	300
1.0800000000000056e-11	0.15505582	-0.00020988587	0.9878894	-6.975806e-17	-1.2893434e+10	300
1.0900000000000057e-11	0.1550554	-0.00022261983	0.9878894	-6.975808e-17	-1.2893434e+10	300
1.1000000000000059e-11	0.15505496	-0.00023612431	0.9878895	-6.9758073e-17	-1.4500034e+10	300
1.110000000000006e-11	0.15505446	-0.0002504455	0.9878895	-6.9758053e-17	-1.4500034e+10	300
1.1200000000000062e-11	0.155054	-0.00026563235	0.98788965	-6.975806e-17	-1.6306621e+10	300
1.1300000000000064e-11	0.15505347	-0.00028173733	0.9878897	-6.975808e-17	-1.6306621e+10	300
1.1400000000000065e-11	0.1550529	-0.0002988159	0.9878898	-6.975806e-17	-1.8338036e+10	300
1.1500000000000067e-11	0.1550523	-0.00031692692	0.98788995	-6.975806e-17	-1.8338036e+10	300
1.1600000000000069e-11	0.15505168	-0.00033613274	0.98789	-6.9758087e-17	-2.062219e+10	300
1.170000000000007e-11	0.15505104	-0.00035649925	0.98789006	-6.975807e-17	-2.062219e+10	300
1.1800000000000072e-11	0.15505032	-0.00037809653	0.9878901	-6.9758073e-17	-2.3190442e+10	300
1.1900000000000073e-11	0.15504958	-0.0004009989	0.98789036	-6.9758053e-17	-2.3190442e+10	300
1.2000000000000075e-11	0.15504879	-0.00042528508	0.9878905	-6.975805e-17	-2.6078015e+10	300
1.2100000000000076e-11	0.15504797	-0.00045103836	0.98789054	-6.975807e-17	-2.6078015e+10	300
1.2200000000000078e-11	0.15504706	-0.00047834736	0.9878906	-6.9758073e-17	-2.9324476e+10	300
1.230000000000008e-11	0.15504614	-0.0005073059	0.98789084	-6.975805e-17	-2.9324476e+10	300
1.2400000000000081e-11	0.15504514	-0.0005380132	0.9878909	-6.975807e-17	-3.2974254e+10	300
1.2500000000000083e-11	0.15504406	-0.00057057466	0.9878911	-6.975804e-17	-3.2974254e+10	300
1.2600000000000084e-11	0.15504295	-0.0006051024	0.98789126	-6.9758053e-17	-3.7077234e+10	300
1.2700000000000086e-11	0.15504174	-0.00064171455	0.9878914	-6.975805e-17	-3.7077234e+10	300
1.2800000000000088e-11	0.15504047	-0.00068053696	0.9878915	-6.975804e-17	-4.168941e+10	300
1.290000000000009e-11	0.15503913	-0.0007217024	0.9878918	-6.9758034e-17	-4.168941e+10	300
1.3000000000000091e-11	0.1550377	-0.0007653519	0.98789203	-6.975803e-17	-4.6873625e+10	300
1.3100000000000092e-11	0.15503618	-0.0008116349	0.98789215	-6.975802e-17	-4.6873625e+10	300
1.3200000000000094e-11	0.15503459	-0.00086070946	0.9878924	-6.975802e-17	-5.2700377e+10	300
1.3300000000000096e-11	0.15503289	-0.00091274356	0.9878926	-6.9758014e-17	-5.2700377e+10	300
1.3400000000000097e-11	0.1550311	-0.00096791465	0.9878929	-6.975802e-17	-5.924874e+10	300
1.3500000000000099e-11	0.15502921	-0.0010264113	0.98789304	-6.975798e-17	-5.924874e+10	300
1.36000000000001e-11	0.15502718	-0.0010884329	0.98789346	-6.9757994e-17	-6.6607366e+10	300
1.3700000000000102e-11	0.15502505	-0.0011541909	0.9878936	-6.975797e-17	-6.6607366e+10	300
1.3800000000000104e-11	0.1550228	-0.0012239089	0.9878939	-6.975798e-17	-7.487562e+10	300
1.3900000000000105e-11	0.15502045	-0.0012978244	0.98789406	-6.9757954e-17	-7.487562e+10	300
1.4000000000000107e-11	0.15501788	-0.0013761886	0.9878944	-6.9757934e-17	-8.416479e+10	300
1.4100000000000108e-11	0.1550152	-0.001459268	0.9878948	-6.9757915e-17	-8.416479e+10	300
1.420000000000011e-11	0.15501237	-0.0015473444	0.98789513	-6.97579e-17	-9.459951e+10	300
1.4300000000000112e-11	0.15500934	-0.0016407163	0.9878955	-6.975787e-17	-9.459951e+10	300
1.4400000000000113e-11	0.15500614	-0.0017397001	0.98789567	-6.975787e-17	-1.0631923e+11	300
1.4500000000000115e-11	0.15500279	-0.0018446296	0.9878961	-6.975783e-17	-1.0631923e+11	300
1.4600000000000116e-11	0.15499923	-0.0019558598	0.98789644	-6.9757815e-17	-1.194799e+11	300
1.4700000000000115e-11	0.15499544	-0.0020737657	0.9878968	-6.975778e-17	-1.194799e+11	300
1.4800000000000113e-11	0.15499145	-0.0021987443	0.98789716	-6.9757736e-17	-1.342558e+11	300
1.490000000000011e-11	0.15498723	-0.0023312154	0.9878976	-6.97577e-17	-1.342558e+11	300
1.500000000000011e-11	0.15498276	-0.0024716235	0.9878979	-6.975764e-17	-1.5529561e+11	300
1.5100000000000108e-11	0.15497804	-0.0026204395	0.98789823	-6.97576e-17	-1.5529561e+11	300
1.5200000000000106e-11	0.15497304	-0.0027781606	0.9878986	-6.975756e-17	-1.5529561e+11	300
