# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-6.810669e-17	0	300
5e-14	0.15506262	-1.4578063e-09	0.98788834	-6.9758087e-17	-2.9975745e+06	300
1e-13	0.15506263	-2.9746392e-09	0.98788834	-6.975808e-17	-2.9975745e+06	300
1.5000000000000002e-13	0.15506262	-4.562464e-09	0.98788834	-6.9758087e-17	-3.2972888e+06	300
2.5e-13	0.15506262	-7.966628e-09	0.9878883	-6.9758087e-17	-3.6269705e+06	300
3e-13	0.15506262	-9.791718e-09	0.98788834	-6.9758087e-17	-3.6269705e+06	300
3.4999999999999997e-13	0.15506262	-1.1703323e-08	0.98788834	-6.9758073e-17	-3.6269705e+06	300
3.9999999999999996e-13	0.15506263	-1.3704936e-08	0.98788834	-6.9758087e-17	-4.1843165e+06	300
4.4999999999999995e-13	0.15506263	-1.5802655e-08	0.9878883	-6.9758087e-17	-4.1843165e+06	300
5e-13	0.15506263	-1.799787e-08	0.98788834	-6.975807e-17	-4.1843165e+06	300
5.5e-13	0.15506262	-2.0300892e-08	0.98788834	-6.9758087e-17	-4.827308e+06	300
6e-13	0.15506262	-2.2710864e-08	0.98788834	-6.9758087e-17	-4.827308e+06	300
6.5e-13	0.15506262	-2.5238169e-08	0.9878883	-6.9758087e-17	-5.3099695e+06	300
6.999999999999999e-13	0.15506262	-2.7886525e-08	0.98788834	-6.975808e-17	-5.3099695e+06	300
7.499999999999999e-13	0.15506262	-3.0658704e-08	0.98788834	-6.9758087e-17	-5.8408895e+06	300
7.999999999999999e-13	0.15506263	-3.3566515e-08	0.98788834	-6.975808e-17	-5.8408895e+06	300
8.499999999999999e-13	0.15506263	-3.6611773e-08	0.98788834	-6.9758087e-17	-6.4248935e+06	300
8.999999999999999e-13	0.15506262	-3.9805435e-08	0.98788834	-6.9758087e-17	-6.4248935e+06	300
9.5e-13	0.15506262	-4.3151765e-08	0.9878883	-6.9758087e-17	-7.0672895e+06	300
1e-12	0.15506263	-4.6659167e-08	0.98788834	-6.9758087e-17	-7.0672895e+06	300
1.05e-12	0.15506262	-5.0335153e-08	0.9878883	-6.9758087e-17	-7.773916e+06	300
1.1e-12	0.15506262	-5.4187534e-08	0.98788834	-6.975808e-17	-7.773916e+06	300
1.15e-12	0.15506263	-5.822568e-08	0.9878883	-6.9758087e-17	-8.551194e+06	300
1.2e-12	0.15506262	-6.245794e-08	0.98788834	-6.9758073e-17	-8.551194e+06	300
1.25e-12	0.15506262	-6.6894756e-08	0.9878883	-6.9758073e-17	-9.406188e+06	300
1.3e-12	0.15506262	-7.154656e-08	0.98788834	-6.9758087e-17	-9.406188e+06	300
1.35e-12	0.15506263	-7.6421884e-08	0.9878883	-6.9758087e-17	-1.0346669e+07	300
1.3999999999999999e-12	0.15506262	-8.15331e-08	0.98788834	-6.975808e-17	-1.0346669e+07	300
1.4499999999999999e-12	0.15506262	-8.689158e-08	0.9878883	-6.9758087e-17	-1.1381183e+07	300
1.4999999999999999e-12	0.15506262	-9.25076e-08	0.98788834	-6.975808e-17	-1.1381183e+07	300
1.5499999999999999e-12	0.15506263	-9.839732e-08	0.98788834	-6.9758087e-17	-1.2519133e+07	300
1.5999999999999998e-12	0.15506262	-1.0457055e-07	0.98788834	-6.9758073e-17	-1.2519133e+07	300
1.6499999999999998e-12	0.15506263	-1.1104319e-07	0.9878883	-6.9758087e-17	-1.377086e+07	300
1.6999999999999998e-12	0.15506262	-1.17829146e-07	0.98788834	-6.9758087e-17	-1.377086e+07	300
1.7499999999999998e-12	0.15506262	-1.2494431e-07	0.98788834	-6.9758087e-17	-1.5147741e+07	300
1.7999999999999998e-12	0.15506262	-1.3240412e-07	0.98788834	-6.975808e-17	-1.5147741e+07	300
1.85e-12	0.15506263	-1.4022648e-07	0.98788834	-6.9758087e-17	-1.6662288e+07	300
1.9e-12	0.15506262	-1.4842614e-07	0.98788834	-6.975808e-17	-1.6662288e+07	300
1.95e-12	0.15506262	-1.5702534e-07	0.9878883	-6.9758073e-17	-1.8328264e+07	300
2e-12	0.15506263	-1.6604153e-07	0.98788834	-6.975808e-17	-1.8328264e+07	300
2.05e-12	0.15506262	-1.7549452e-07	0.98788834	-6.9758087e-17	-2.0160814e+07	300
2.1e-12	0.15506262	-1.8540703e-07	0.98788834	-6.9758087e-17	-2.0160814e+07	300
2.15e-12	0.15506262	-1.9580216e-07	0.9878883	-6.9758073e-17	-2.2176586e+07	300
2.2e-12	0.15506262	-2.0670201e-07	0.98788834	-6.9758073e-17	-2.2176586e+07	300
2.25e-12	0.15506262	-2.1812875e-07	0.9878883	-6.9758073e-17	-2.4393904e+07	300
2.3e-12	0.15506262	-2.3011418e-07	0.98788834	-6.975807e-17	-2.4393904e+07	300
2.35e-12	0.15506262	-2.426803e-07	0.9878883	-6.9758087e-17	-2.6832916e+07	300
