# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1.3e+06
5e-13	-0.1624537	-0.009910879	0.98666495	300.68607	2.1111338e+12	1.2991078e+06
1e-12	-0.16616738	-0.024066644	0.9858023	303.41547	3.0843415e+12	1.2955522e+06
1.5499999999999999e-12	-0.1706846	-0.04566426	0.98426545	308.08868	4.1810096e+12	1.2894419e+06
2.05e-12	-0.17500204	-0.07168203	0.9819535	316.16162	5.4535085e+12	1.2788174e+06
2.55e-12	-0.17923385	-0.10438608	0.97825104	329.07983	6.8445825e+12	1.26163e+06
3.0499999999999997e-12	-0.18302117	-0.14397928	0.97250646	348.22446	8.2659734e+12	1.235719e+06
3.5499999999999996e-12	-0.18598297	-0.19017941	0.96396947	374.4968	9.605437e+12	1.1992501e+06
4.05e-12	-0.18779255	-0.24215448	0.95188725	407.87738	1.0740301e+13	1.1512491e+06
4.55e-12	-0.18824434	-0.29851532	0.9356527	447.13712	1.1555582e+13	1.0920972e+06
5.05e-12	-0.18727842	-0.35737085	0.914989	489.8673	1.1963089e+13	1.02384006e+06
5.5499999999999996e-12	-0.18494394	-0.41644806	0.8901445	532.88617	1.191711e+13	950181.44
6.0499999999999995e-12	-0.18131399	-0.4732765	0.86204624	572.9168	1.1422856e+13	876094.3
6.549999999999999e-12	-0.17639646	-0.5254394	0.8323373	607.30176	1.0535485e+13	807044.06
7.049999999999999e-12	-0.17009579	-0.5708817	0.80321115	634.5006	9.349975e+12	747922.44
7.500000000000003e-12	-0.16314614	-0.60491216	0.77939093	654.22205	7.984404e+12	701946.9
8.000000000000011e-12	-0.15376143	-0.63447255	0.7574869	667.20483	6.560707e+12	669961
8.500000000000019e-12	-0.14261389	-0.65568435	0.74143267	674.7939	5.187223e+12	650535.7
9.000000000000027e-12	-0.12972347	-0.6694279	0.7314503	678.498	3.9463478e+12	640840.75
9.500000000000035e-12	-0.115197286	-0.6768828	0.72700685	679.6648	2.8888956e+12	637756.25
1.0000000000000043e-11	-0.09920608	-0.6792565	0.72714955	679.3224	2.0349064e+12	638662.94
1.0500000000000051e-11	-0.081961155	-0.6776265	0.73080784	678.1608	1.3792189e+12	641729.25
1.1000000000000059e-11	-0.06369345	-0.67287993	0.73698616	676.594	8.9949346e+11	645842.4
1.1500000000000067e-11	-0.044634666	-0.66570765	0.7448564	674.8458	5.644675e+11	650400.8
1.2000000000000075e-11	-0.025001759	-0.6566236	0.75378203	673.0263	3.4084428e+11	655111.56
1.2500000000000083e-11	-0.004986754	-0.64599323	0.7633032	671.18463	1.980383e+11	659845.4
1.3000000000000091e-11	0.015247295	-0.6340634	0.77310526	669.34094	1.1071806e+11	664550.7
1.3500000000000099e-11	0.035565216	-0.620993	0.78298146	667.5027	5.956126e+10	669209.1
1.4000000000000107e-11	0.055855215	-0.6068777	0.79280096	665.6725	3.0830842e+10	673815.25
1.4500000000000115e-11	0.07602302	-0.591771	0.802482	663.8511	1.5356172e+10	678368.2
1.500000000000011e-11	0.09598338	-0.5757019	0.81197333	661.85815	6.823297e+09	683315
1.55000000000001e-11	0.11565715	-0.5586854	0.8212408	659.6967	2.6705477e+09	688639.94
1.6000000000000093e-11	0.13498269	-0.5407263	0.830261	658.6209	1.636336e+09	691275.2
1.6500000000000085e-11	0.15388991	-0.52182966	0.83901525	656.4788	5.893251e+08	696492.4
1.7000000000000077e-11	0.17230198	-0.50200534	0.84748673	654.3495	2.0079598e+08	701639.94
1.750000000000007e-11	0.19015695	-0.48126054	0.8556609	653.2897	1.1479531e+08	704188.2
1.800000000000006e-11	0.20738478	-0.45960945	0.8635242	651.1794	3.5991556e+07	709234.5
1.8500000000000052e-11	0.22390933	-0.4370746	0.8710625	649.0818	1.067566e+07	714215.4
1.9000000000000044e-11	0.2396676	-0.41367692	0.8782634	648.03766	5.694569e+06	716681.75
1.9500000000000036e-11	0.25459045	-0.3894457	0.88511467	645.9588	1.5542874e+06	721567.25
2.0000000000000028e-11	0.268605	-0.36442038	0.89160407	643.89233	401346.44	726391
2.050000000000002e-11	0.2816505	-0.33863735	0.89772093	642.8638	199748.05	728780.1
2.100000000000001e-11	0.29366285	-0.31214243	0.9034551	640.8158	47462.105	733513.9
2.1500000000000003e-11	0.30457672	-0.28499162	0.90879667	638.7801	10669.132	738189.25
2.2049999999999994e-11	0.31524748	-0.25443256	0.9142089	637.7668	4954.379	740505.44
2.2549999999999986e-11	0.3236793	-0.22608313	0.91870016	635.74927	1024.8203	745095.7
2.3049999999999978e-11	0.33084595	-0.19726902	0.92277557	633.7438	200.55052	749630.56
2.354999999999997e-11	0.3367032	-0.16806133	0.92642987	632.74554	86.89223	751877.7
2.404999999999996e-11	0.34121493	-0.13852519	0.92965925	630.758	15.647083	756331.9
