# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	-1.0675384e-08	-4.544009e-08	1	-4.1875195e-17	-3.5970892e+07	300
2e-13	-2.1336838e-08	-9.362909e-08	1	-4.1875195e-17	-3.5970892e+07	300
3.4999999999999997e-13	-3.7305895e-08	-1.7141342e-07	1	-4.1875195e-17	-4.0457144e+07	300
4.4999999999999995e-13	-4.793884e-08	-2.2718388e-07	1	-4.1875195e-17	-4.0457144e+07	300
5.5e-13	-5.856345e-08	-2.8629694e-07	1	-4.1875195e-17	-4.6859776e+07	300
6.5e-13	-6.918183e-08	-3.4894603e-07	1	-4.1875195e-17	-4.6859776e+07	300
7.499999999999999e-13	-7.979629e-08	-4.1533633e-07	1	-4.1875195e-17	-5.270407e+07	300
8.499999999999999e-13	-9.040943e-08	-4.856856e-07	1	-4.1875195e-17	-5.270407e+07	300
9.5e-13	-1.0102412e-07	-5.6022463e-07	1	-4.1875195e-17	-6.104486e+07	300
1.05e-12	-1.1164348e-07	-6.3919856e-07	1	-4.1875195e-17	-6.104486e+07	300
1.15e-12	-1.2227095e-07	-7.2286736e-07	1	-4.1875195e-17	-6.86583e+07	300
1.25e-12	-1.3291032e-07	-8.115065e-07	1	-4.1875195e-17	-6.86583e+07	300
1.35e-12	-1.4356564e-07	-9.0540857e-07	1	-4.1875195e-17	-7.722128e+07	300
1.4499999999999999e-12	-1.5424133e-07	-1.0048839e-06	1	-4.1875195e-17	-7.722128e+07	300
1.5499999999999999e-12	-1.6494226e-07	-1.1102612e-06	1	-4.1875195e-17	-8.685221e+07	300
1.6499999999999998e-12	-1.7567363e-07	-1.22189e-06	1	-4.1875195e-17	-8.685221e+07	300
1.7499999999999998e-12	-1.8644103e-07	-1.3401403e-06	1	-4.1875195e-17	-9.7684296e+07	300
1.85e-12	-1.9725053e-07	-1.465405e-06	1	-4.1875195e-17	-9.7684296e+07	300
1.95e-12	-2.081087e-07	-1.5981009e-06	1	-4.1875195e-17	-1.0986734e+08	300
2.05e-12	-2.1902248e-07	-1.7386694e-06	1	-4.1875195e-17	-1.0986734e+08	300
2.15e-12	-2.2999947e-07	-1.8875796e-06	1	-4.1875195e-17	-1.2356983e+08	300
2.25e-12	-2.4104773e-07	-2.0453288e-06	1	-4.1875195e-17	-1.2356983e+08	300
2.35e-12	-2.5217594e-07	-2.2124443e-06	1	-4.1875195e-17	-1.3898126e+08	300
2.45e-12	-2.633933e-07	-2.3894859e-06	1	-4.1875195e-17	-1.3898126e+08	300
2.55e-12	-2.7470992e-07	-2.577046e-06	1	-4.1875195e-17	-1.5631477e+08	300
2.65e-12	-2.8613624e-07	-2.7757546e-06	1	-4.1875195e-17	-1.5631477e+08	300
2.7499999999999998e-12	-2.976837e-07	-2.9862795e-06	1	-4.1875195e-17	-1.7581006e+08	300
2.8499999999999998e-12	-3.093644e-07	-3.209328e-06	1	-4.1875195e-17	-1.7581006e+08	300
2.9499999999999997e-12	-3.211913e-07	-3.4456518e-06	1	-4.1875195e-17	-1.9773677e+08	300
3.0499999999999997e-12	-3.3317818e-07	-3.6960464e-06	1	-4.1875195e-17	-1.9773677e+08	300
3.1499999999999997e-12	-3.4533969e-07	-3.961358e-06	1	-4.1875195e-17	-2.223981e+08	300
3.2499999999999997e-12	-3.5769162e-07	-4.2424813e-06	1	-4.1875195e-17	-2.223981e+08	300
3.3499999999999997e-12	-3.7025063e-07	-4.5403676e-06	1	-4.1875195e-17	-2.5013509e+08	300
3.4499999999999996e-12	-3.8303443e-07	-4.856024e-06	1	-4.1875195e-17	-2.5013509e+08	300
3.5499999999999996e-12	-3.9606212e-07	-5.190521e-06	1	-4.1875195e-17	-2.8133136e+08	300
3.65e-12	-4.0935382e-07	-5.5449914e-06	1	-4.1875195e-17	-2.8133136e+08	300
3.75e-12	-4.2293095e-07	-5.920637e-06	1	-4.1875195e-17	-3.164183e+08	300
3.85e-12	-4.3681626e-07	-6.3187344e-06	1	-4.1875195e-17	-3.164183e+08	300
3.95e-12	-4.5103417e-07	-6.7406377e-06	1	-4.1875195e-17	-3.5588112e+08	300
4.05e-12	-4.6561036e-07	-7.1877794e-06	1	-4.1875195e-17	-3.5588112e+08	300
4.15e-12	-4.805723e-07	-7.661681e-06	1	-4.1875195e-17	-4.0026557e+08	300
4.25e-12	-4.959491e-07	-8.163959e-06	1	-4.1875195e-17	-4.0026557e+08	300
4.35e-12	-5.117718e-07	-8.696322e-06	1	-4.1875195e-17	-4.5018538e+08	300
4.45e-12	-5.280733e-07	-9.260587e-06	1	-4.1875195e-17	-4.5018538e+08	300
4.55e-12	-5.448885e-07	-9.858679e-06	1	-4.1875195e-17	-5.0633094e+08	300
4.65e-12	-5.622545e-07	-1.0492642e-05	1	-4.1875195e-17	-5.0633094e+08	300
4.75e-12	-5.802109e-07	-1.1164638e-05	1	-4.1875195e-17	-5.694786e+08	300
4.85e-12	-5.987994e-07	-1.1876965e-05	1	-4.1875195e-17	-5.694786e+08	300
4.95e-12	-6.1806446e-07	-1.263206e-05	1	-4.1875195e-17	-6.4050157e+08	300
5.05e-12	-6.380533e-07	-1.3432506e-05	1	-4.1875195e-17	-6.4050157e+08	300
5.15e-12	-6.58816e-07	-1.4281042e-05	1	-4.1875195e-17	-7.2038195e+08	300
5.25e-12	-6.8040583e-07	-1.5180576e-05	1	-4.1875195e-17	-7.2038195e+08	300
5.35e-12	-7.02879e-07	-1.6134189e-05	1	-4.1875195e-17	-8.102243e+08	300
5.45e-12	-7.262955e-07	-1.7145145e-05	1	-4.1875195e-17	-8.102243e+08	300
5.5499999999999996e-12	-7.507189e-07	-1.8216919e-05	1	-4.1875195e-17	-9.112709e+08	300
5.6499999999999996e-12	-7.7621667e-07	-1.9353178e-05	1	-4.1875195e-17	-9.112709e+08	300
5.7499999999999995e-12	-8.0286014e-07	-2.0557827e-05	1	-4.1875195e-17	-1.024919e+09	300
5.8499999999999995e-12	-8.3072547e-07	-2.1835e-05	1	-4.1875195e-17	-1.024919e+09	300
5.9499999999999995e-12	-8.5989313e-07	-2.3189077e-05	1	-4.1875195e-17	-1.1527398e+09	300
6.0499999999999995e-12	-8.9044835e-07	-2.4624715e-05	1	-4.1875195e-17	-1.1527398e+09	300
6.1499999999999994e-12	-9.22482e-07	-2.6146841e-05	1	-4.1875195e-17	-1.2965007e+09	300
6.2499999999999994e-12	-9.560902e-07	-2.7760692e-05	1	-4.1875195e-17	-1.2965007e+09	300
6.349999999999999e-12	-9.913746e-07	-2.947181e-05	1	-4.1875195e-17	-1.4581894e+09	300
6.449999999999999e-12	-1.0284438e-06	-3.128608e-05	1	-4.1875195e-17	-1.4581894e+09	300
6.549999999999999e-12	-1.0674122e-06	-3.320974e-05	1	-4.1875195e-17	-1.6400411e+09	300
6.649999999999999e-12	-1.1084016e-06	-3.524941e-05	1	-4.1875195e-17	-1.6400411e+09	300
6.749999999999999e-12	-1.1515411e-06	-3.741211e-05	1	-4.1875195e-17	-1.8445699e+09	300
6.849999999999999e-12	-1.1969677e-06	-3.9705264e-05	1	-4.1875195e-17	-1.8445699e+09	300
6.949999999999999e-12	-1.2448261e-06	-4.2136788e-05	1	-4.1875195e-17	-2.074603e+09	300
