# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	-1.779231e-08	-7.57335e-08	1	-4.1875195e-17	-5.995149e+07	300
2e-13	-3.55614e-08	-1.5604849e-07	1	-4.1875195e-17	-5.995149e+07	300
3.4999999999999997e-13	-6.21765e-08	-2.8568905e-07	1	-4.1875195e-17	-6.742857e+07	300
4.4999999999999995e-13	-7.989807e-08	-3.7863984e-07	1	-4.1875195e-17	-6.742857e+07	300
5.5e-13	-9.760575e-08	-4.7716156e-07	1	-4.1875195e-17	-7.8099624e+07	300
6.5e-13	-1.15303045e-07	-5.815767e-07	1	-4.1875195e-17	-7.8099624e+07	300
7.499999999999999e-13	-1.329938e-07	-6.922272e-07	1	-4.1875195e-17	-8.784012e+07	300
8.499999999999999e-13	-1.5068238e-07	-8.0947586e-07	1	-4.1875195e-17	-8.784012e+07	300
9.5e-13	-1.6837355e-07	-9.337077e-07	1	-4.1875195e-17	-1.0174143e+08	300
1.05e-12	-1.8607247e-07	-1.065331e-06	1	-4.1875195e-17	-1.0174143e+08	300
1.15e-12	-2.0378491e-07	-1.2047789e-06	1	-4.1875195e-17	-1.14430504e+08	300
1.25e-12	-2.2151718e-07	-1.3525108e-06	1	-4.1875195e-17	-1.14430504e+08	300
1.35e-12	-2.3927603e-07	-1.5090144e-06	1	-4.1875195e-17	-1.2870213e+08	300
1.4499999999999999e-12	-2.570689e-07	-1.6748064e-06	1	-4.1875195e-17	-1.2870213e+08	300
1.5499999999999999e-12	-2.749038e-07	-1.8504354e-06	1	-4.1875195e-17	-1.4475368e+08	300
1.6499999999999998e-12	-2.927894e-07	-2.0364835e-06	1	-4.1875195e-17	-1.4475368e+08	300
1.7499999999999998e-12	-3.1073506e-07	-2.2335673e-06	1	-4.1875195e-17	-1.6280717e+08	300
1.85e-12	-3.287509e-07	-2.442342e-06	1	-4.1875195e-17	-1.6280717e+08	300
1.95e-12	-3.4684786e-07	-2.6635014e-06	1	-4.1875195e-17	-1.8311224e+08	300
2.05e-12	-3.6503747e-07	-2.8977825e-06	1	-4.1875195e-17	-1.8311224e+08	300
2.15e-12	-3.8333246e-07	-3.145966e-06	1	-4.1875195e-17	-2.0594971e+08	300
2.25e-12	-4.017462e-07	-3.4088816e-06	1	-4.1875195e-17	-2.0594971e+08	300
2.35e-12	-4.202932e-07	-3.6874076e-06	1	-4.1875195e-17	-2.3163544e+08	300
2.45e-12	-4.3898885e-07	-3.9824763e-06	1	-4.1875195e-17	-2.3163544e+08	300
2.55e-12	-4.5784984e-07	-4.295077e-06	1	-4.1875195e-17	-2.605246e+08	300
2.65e-12	-4.768937e-07	-4.626258e-06	1	-4.1875195e-17	-2.605246e+08	300
2.7499999999999998e-12	-4.9613953e-07	-4.9771324e-06	1	-4.1875195e-17	-2.9301677e+08	300
2.8499999999999998e-12	-5.156074e-07	-5.3488798e-06	1	-4.1875195e-17	-2.9301677e+08	300
2.9499999999999997e-12	-5.353188e-07	-5.742753e-06	1	-4.1875195e-17	-3.2956128e+08	300
3.0499999999999997e-12	-5.5529694e-07	-6.160077e-06	1	-4.1875195e-17	-3.2956128e+08	300
