# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	0.1940095	-3.8044917e-08	0.98097837	-4.3464526e-17	-2.9975744e+07	300
2e-13	0.19400951	-7.822457e-08	0.98097837	-4.3464526e-17	-2.9975744e+07	300
3.4999999999999997e-13	0.1940095	-1.4284066e-07	0.98097837	-4.3464526e-17	-3.3714284e+07	300
4.4999999999999995e-13	0.19400951	-1.8903319e-07	0.98097837	-4.3464526e-17	-3.3714284e+07	300
5.5e-13	0.19400948	-2.3789161e-07	0.98097837	-4.3464526e-17	-3.9049812e+07	300
6.5e-13	0.19400948	-2.8957396e-07	0.98097837	-4.3464526e-17	-3.9049812e+07	300
7.499999999999999e-13	0.1940095	-3.442543e-07	0.98097837	-4.3464526e-17	-4.392006e+07	300
8.499999999999999e-13	0.19400951	-4.02115e-07	0.98097837	-4.3464526e-17	-4.392006e+07	300
9.5e-13	0.19400951	-4.6334975e-07	0.98097837	-4.3464526e-17	-5.0870716e+07	300
1.05e-12	0.19400951	-5.281595e-07	0.98097837	-4.3464526e-17	-5.0870716e+07	300
1.15e-12	0.1940095	-5.9676427e-07	0.98097837	-4.3464533e-17	-5.7215252e+07	300
1.25e-12	0.19400951	-6.693921e-07	0.98097837	-4.3464533e-17	-5.7215252e+07	300
1.35e-12	0.19400951	-7.4628804e-07	0.98097837	-4.3464526e-17	-6.4351064e+07	300
1.4499999999999999e-12	0.19400951	-8.277094e-07	0.98097837	-4.3464533e-17	-6.4351064e+07	300
1.5499999999999999e-12	0.1940095	-9.139317e-07	0.98097837	-4.3464533e-17	-7.237684e+07	300
1.6499999999999998e-12	0.1940095	-1.0052463e-06	0.98097837	-4.3464533e-17	-7.237684e+07	300
1.7499999999999998e-12	0.19400951	-1.1019605e-06	0.98097837	-4.3464526e-17	-8.140358e+07	300
1.85e-12	0.1940095	-1.2044023e-06	0.98097837	-4.3464526e-17	-8.140358e+07	300
1.95e-12	0.19400951	-1.3129194e-06	0.98097837	-4.3464533e-17	-9.155612e+07	300
2.05e-12	0.19400951	-1.4278792e-06	0.98097837	-4.3464533e-17	-9.155612e+07	300
2.15e-12	0.19400948	-1.5496714e-06	0.98097837	-4.3464526e-17	-1.02974856e+08	300
2.25e-12	0.1940095	-1.678711e-06	0.98097837	-4.3464526e-17	-1.02974856e+08	300
2.35e-12	0.19400951	-1.8154378e-06	0.98097837	-4.3464533e-17	-1.1581772e+08	300
2.45e-12	0.19400951	-1.9603176e-06	0.98097837	-4.3464533e-17	-1.1581772e+08	300
2.55e-12	0.1940095	-2.1138342e-06	0.98097837	-4.3464526e-17	-1.302623e+08	300
2.65e-12	0.19400951	-2.2765198e-06	0.98097837	-4.3464533e-17	-1.302623e+08	300
2.7499999999999998e-12	0.19400951	-2.44893e-06	0.98097837	-4.3464526e-17	-1.4650838e+08	300
2.8499999999999998e-12	0.1940095	-2.6316566e-06	0.98097837	-4.3464526e-17	-1.4650838e+08	300
2.9499999999999997e-12	0.19400951	-2.82532e-06	0.98097837	-4.3464526e-17	-1.6478064e+08	300
3.0499999999999997e-12	0.1940095	-3.0305848e-06	0.98097837	-4.3464526e-17	-1.6478064e+08	300
3.1499999999999997e-12	0.19400951	-3.2481523e-06	0.98097837	-4.3464526e-17	-1.8533174e+08	300
3.2499999999999997e-12	0.1940095	-3.47877e-06	0.98097837	-4.3464533e-17	-1.8533174e+08	300
3.3499999999999997e-12	0.19400951	-3.7232312e-06	0.98097837	-4.3464526e-17	-2.084459e+08	300
3.4499999999999996e-12	0.19400951	-3.982367e-06	0.98097837	-4.3464526e-17	-2.084459e+08	300
3.5499999999999996e-12	0.1940095	-4.257069e-06	0.98097837	-4.3464526e-17	-2.344428e+08	300
3.65e-12	0.19400951	-4.5482852e-06	0.98097837	-4.3464533e-17	-2.344428e+08	300
3.75e-12	0.1940095	-4.8570123e-06	0.98097837	-4.3464526e-17	-2.636819e+08	300
3.85e-12	0.1940095	-5.18431e-06	0.98097837	-4.3464533e-17	-2.636819e+08	300
3.95e-12	0.19400951	-5.531299e-06	0.98097837	-4.3464533e-17	-2.9656758e+08	300
4.05e-12	0.19400948	-5.899173e-06	0.98097837	-4.3464526e-17	-2.9656758e+08	300
4.15e-12	0.19400951	-6.2891963e-06	0.98097837	-4.3464533e-17	-3.3355462e+08	300
4.25e-12	0.19400951	-6.702714e-06	0.98097837	-4.3464533e-17	-3.3355462e+08	300
4.35e-12	0.1940095	-7.1411405e-06	0.98097837	-4.3464526e-17	-3.751545e+08	300
4.45e-12	0.1940095	-7.6059914e-06	0.98097837	-4.3464526e-17	-3.751545e+08	300
4.55e-12	0.19400951	-8.098859e-06	0.98097837	-4.3464526e-17	-4.2194243e+08	300
4.65e-12	0.1940095	-8.621432e-06	0.98097837	-4.3464526e-17	-4.2194243e+08	300
4.75e-12	0.1940095	-9.1755155e-06	0.98097837	-4.3464526e-17	-4.7456547e+08	300
4.85e-12	0.1940095	-9.763022e-06	0.98097837	-4.3464526e-17	-4.7456547e+08	300
4.95e-12	0.19400951	-1.0385974e-05	0.98097837	-4.3464526e-17	-5.337513e+08	300
5.05e-12	0.19400951	-1.1046516e-05	0.98097837	-4.3464533e-17	-5.337513e+08	300
5.15e-12	0.1940095	-1.1746924e-05	0.98097837	-4.3464526e-17	-6.003183e+08	300
5.25e-12	0.19400951	-1.248962e-05	0.98097837	-4.3464533e-17	-6.003183e+08	300
5.35e-12	0.19400951	-1.327715e-05	0.98097837	-4.3464526e-17	-6.7518694e+08	300
5.45e-12	0.1940095	-1.4112247e-05	0.98097837	-4.3464533e-17	-6.7518694e+08	300
5.5499999999999996e-12	0.1940095	-1.4997793e-05	0.98097837	-4.3464533e-17	-7.5939245e+08	300
5.6499999999999996e-12	0.19400951	-1.593686e-05	0.98097837	-4.3464533e-17	-7.5939245e+08	300
5.7499999999999995e-12	0.1940095	-1.6932656e-05	0.98097837	-4.3464526e-17	-8.5409914e+08	300
5.8499999999999995e-12	0.1940095	-1.7988626e-05	0.98097837	-4.3464526e-17	-8.5409914e+08	300
5.9499999999999995e-12	0.19400951	-1.9108407e-05	0.98097837	-4.3464526e-17	-9.606166e+08	300
6.0499999999999995e-12	0.19400951	-2.0295816e-05	0.98097837	-4.3464526e-17	-9.606166e+08	300
6.1499999999999994e-12	0.19400951	-2.1554977e-05	0.98097837	-4.3464526e-17	-1.0804173e+09	300
6.2499999999999994e-12	0.19400951	-2.2890234e-05	0.98097837	-4.3464526e-17	-1.0804173e+09	300
6.349999999999999e-12	0.19400948	-2.4306204e-05	0.98097837	-4.3464526e-17	-1.2151579e+09	300
6.449999999999999e-12	0.19400948	-2.5807822e-05	0.98097837	-4.3464526e-17	-1.2151579e+09	300
6.549999999999999e-12	0.19400948	-2.740033e-05	0.98097837	-4.346454e-17	-1.3667009e+09	300
6.649999999999999e-12	0.19400942	-2.908943e-05	0.98097837	-4.346452e-17	-1.3667009e+09	300
6.749999999999999e-12	0.1940094	-3.0881114e-05	0.98097837	-4.3464533e-17	-1.5371415e+09	300
6.849999999999999e-12	0.19400936	-3.278168e-05	0.98097837	-4.3464533e-17	-1.5371415e+09	300
6.949999999999999e-12	0.1940093	-3.4797624e-05	0.98097837	-4.346453e-17	-1.7288358e+09	300
7.049999999999999e-12	0.19400927	-3.693593e-05	0.98097837	-4.346453e-17	-1.7288358e+09	300
7.149999999999999e-12	0.19400918	-3.9203987e-05	0.9809785	-4.3464536e-17	-1.9444338e+09	300
7.249999999999999e-12	0.19400916	-4.1609605e-05	0.9809785	-4.3464536e-17	-1.9444338e+09	300
7.35e-12	0.19400913	-4.4161105e-05	0.9809785	-4.3464546e-17	-2.1869153e+09	300
7.400000000000002e-12	0.1940091	-4.5494282e-05	0.9809785	-4.346454e-17	-2.1869153e+09	300
7.500000000000003e-12	0.19400902	-4.8281217e-05	0.98097855	-4.3464546e-17	-2.1869153e+09	300
7.600000000000005e-12	0.19400898	-5.1236988e-05	0.9809785	-4.3464553e-17	-2.4596319e+09	300
