# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	0.1940095	-3.8130835e-08	0.98097837	-4.346452e-17	-2.9975744e+07	300
2e-13	0.1940095	-7.840182e-08	0.98097837	-4.346452e-17	-2.9975744e+07	300
3.4999999999999997e-13	0.1940095	-1.4315128e-07	0.98097837	-4.3464526e-17	-3.3714284e+07	300
4.4999999999999995e-13	0.1940095	-1.8943359e-07	0.98097837	-4.3464526e-17	-3.3714284e+07	300
5.5e-13	0.1940095	-2.383791e-07	0.98097837	-4.3464526e-17	-3.9049812e+07	300
6.5e-13	0.1940095	-2.901488e-07	0.98097837	-4.3464526e-17	-3.9049812e+07	300
7.499999999999999e-13	0.1940095	-3.4491765e-07	0.98097837	-4.3464526e-17	-4.392006e+07	300
8.499999999999999e-13	0.1940095	-4.028659e-07	0.98097837	-4.3464526e-17	-4.392006e+07	300
9.5e-13	0.1940095	-4.6418447e-07	0.98097837	-4.3464533e-17	-5.0870716e+07	300
1.05e-12	0.1940095	-5.290813e-07	0.98097837	-4.3464533e-17	-5.0870716e+07	300
1.15e-12	0.1940095	-5.977694e-07	0.98097837	-4.3464526e-17	-5.7215252e+07	300
1.25e-12	0.1940095	-6.704805e-07	0.98097837	-4.346454e-17	-5.7215252e+07	300
1.35e-12	0.1940095	-7.474604e-07	0.98097837	-4.3464526e-17	-6.4351064e+07	300
1.4499999999999999e-12	0.1940095	-8.28966e-07	0.98097837	-4.3464526e-17	-6.4351064e+07	300
1.5499999999999999e-12	0.19400948	-9.1527033e-07	0.98097837	-4.3464526e-17	-7.237684e+07	300
1.6499999999999998e-12	0.1940095	-1.0066669e-06	0.98097837	-4.3464526e-17	-7.237684e+07	300
1.7499999999999998e-12	0.1940095	-1.1034654e-06	0.98097837	-4.3464526e-17	-8.140358e+07	300
1.85e-12	0.1940095	-1.2059895e-06	0.98097837	-4.3464526e-17	-8.140358e+07	300
1.95e-12	0.1940095	-1.314591e-06	0.98097837	-4.3464526e-17	-9.155612e+07	300
2.05e-12	0.1940095	-1.4296337e-06	0.98097837	-4.3464526e-17	-9.155612e+07	300
2.15e-12	0.1940095	-1.5515086e-06	0.98097837	-4.3464526e-17	-1.02974856e+08	300
2.25e-12	0.1940095	-1.6806313e-06	0.98097837	-4.3464526e-17	-1.02974856e+08	300
2.35e-12	0.1940095	-1.8174383e-06	0.98097837	-4.3464526e-17	-1.1581772e+08	300
2.45e-12	0.1940095	-1.9623976e-06	0.98097837	-4.3464526e-17	-1.1581772e+08	300
2.55e-12	0.1940095	-2.116001e-06	0.98097837	-4.3464526e-17	-1.302623e+08	300
2.65e-12	0.1940095	-2.2787747e-06	0.98097837	-4.3464526e-17	-1.302623e+08	300
2.7499999999999998e-12	0.1940095	-2.4512724e-06	0.98097837	-4.3464526e-17	-1.4650838e+08	300
2.8499999999999998e-12	0.1940095	-2.6340851e-06	0.98097837	-4.3464526e-17	-1.4650838e+08	300
2.9499999999999997e-12	0.1940095	-2.8278382e-06	0.98097837	-4.3464526e-17	-1.6478064e+08	300
3.0499999999999997e-12	0.1940095	-3.0331912e-06	0.98097837	-4.3464526e-17	-1.6478064e+08	300
3.1499999999999997e-12	0.1940095	-3.2508462e-06	0.98097837	-4.3464526e-17	-1.8533174e+08	300
3.2499999999999997e-12	0.1940095	-3.4815523e-06	0.98097837	-4.3464526e-17	-1.8533174e+08	300
