# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1e+06
2.5e-13	2.2713379e-05	0.00010052051	1	300	-2.530205e+10	1e+06
5e-13	5.5880555e-05	0.00026289502	1	300.00012	-4.1452323e+10	999999.8
7.999999999999999e-13	0.00011661409	0.0005844801	0.99999994	300.0005	-6.621365e+10	999999.4
1.05e-12	0.0001926768	0.0010108101	0.9999995	300.00165	-1.12334496e+11	999997.8
1.3e-12	0.00030121228	0.001645758	0.9999986	300.0039	-1.697164e+11	999994.9
1.5499999999999999e-12	0.0004528439	0.002567827	0.99999666	300.00876	-2.5e+11	999988.44
1.7999999999999998e-12	0.0006595916	0.0038734379	0.9999923	300.01877	-3.5905556e+11	999975.25
2.05e-12	0.00093406806	0.005675957	0.99998367	300.03842	-5.0279252e+11	999949.4
2.3e-12	0.001288176	0.008102288	0.9999665	300.07504	-6.8646974e+11	999901.06
2.55e-12	0.001731301	0.011286566	0.99993473	300.13995	-9.138176e+11	999815.5
2.7999999999999998e-12	0.002268076	0.015360855	0.9998795	300.24924	-1.1860502e+12	999671.3
3.0499999999999997e-12	0.0028959124	0.020443095	0.99978685	300.42426	-1.5009013e+12	999440.4
3.2999999999999997e-12	0.0036026067	0.026623307	0.99963903	300.69064	-1.8518536e+12	999088.75
3.5499999999999996e-12	0.004364393	0.03394935	0.999414	301.07608	-2.227751e+12	998579.6
3.8e-12	0.005144864	0.042414162	0.9990869	301.6062	-2.6129562e+12	997878.56
4.05e-12	0.0058950633	0.051946428	0.9986325	302.2993	-2.9881548e+12	996960.7
4.3e-12	0.0065549873	0.062406514	0.9980293	303.16064	-3.331805e+12	995817.94
4.55e-12	0.007056446	0.0735892	0.9972638	304.17822	-3.6221087e+12	994465
4.8e-12	0.0073271054	0.085233204	0.9963341	305.3208	-3.839272e+12	992942.06
5.05e-12	0.0072953254	0.0970378	0.99525404	306.54025	-3.9677266e+12	991312.25
5.3e-12	0.0068952637	0.108683944	0.99405247	307.7772	-3.9979752e+12	989654.44
5.5499999999999996e-12	0.0060717394	0.11985821	0.9927725	308.96957	-3.927751e+12	988051.94
5.7999999999999995e-12	0.004784304	0.13027579	0.9914664	310.06174	-3.7622986e+12	986580.3
6.0499999999999995e-12	0.0030101012	0.13970019	0.99018943	311.01205	-3.5137273e+12	985296.8
6.2999999999999994e-12	0.00074522843	0.14795691	0.9889936	311.79733	-3.1995456e+12	984234.2
6.549999999999999e-12	-0.00199554	0.15493973	0.98792183	312.41312	-2.840626e+12	983399.6
6.799999999999999e-12	-0.0051805773	0.16061033	0.98700434	312.87088	-2.4589251e+12	982778.44
7.049999999999999e-12	-0.008764465	0.1649909	0.9862561	313.19284	-2.0753053e+12	982341.2
7.3e-12	-0.012691895	0.16815305	0.9856792	313.40628	-1.7077495e+12	982051.1
7.500000000000003e-12	-0.016040104	0.1698768	0.9853348	313.53867	-1.3701618e+12	981871.1
7.750000000000007e-12	-0.020431178	0.17113048	0.9850365	313.61423	-1.0718277e+12	981768.4
8.000000000000011e-12	-0.024993423	0.17151052	0.98486525	313.65234	-8.174922e+11	981716.56
8.250000000000015e-12	-0.029669758	0.17115238	0.98479784	313.66714	-6.0792177e+11	981696.44
8.500000000000019e-12	-0.034409195	0.17018284	0.98481166	313.66833	-4.4077534e+11	981694.8
8.750000000000023e-12	-0.039167907	0.16871426	0.9848866	313.66193	-3.1159635e+11	981703.5
9.000000000000027e-12	-0.043909527	0.16684197	0.98500544	313.65158	-2.1476963e+11	981717.6
9.250000000000031e-12	-0.048604753	0.16464396	0.985155	313.63925	-1.4433075e+11	981734.4
9.500000000000035e-12	-0.053230554	0.16218172	0.98532426	313.62604	-9.456935e+10	981752.3
9.750000000000039e-12	-0.05776929	0.15950249	0.98550594	313.61243	-6.0415357e+10	981770.9
