# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1e+06
2.5e-13	0.19960655	0.00010050564	0.9798761	300	-2.530205e+10	1e+06
5e-13	0.19963907	0.0002628266	0.9798695	300.00012	-4.1452323e+10	999999.8
7.999999999999999e-13	0.19969863	0.00058426295	0.9798573	300.0005	-6.621365e+10	999999.4
1.05e-12	0.19977318	0.0010103426	0.97984165	300.00165	-1.12334496e+11	999997.8
1.3e-12	0.1998795	0.0016448507	0.97981924	300.0039	-1.697164e+11	999994.9
1.5499999999999999e-12	0.20002784	0.002566159	0.9797869	300.00876	-2.5e+11	999988.44
1.7999999999999998e-12	0.20022991	0.003870463	0.97974145	300.01877	-3.5905556e+11	999975.25
2.05e-12	0.20049778	0.0056707356	0.97967774	300.03842	-5.0279252e+11	999949.4
2.3e-12	0.2008426	0.008093252	0.9795903	300.07504	-6.8646974e+11	999901.06
2.55e-12	0.20127247	0.011271128	0.9794706	300.13995	-9.138176e+11	999815.5
2.7999999999999998e-12	0.20179068	0.015334875	0.97930866	300.24924	-1.1860502e+12	999671.3
3.0499999999999997e-12	0.20239271	0.020400206	0.979092	300.42426	-1.5009013e+12	999440.4
3.2999999999999997e-12	0.20306419	0.026554065	0.9788054	300.69064	-1.8518536e+12	999088.75
3.5499999999999996e-12	0.20377871	0.033840362	0.97843206	301.07608	-2.227751e+12	998579.6
3.8e-12	0.20449737	0.042247303	0.977955	301.6062	-2.6129562e+12	997878.56
4.05e-12	0.20516934	0.051698275	0.9773602	302.2993	-2.9881548e+12	996960.7
4.3e-12	0.20573367	0.062048312	0.9766389	303.16064	-3.331805e+12	995817.94
4.55e-12	0.20612332	0.073087275	0.9757928	304.17822	-3.6221087e+12	994465
4.8e-12	0.20626889	0.0845502	0.9748355	305.3208	-3.839272e+12	992942.06
5.05e-12	0.20610465	0.09613442	0.9737963	306.54025	-3.9677266e+12	991312.25
5.3e-12	0.20557275	0.10752087	0.97271734	307.7772	-3.9979752e+12	989654.44
5.5499999999999996e-12	0.20462811	0.11839831	0.9716529	308.96957	-3.927751e+12	988051.94
5.7999999999999995e-12	0.203241	0.12848604	0.97066176	310.06174	-3.7622986e+12	986580.3
6.0499999999999995e-12	0.20139912	0.13755317	0.9698029	311.01205	-3.5137273e+12	985296.8
6.2999999999999994e-12	0.19910727	0.14543128	0.9691266	311.79733	-3.1995456e+12	984234.2
6.549999999999999e-12	0.19638671	0.1520207	0.9686703	312.41312	-2.840626e+12	983399.6
6.799999999999999e-12	0.19327247	0.15728904	0.9684554	312.87088	-2.4589251e+12	982778.44
7.049999999999999e-12	0.1898104	0.1612639	0.96848637	313.19284	-2.0753053e+12	982341.2
7.3e-12	0.18605329	0.16402127	0.96875244	313.40628	-1.7077495e+12	982051.1
7.500000000000003e-12	0.18287347	0.16542393	0.9691194	313.53867	-1.3701618e+12	981871.1
