# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1e+06
2.5e-13	0.19956209	-0.000100506135	0.97988516	300	2.530205e+10	1e+06
5e-13	0.19952954	-0.0002628323	0.97989184	300.00012	4.1452323e+10	999999.8
7.999999999999999e-13	0.19946995	-0.0005843025	0.97990376	300.0005	6.621365e+10	999999.4
1.05e-12	0.19939533	-0.0010104879	0.9799186	300.00165	1.12334496e+11	999997.8
1.3e-12	0.19928874	-0.0016452437	0.9799395	300.0039	1.697164e+11	999994.9
1.5499999999999999e-12	0.19913971	-0.002567109	0.9799677	300.00876	2.5e+11	999988.44
1.7999999999999998e-12	0.19893628	-0.0038726106	0.9800048	300.01877	3.5905556e+11	999975.25
2.05e-12	0.19866563	-0.005675346	0.980051	300.03842	5.0279252e+11	999949.4
2.3e-12	0.19831553	-0.008102669	0.98010486	300.07504	6.8646974e+11	999901.06
2.55e-12	0.19787577	-0.011289536	0.9801621	300.13995	9.138176e+11	999815.5
2.7999999999999998e-12	0.19734038	-0.015369318	0.98021454	300.24924	1.1860502e+12	999671.3
3.0499999999999997e-12	0.19670986	-0.020461984	0.98024833	300.42426	1.5009013e+12	999440.4
3.2999999999999997e-12	0.19599348	-0.02666043	0.9802427	300.69064	1.8518536e+12	999088.75
3.5499999999999996e-12	0.19521143	-0.034016322	0.9801712	301.07608	2.227751e+12	998579.6
3.8e-12	0.19439603	-0.042527266	0.9800009	301.6062	2.6129562e+12	997878.56
4.05e-12	0.19359219	-0.05212727	0.9796963	302.2993	2.9881548e+12	996960.7
4.3e-12	0.19285652	-0.06268229	0.97922283	303.16064	3.331805e+12	995817.94
4.55e-12	0.19225527	-0.07399225	0.97855145	304.17822	3.6221087e+12	994465
4.8e-12	0.19186117	-0.08580017	0.9776645	305.3208	3.839272e+12	992942.06
5.05e-12	0.1917485	-0.09780787	0.97655827	306.54025	3.9677266e+12	991312.25
5.3e-12	0.19198892	-0.10969705	0.97524697	307.7772	3.9979752e+12	989654.44
5.5499999999999996e-12	0.19264558	-0.12115298	0.97376066	308.96957	3.927751e+12	988051.94
5.7999999999999995e-12	0.1937683	-0.1318876	0.9721417	310.06174	3.7622986e+12	986580.3
6.0499999999999995e-12	0.19538993	-0.14166002	0.9704408	311.01205	3.5137273e+12	985296.8
6.2999999999999994e-12	0.1975237	-0.15029047	0.96870905	311.79733	3.1995456e+12	984234.2
6.549999999999999e-12	0.2001623	-0.15766741	0.9669933	312.41312	2.840626e+12	983399.6
6.799999999999999e-12	0.2032796	-0.16374749	0.96533114	312.87088	2.4589251e+12	982778.44
7.049999999999999e-12	0.20683278	-0.16854855	0.9637488	313.19284	2.0753053e+12	982341.2
7.3e-12	0.21076714	-0.17213863	0.96226066	313.40628	1.7077495e+12	982051.1
7.500000000000003e-12	0.21414687	-0.17420843	0.96114147	313.53867	1.3701618e+12	981871.1
7.750000000000007e-12	0.21860756	-0.17589687	0.9598288	313.61423	1.0718277e+12	981768.4
8.000000000000011e-12	0.22326972	-0.17671312	0.9586049	313.65234	8.174922e+11	981716.56
8.250000000000015e-12	0.22807242	-0.17679156	0.957459	313.66714	6.0792177e+11	981696.44
8.500000000000019e-12	0.23296116	-0.17625807	0.95637983	313.66833	4.4077534e+11	981694.8
8.750000000000023e-12	0.23788883	-0.17522444	0.9553561	313.66193	3.1159635e+11	981703.5
9.000000000000027e-12	0.24281657	-0.17378558	0.95437866	313.65158	2.1476963e+11	981717.6
9.250000000000031e-12	0.24771284	-0.17201903	0.9534401	313.63925	1.4433075e+11	981734.4
9.500000000000035e-12	0.2525532	-0.169986	0.9525343	313.62604	9.456935e+10	981752.3
9.750000000000039e-12	0.257319	-0.16773331	0.95165783	313.61243	6.0415357e+10	981770.9
