# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	0.1940095	-3.4056669e-10	0.98097837	-4.346452e-17	-2.3980596e+07	300
2e-13	0.1940095	-6.497771e-10	0.98097837	-4.346452e-17	-2.3980596e+07	300
3.4999999999999997e-13	0.1940095	-1.1071322e-09	0.98097837	-4.3464526e-17	-2.6971428e+07	300
4.4999999999999995e-13	0.1940095	-1.4174866e-09	0.98097837	-4.3464526e-17	-2.6971428e+07	300
5.5e-13	0.1940095	-1.7271695e-09	0.98097837	-4.3464533e-17	-3.123985e+07	300
6.5e-13	0.1940095	-2.0365292e-09	0.98097837	-4.3464546e-17	-3.123985e+07	300
7.499999999999999e-13	0.1940095	-2.3461872e-09	0.98097837	-4.3464533e-17	-3.513605e+07	300
8.499999999999999e-13	0.1940095	-2.6573623e-09	0.98097837	-4.3464526e-17	-3.513605e+07	300
9.5e-13	0.1940095	-2.9695926e-09	0.98097837	-4.3464526e-17	-4.0696576e+07	300
1.05e-12	0.1940095	-3.2812864e-09	0.98097837	-4.3464526e-17	-4.0696576e+07	300
1.15e-12	0.1940095	-3.5939927e-09	0.98097837	-4.3464526e-17	-4.57722e+07	300
1.25e-12	0.1940095	-3.904958e-09	0.98097837	-4.3464526e-17	-4.57722e+07	300
1.35e-12	0.1940095	-4.2179487e-09	0.98097837	-4.3464526e-17	-5.1480852e+07	300
1.4499999999999999e-12	0.19400948	-4.5305697e-09	0.98097837	-4.3464526e-17	-5.1480852e+07	300
1.5499999999999999e-12	0.1940095	-4.844175e-09	0.98097837	-4.3464526e-17	-5.790147e+07	300
1.6499999999999998e-12	0.1940095	-5.1594498e-09	0.98097837	-4.3464546e-17	-5.790147e+07	300
1.7499999999999998e-12	0.1940095	-5.4749876e-09	0.98097837	-4.3464526e-17	-6.5122864e+07	300
1.85e-12	0.1940095	-5.7918434e-09	0.98097837	-4.3464533e-17	-6.5122864e+07	300
1.95e-12	0.1940095	-6.1098895e-09	0.98097837	-4.3464526e-17	-7.32449e+07	300
2.05e-12	0.1940095	-6.4293033e-09	0.98097837	-4.3464526e-17	-7.32449e+07	300
2.15e-12	0.19400948	-6.752341e-09	0.98097837	-4.3464526e-17	-8.237989e+07	300
2.25e-12	0.1940095	-7.073453e-09	0.98097837	-4.3464533e-17	-8.237989e+07	300
2.35e-12	0.1940095	-7.396949e-09	0.98097837	-4.3464533e-17	-9.265418e+07	300
2.45e-12	0.1940095	-7.724342e-09	0.98097837	-4.3464533e-17	-9.265418e+07	300
2.55e-12	0.1940095	-8.052307e-09	0.98097837	-4.3464526e-17	-1.0420985e+08	300
2.65e-12	0.1940095	-8.382038e-09	0.98097837	-4.346454e-17	-1.0420985e+08	300
2.7499999999999998e-12	0.1940095	-8.71707e-09	0.98097837	-4.3464533e-17	-1.1720671e+08	300
2.8499999999999998e-12	0.1940095	-9.051806e-09	0.98097837	-4.3464533e-17	-1.1720671e+08	300
2.9499999999999997e-12	0.1940095	-9.390771e-09	0.98097837	-4.3464526e-17	-1.3182451e+08	300
3.0499999999999997e-12	0.19400948	-9.734055e-09	0.98097837	-4.3464526e-17	-1.3182451e+08	300
3.1499999999999997e-12	0.1940095	-1.0078928e-08	0.98097837	-4.3464526e-17	-1.4826539e+08	300
3.2499999999999997e-12	0.1940095	-1.0430224e-08	0.98097837	-4.3464526e-17	-1.4826539e+08	300
3.3499999999999997e-12	0.1940095	-1.0783523e-08	0.98097837	-4.3464526e-17	-1.6675674e+08	300
3.4499999999999996e-12	0.1940095	-1.114228e-08	0.98097837	-4.3464526e-17	-1.6675674e+08	300
3.5499999999999996e-12	0.1940095	-1.150552e-08	0.98097837	-4.3464533e-17	-1.8755424e+08	300
3.65e-12	0.1940095	-1.1874242e-08	0.98097837	-4.3464526e-17	-1.8755424e+08	300
3.75e-12	0.19400948	-1.224948e-08	0.98097837	-4.3464533e-17	-2.1094554e+08	300
3.85e-12	0.1940095	-1.2629062e-08	0.98097837	-4.3464533e-17	-2.1094554e+08	300
3.95e-12	0.19400948	-1.3016795e-08	0.98097837	-4.3464533e-17	-2.3725408e+08	300
4.05e-12	0.1940095	-1.3409302e-08	0.98097837	-4.3464533e-17	-2.3725408e+08	300
4.15e-12	0.1940095	-1.3810954e-08	0.98097837	-4.3464533e-17	-2.6684371e+08	300
4.25e-12	0.1940095	-1.42196335e-08	0.98097837	-4.3464526e-17	-2.6684371e+08	300
4.35e-12	0.1940095	-1.4636786e-08	0.98097837	-4.3464533e-17	-3.001236e+08	300
4.45e-12	0.1940095	-1.506228e-08	0.98097837	-4.3464533e-17	-3.001236e+08	300
4.55e-12	0.1940095	-1.5498333e-08	0.98097837	-4.3464533e-17	-3.3755395e+08	300
4.65e-12	0.1940095	-1.5943922e-08	0.98097837	-4.3464533e-17	-3.3755395e+08	300
4.75e-12	0.1940095	-1.6398936e-08	0.98097837	-4.3464526e-17	-3.7965238e+08	300
4.85e-12	0.1940095	-1.6866682e-08	0.98097837	-4.3464526e-17	-3.7965238e+08	300
4.95e-12	0.1940095	-1.7346636e-08	0.98097837	-4.3464526e-17	-4.2700102e+08	300
5.05e-12	0.1940095	-1.7836626e-08	0.98097837	-4.3464533e-17	-4.2700102e+08	300
5.15e-12	0.1940095	-1.8343815e-08	0.98097837	-4.346454e-17	-4.8025462e+08	300
5.25e-12	0.1940095	-1.8862416e-08	0.98097837	-4.3464526e-17	-4.8025462e+08	300
5.35e-12	0.1940095	-1.9396854e-08	0.98097837	-4.3464526e-17	-5.4014957e+08	300
5.45e-12	0.19400948	-1.994712e-08	0.98097837	-4.3464526e-17	-5.4014957e+08	300
5.5499999999999996e-12	0.1940095	-2.0515092e-08	0.98097837	-4.3464526e-17	-6.07514e+08	300
5.6499999999999996e-12	0.1940095	-2.1100576e-08	0.98097837	-4.3464533e-17	-6.07514e+08	300
5.7499999999999995e-12	0.1940095	-2.1705283e-08	0.98097837	-4.3464533e-17	-6.8327936e+08	300
5.8499999999999995e-12	0.1940095	-2.2332475e-08	0.98097837	-4.3464526e-17	-6.8327936e+08	300
5.9499999999999995e-12	0.1940095	-2.2979567e-08	0.98097837	-4.3464526e-17	-7.6849325e+08	300
6.0499999999999995e-12	0.1940095	-2.365169e-08	0.98097837	-4.3464526e-17	-7.6849325e+08	300
6.1499999999999994e-12	0.1940095	-2.4349529e-08	0.98097837	-4.3464526e-17	-8.643339e+08	300
6.2499999999999994e-12	0.1940095	-2.507242e-08	0.98097837	-4.346454e-17	-8.643339e+08	300
6.349999999999999e-12	0.1940095	-2.5823127e-08	0.98097837	-4.3464526e-17	-9.721263e+08	300
6.449999999999999e-12	0.1940095	-2.6603097e-08	0.98097837	-4.3464526e-17	-9.721263e+08	300
6.549999999999999e-12	0.1940095	-2.7416707e-08	0.98097837	-4.3464526e-17	-1.0933608e+09	300
6.649999999999999e-12	0.1940095	-2.8263894e-08	0.98097837	-4.3464546e-17	-1.0933608e+09	300
6.749999999999999e-12	0.1940095	-2.914474e-08	0.98097837	-4.346454e-17	-1.2297133e+09	300
6.849999999999999e-12	0.1940095	-3.006593e-08	0.98097837	-4.3464526e-17	-1.2297133e+09	300
6.949999999999999e-12	0.19400948	-3.1026957e-08	0.98097837	-4.346454e-17	-1.3830687e+09	300
7.049999999999999e-12	0.1940095	-3.203105e-08	0.98097837	-4.346454e-17	-1.3830687e+09	300
7.149999999999999e-12	0.1940095	-3.3081214e-08	0.98097837	-4.3464526e-17	-1.555547e+09	300
7.249999999999999e-12	0.19400948	-3.4179376e-08	0.98097837	-4.3464533e-17	-1.555547e+09	300
7.35e-12	0.1940095	-3.53303e-08	0.98097837	-4.3464526e-17	-1.7495323e+09	300
7.400000000000002e-12	0.1940095	-3.593336e-08	0.98097837	-4.346452e-17	-1.7495323e+09	300
7.500000000000003e-12	0.1940095	-3.7168743e-08	0.98097837	-4.346452e-17	-1.7495323e+09	300
7.600000000000005e-12	0.1940095	-3.845787e-08	0.98097837	-4.3464526e-17	-1.9677056e+09	300
7.700000000000006e-12	0.1940095	-3.9812278e-08	0.98097837	-4.346452e-17	-1.9677056e+09	300
7.800000000000008e-12	0.1940095	-4.123213e-08	0.98097837	-4.346452e-17	-2.213082e+09	300
7.90000000000001e-12	0.1940095	-4.2724547e-08	0.98097837	-4.346452e-17	-2.213082e+09	300
8.000000000000011e-12	0.1940095	-4.4292875e-08	0.98097837	-4.346452e-17	-2.489053e+09	300
8.100000000000013e-12	0.1940095	-4.593983e-08	0.98097837	-4.346454e-17	-2.489053e+09	300
8.200000000000014e-12	0.1940095	-4.767276e-08	0.98097837	-4.346452e-17	-2.799431e+09	300
8.300000000000016e-12	0.1940095	-4.949623e-08	0.98097837	-4.346452e-17	-2.799431e+09	300
8.400000000000018e-12	0.1940095	-5.1417544e-08	0.98097837	-4.346452e-17	-3.1485048e+09	300
8.500000000000019e-12	0.1940095	-5.343889e-08	0.98097837	-4.3464533e-17	-3.1485048e+09	300
8.60000000000002e-12	0.1940095	-5.5569217e-08	0.98097837	-4.3464526e-17	-3.5410967e+09	300
8.700000000000022e-12	0.1940095	-5.7814976e-08	0.98097837	-4.346452e-17	-3.5410967e+09	300
