# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	0.1940095	-3.0568792e-08	0.98097837	-4.346452e-17	-2.3980596e+07	300
2e-13	0.1940095	-6.2845686e-08	0.98097837	-4.346452e-17	-2.3980596e+07	300
3.4999999999999997e-13	0.1940095	-1.1473305e-07	0.98097837	-4.3464526e-17	-2.6971428e+07	300
4.4999999999999995e-13	0.1940095	-1.5181641e-07	0.98097837	-4.3464533e-17	-2.6971428e+07	300
5.5e-13	0.1940095	-1.9103197e-07	0.98097837	-4.3464533e-17	-3.123985e+07	300
6.5e-13	0.1940095	-2.3250782e-07	0.98097837	-4.3464533e-17	-3.123985e+07	300
7.499999999999999e-13	0.1940095	-2.763803e-07	0.98097837	-4.3464533e-17	-3.513605e+07	300
8.499999999999999e-13	0.1940095	-3.22796e-07	0.98097837	-4.3464533e-17	-3.513605e+07	300
9.5e-13	0.1940095	-3.719091e-07	0.98097837	-4.3464533e-17	-4.0696576e+07	300
1.05e-12	0.1940095	-4.2388234e-07	0.98097837	-4.3464526e-17	-4.0696576e+07	300
1.15e-12	0.1940095	-4.7889057e-07	0.98097837	-4.3464526e-17	-4.57722e+07	300
1.25e-12	0.19400948	-5.371156e-07	0.98097837	-4.3464526e-17	-4.57722e+07	300
1.35e-12	0.1940095	-5.987562e-07	0.98097837	-4.3464526e-17	-5.1480852e+07	300
1.4499999999999999e-12	0.1940095	-6.6401986e-07	0.98097837	-4.3464526e-17	-5.1480852e+07	300
1.5499999999999999e-12	0.1940095	-7.3312395e-07	0.98097837	-4.3464533e-17	-5.790147e+07	300
1.6499999999999998e-12	0.1940095	-8.0629843e-07	0.98097837	-4.3464526e-17	-5.790147e+07	300
1.7499999999999998e-12	0.1940095	-8.837944e-07	0.98097837	-4.3464533e-17	-6.5122864e+07	300
1.85e-12	0.1940095	-9.6587e-07	0.98097837	-4.3464526e-17	-6.5122864e+07	300
1.95e-12	0.19400948	-1.052808e-06	0.98097837	-4.3464526e-17	-7.32449e+07	300
2.05e-12	0.1940095	-1.1448969e-06	0.98097837	-4.3464526e-17	-7.32449e+07	300
2.15e-12	0.1940095	-1.242453e-06	0.98097837	-4.3464526e-17	-8.237989e+07	300
2.25e-12	0.1940095	-1.3458036e-06	0.98097837	-4.3464533e-17	-8.237989e+07	300
2.35e-12	0.1940095	-1.4553077e-06	0.98097837	-4.3464526e-17	-9.265418e+07	300
2.45e-12	0.1940095	-1.5713314e-06	0.98097837	-4.3464526e-17	-9.265418e+07	300
2.55e-12	0.1940095	-1.6942727e-06	0.98097837	-4.3464526e-17	-1.0420985e+08	300
2.65e-12	0.1940095	-1.8245477e-06	0.98097837	-4.3464526e-17	-1.0420985e+08	300
2.7499999999999998e-12	0.1940095	-1.9625995e-06	0.98097837	-4.3464526e-17	-1.1720671e+08	300
2.8499999999999998e-12	0.1940095	-2.1089018e-06	0.98097837	-4.3464533e-17	-1.1720671e+08	300
2.9499999999999997e-12	0.1940095	-2.263957e-06	0.98097837	-4.3464526e-17	-1.3182451e+08	300
3.0499999999999997e-12	0.1940095	-2.4282933e-06	0.98097837	-4.346454e-17	-1.3182451e+08	300
3.1499999999999997e-12	0.1940095	-2.6024697e-06	0.98097837	-4.3464526e-17	-1.4826539e+08	300
3.2499999999999997e-12	0.1940095	-2.787086e-06	0.98097837	-4.3464526e-17	-1.4826539e+08	300
3.3499999999999997e-12	0.1940095	-2.9827715e-06	0.98097837	-4.3464526e-17	-1.6675674e+08	300
3.4499999999999996e-12	0.1940095	-3.1902011e-06	0.98097837	-4.3464533e-17	-1.6675674e+08	300
3.5499999999999996e-12	0.1940095	-3.410078e-06	0.98097837	-4.3464526e-17	-1.8755424e+08	300
3.65e-12	0.1940095	-3.6431652e-06	0.98097837	-4.3464526e-17	-1.8755424e+08	300
3.75e-12	0.1940095	-3.8902554e-06	0.98097837	-4.3464526e-17	-2.1094554e+08	300
3.85e-12	0.19400948	-4.1521976e-06	0.98097837	-4.3464526e-17	-2.1094554e+08	300
3.95e-12	0.1940095	-4.4298963e-06	0.98097837	-4.3464526e-17	-2.3725408e+08	300
4.05e-12	0.1940095	-4.724299e-06	0.98097837	-4.346454e-17	-2.3725408e+08	300
4.15e-12	0.1940095	-5.036422e-06	0.98097837	-4.3464526e-17	-2.6684371e+08	300
4.25e-12	0.1940095	-5.367339e-06	0.98097837	-4.346454e-17	-2.6684371e+08	300
4.35e-12	0.1940095	-5.718183e-06	0.98097837	-4.3464526e-17	-3.001236e+08	300
4.45e-12	0.1940095	-6.090166e-06	0.98097837	-4.3464526e-17	-3.001236e+08	300
4.55e-12	0.1940095	-6.4845653e-06	0.98097837	-4.3464526e-17	-3.3755395e+08	300
4.65e-12	0.1940095	-6.9027365e-06	0.98097837	-4.3464526e-17	-3.3755395e+08	300
4.75e-12	0.1940095	-7.346099e-06	0.98097837	-4.3464533e-17	-3.7965238e+08	300
4.85e-12	0.1940095	-7.816196e-06	0.98097837	-4.3464546e-17	-3.7965238e+08	300
4.95e-12	0.1940095	-8.314648e-06	0.98097837	-4.3464533e-17	-4.2700102e+08	300
5.05e-12	0.1940095	-8.843177e-06	0.98097837	-4.3464533e-17	-4.2700102e+08	300
5.15e-12	0.1940095	-9.403593e-06	0.98097837	-4.3464533e-17	-4.8025462e+08	300
5.25e-12	0.1940095	-9.9978315e-06	0.98097837	-4.3464533e-17	-4.8025462e+08	300
5.35e-12	0.1940095	-1.0627944e-05	0.98097837	-4.3464526e-17	-5.4014957e+08	300
5.45e-12	0.1940095	-1.1296097e-05	0.98097837	-4.3464533e-17	-5.4014957e+08	300
5.5499999999999996e-12	0.1940095	-1.2004592e-05	0.98097837	-4.3464533e-17	-6.07514e+08	300
5.6499999999999996e-12	0.1940095	-1.2755873e-05	0.98097837	-4.3464533e-17	-6.07514e+08	300
5.7499999999999995e-12	0.1940095	-1.355253e-05	0.98097837	-4.3464526e-17	-6.8327936e+08	300
5.8499999999999995e-12	0.1940095	-1.4397313e-05	0.98097837	-4.3464546e-17	-6.8327936e+08	300
5.9499999999999995e-12	0.1940095	-1.529314e-05	0.98097837	-4.3464533e-17	-7.6849325e+08	300
6.0499999999999995e-12	0.1940095	-1.6243132e-05	0.98097837	-4.346454e-17	-7.6849325e+08	300
6.1499999999999994e-12	0.1940095	-1.7250533e-05	0.98097837	-4.3464533e-17	-8.643339e+08	300
6.2499999999999994e-12	0.1940095	-1.831883e-05	0.98097837	-4.3464526e-17	-8.643339e+08	300
6.349999999999999e-12	0.1940095	-1.9451696e-05	0.98097837	-4.3464526e-17	-9.721263e+08	300
6.449999999999999e-12	0.1940095	-2.0653039e-05	0.98097837	-4.3464526e-17	-9.721263e+08	300
6.549999999999999e-12	0.1940095	-2.1926999e-05	0.98097837	-4.3464526e-17	-1.0933608e+09	300
6.649999999999999e-12	0.1940095	-2.3277966e-05	0.98097837	-4.3464533e-17	-1.0933608e+09	300
6.749999999999999e-12	0.1940095	-2.4710605e-05	0.98097837	-4.3464533e-17	-1.2297133e+09	300
6.849999999999999e-12	0.19400948	-2.6229862e-05	0.98097837	-4.3464526e-17	-1.2297133e+09	300
6.949999999999999e-12	0.19400947	-2.784102e-05	0.98097837	-4.346452e-17	-1.3830687e+09	300
7.049999999999999e-12	0.19400945	-2.9549845e-05	0.98097837	-4.3464526e-17	-1.3830687e+09	300
7.149999999999999e-12	0.19400941	-3.1362422e-05	0.98097837	-4.346452e-17	-1.555547e+09	300
7.249999999999999e-12	0.19400936	-3.328517e-05	0.98097837	-4.3464533e-17	-1.555547e+09	300
7.35e-12	0.19400933	-3.532465e-05	0.98097837	-4.346453e-17	-1.7495323e+09	300
7.400000000000002e-12	0.19400929	-3.6390367e-05	0.98097837	-4.346453e-17	-1.7495323e+09	300
7.500000000000003e-12	0.19400924	-3.8618353e-05	0.9809784	-4.346453e-17	-1.7495323e+09	300
7.600000000000005e-12	0.1940092	-4.098152e-05	0.9809785	-4.346453e-17	-1.9677056e+09	300
7.700000000000006e-12	0.19400916	-4.348801e-05	0.9809785	-4.3464536e-17	-1.9677056e+09	300
7.800000000000008e-12	0.19400911	-4.6146477e-05	0.9809785	-4.3464546e-17	-2.213082e+09	300
7.90000000000001e-12	0.19400907	-4.896605e-05	0.9809785	-4.3464546e-17	-2.213082e+09	300
8.000000000000011e-12	0.194009	-5.1956493e-05	0.9809785	-4.346454e-17	-2.489053e+09	300
8.100000000000013e-12	0.19400895	-5.5128152e-05	0.9809785	-4.3464543e-17	-2.489053e+09	300
8.200000000000014e-12	0.19400889	-5.8491943e-05	0.98097855	-4.3464543e-17	-2.799431e+09	300
8.300000000000016e-12	0.19400881	-6.205957e-05	0.98097855	-4.346455e-17	-2.799431e+09	300
8.400000000000018e-12	0.19400874	-6.584347e-05	0.98097855	-4.346454e-17	-3.1485048e+09	300
8.500000000000019e-12	0.19400865	-6.9856906e-05	0.98097855	-4.3464546e-17	-3.1485048e+09	300
8.60000000000002e-12	0.19400854	-7.411369e-05	0.98097855	-4.3464543e-17	-3.5410967e+09	300
8.700000000000022e-12	0.19400845	-7.86285e-05	0.9809786	-4.3464536e-17	-3.5410967e+09	300
8.800000000000024e-12	0.19400834	-8.341691e-05	0.9809786	-4.3464536e-17	-3.9826294e+09	300
8.900000000000025e-12	0.19400825	-8.8495355e-05	0.9809786	-4.346454e-17	-3.9826294e+09	300
9.000000000000027e-12	0.19400814	-9.3881354e-05	0.9809786	-4.3464536e-17	-4.4792e+09	300
9.100000000000029e-12	0.19400802	-9.959356e-05	0.9809786	-4.3464543e-17	-4.4792e+09	300
9.20000000000003e-12	0.1940079	-0.000105651874	0.9809787	-4.346454e-17	-5.0376663e+09	300
9.300000000000032e-12	0.19400775	-0.00011207716	0.9809787	-4.3464543e-17	-5.0376663e+09	300
9.400000000000033e-12	0.19400764	-0.00011889162	0.9809787	-4.3464543e-17	-5.665737e+09	300
9.500000000000035e-12	0.19400747	-0.00012611866	0.9809787	-4.346454e-17	-5.665737e+09	300
9.600000000000037e-12	0.19400734	-0.00013378325	0.98097885	-4.346455e-17	-6.372081e+09	300
9.700000000000038e-12	0.19400717	-0.0001419118	0.9809789	-4.346454e-17	-6.372081e+09	300
9.80000000000004e-12	0.19400704	-0.00015053207	0.9809789	-4.346455e-17	-7.1664456e+09	300
9.900000000000041e-12	0.19400689	-0.00015967374	0.980979	-4.346455e-17	-7.1664456e+09	300
1.0000000000000043e-11	0.19400673	-0.00016936913	0.980979	-4.3464546e-17	-8.059788e+09	300.00003
1.0100000000000045e-11	0.19400653	-0.00017965098	0.980979	-4.3464543e-17	-8.059788e+09	300.00003
1.0200000000000046e-11	0.19400635	-0.00019055369	0.980979	-4.3464553e-17	-9.064429e+09	300.00003
1.0300000000000048e-11	0.19400615	-0.00020211586	0.9809791	-4.3464556e-17	-9.064429e+09	300.00003
1.040000000000005e-11	0.19400594	-0.00021437772	0.9809791	-4.3464546e-17	-1.0194215e+10	300.00003
1.0500000000000051e-11	0.19400567	-0.00022738148	0.98097914	-4.3464543e-17	-1.0194215e+10	300.00003
1.0600000000000053e-11	0.19400543	-0.00024117185	0.98097914	-4.3464536e-17	-1.1464717e+10	300.00003
1.0700000000000054e-11	0.19400515	-0.0002557966	0.98097926	-4.3464546e-17	-1.1464717e+10	300.00003
1.0800000000000056e-11	0.19400486	-0.0002713069	0.98097926	-4.346453e-17	-1.2893434e+10	300.00006
1.0900000000000057e-11	0.19400458	-0.0002877553	0.9809794	-4.3464523e-17	-1.2893434e+10	300.00006
1.1000000000000059e-11	0.19400427	-0.00030519816	0.9809794	-4.3464533e-17	-1.4500034e+10	300.00006
1.110000000000006e-11	0.19400394	-0.00032369563	0.98097944	-4.3464533e-17	-1.4500034e+10	300.00006
1.1200000000000062e-11	0.1940036	-0.0003433118	0.98097956	-4.346452e-17	-1.6306621e+10	300.0001
1.1300000000000064e-11	0.19400324	-0.00036411406	0.98097956	-4.346452e-17	-1.6306621e+10	300.0001
1.1400000000000065e-11	0.19400284	-0.00038617387	0.9809798	-4.3464513e-17	-1.8338036e+10	300.0001
1.1500000000000067e-11	0.19400242	-0.0004095673	0.9809798	-4.346452e-17	-1.8338036e+10	300.0001
1.1600000000000069e-11	0.19400197	-0.00043437482	0.98097986	-4.346452e-17	-2.062219e+10	300.00012
1.170000000000007e-11	0.19400151	-0.00046068153	0.9809799	-4.346452e-17	-2.062219e+10	300.00012
1.1800000000000072e-11	0.19400102	-0.00048857945	0.98098	-4.3464496e-17	-2.3190442e+10	300.00015
1.1900000000000073e-11	0.19400051	-0.0005181632	0.98098004	-4.346449e-17	-2.3190442e+10	300.00015
1.2000000000000075e-11	0.19399995	-0.00054953486	0.9809802	-4.3464493e-17	-2.6078015e+10	300.0002
1.2100000000000076e-11	0.19399938	-0.0005828018	0.9809803	-4.3464483e-17	-2.6078015e+10	300.0002
1.2200000000000078e-11	0.19399874	-0.0006180785	0.98098034	-4.3464473e-17	-2.9324476e+10	300.00024
1.230000000000008e-11	0.19399808	-0.00065548596	0.9809805	-4.3464473e-17	-2.9324476e+10	300.00024
1.2400000000000081e-11	0.19399738	-0.00069515273	0.98098063	-4.3464457e-17	-3.2974254e+10	300.00034
1.2500000000000083e-11	0.19399667	-0.00073721464	0.98098063	-4.346445e-17	-3.2974254e+10	300.00034
1.2600000000000084e-11	0.19399588	-0.0007818171	0.9809808	-4.3464424e-17	-3.7077234e+10	300.0004
1.2700000000000086e-11	0.19399504	-0.00082911196	0.98098093	-4.3464417e-17	-3.7077234e+10	300.0004
