# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	0.1940095	-3.748471e-08	0.98097837	-4.346452e-17	-2.9975744e+07	300
2e-13	0.1940095	-7.713355e-08	0.98097837	-4.346452e-17	-2.9975744e+07	300
3.4999999999999997e-13	0.1940095	-1.4101622e-07	0.98097837	-4.3464526e-17	-3.3714284e+07	300
4.4999999999999995e-13	0.1940095	-1.8676357e-07	0.98097837	-4.3464526e-17	-3.3714284e+07	300
5.5e-13	0.1940095	-2.352151e-07	0.98097837	-4.3464533e-17	-3.9049812e+07	300
6.5e-13	0.1940095	-2.8652948e-07	0.98097837	-4.3464526e-17	-3.9049812e+07	300
7.499999999999999e-13	0.1940095	-3.4087856e-07	0.98097837	-4.3464526e-17	-4.392006e+07	300
8.499999999999999e-13	0.1940095	-3.9844616e-07	0.98097837	-4.346454e-17	-4.392006e+07	300
9.5e-13	0.1940095	-4.5942406e-07	0.98097837	-4.3464526e-17	-5.0870716e+07	300
1.05e-12	0.1940095	-5.240212e-07	0.98097837	-4.3464526e-17	-5.0870716e+07	300
1.15e-12	0.1940095	-5.9245485e-07	0.98097837	-4.3464526e-17	-5.7215252e+07	300
1.25e-12	0.1940095	-6.649576e-07	0.98097837	-4.3464526e-17	-5.7215252e+07	300
1.35e-12	0.1940095	-7.4177456e-07	0.98097837	-4.3464526e-17	-6.4351064e+07	300
1.4499999999999999e-12	0.1940095	-8.231704e-07	0.98097837	-4.3464526e-17	-6.4351064e+07	300
1.5499999999999999e-12	0.1940095	-9.0941705e-07	0.98097837	-4.3464526e-17	-7.237684e+07	300
1.6499999999999998e-12	0.1940095	-1.0008134e-06	0.98097837	-4.3464533e-17	-7.237684e+07	300
1.7499999999999998e-12	0.1940095	-1.0976681e-06	0.98097837	-4.3464526e-17	-8.140358e+07	300
1.85e-12	0.1940095	-1.2003134e-06	0.98097837	-4.3464526e-17	-8.140358e+07	300
1.95e-12	0.1940095	-1.3090989e-06	0.98097837	-4.3464526e-17	-9.155612e+07	300
2.05e-12	0.1940095	-1.4243985e-06	0.98097837	-4.3464526e-17	-9.155612e+07	300
2.15e-12	0.1940095	-1.5466069e-06	0.98097837	-4.3464526e-17	-1.02974856e+08	300
2.25e-12	0.1940095	-1.6761506e-06	0.98097837	-4.346454e-17	-1.02974856e+08	300
2.35e-12	0.1940095	-1.8134732e-06	0.98097837	-4.3464526e-17	-1.1581772e+08	300
2.45e-12	0.1940095	-1.9590568e-06	0.98097837	-4.3464526e-17	-1.1581772e+08	300
2.55e-12	0.1940095	-2.113394e-06	0.98097837	-4.3464526e-17	-1.302623e+08	300
2.65e-12	0.1940095	-2.2770218e-06	0.98097837	-4.3464526e-17	-1.302623e+08	300
2.7499999999999998e-12	0.1940095	-2.4504957e-06	0.98097837	-4.3464526e-17	-1.4650838e+08	300
2.8499999999999998e-12	0.1940095	-2.634401e-06	0.98097837	-4.3464526e-17	-1.4650838e+08	300
2.9499999999999997e-12	0.1940095	-2.8293607e-06	0.98097837	-4.3464526e-17	-1.6478064e+08	300
3.0499999999999997e-12	0.1940095	-3.036041e-06	0.98097837	-4.3464526e-17	-1.6478064e+08	300
3.1499999999999997e-12	0.1940095	-3.255166e-06	0.98097837	-4.3464526e-17	-1.8533174e+08	300
3.2499999999999997e-12	0.19400948	-3.487518e-06	0.98097837	-4.3464526e-17	-1.8533174e+08	300
3.3499999999999997e-12	0.19400948	-3.733976e-06	0.98097837	-4.346452e-17	-2.084459e+08	300
3.4499999999999996e-12	0.19400945	-3.995567e-06	0.98097837	-4.3464526e-17	-2.084459e+08	300
3.5499999999999996e-12	0.1940094	-4.2734655e-06	0.98097837	-4.3464533e-17	-2.344428e+08	300
3.65e-12	0.19400933	-4.5688103e-06	0.98097837	-4.346453e-17	-2.344428e+08	300
3.75e-12	0.19400927	-4.8825655e-06	0.98097837	-4.3464536e-17	-2.636819e+08	300
3.85e-12	0.19400923	-5.2158953e-06	0.9809785	-4.346455e-17	-2.636819e+08	300
3.95e-12	0.19400917	-5.569898e-06	0.9809785	-4.3464533e-17	-2.9656758e+08	300
4.05e-12	0.19400911	-5.9457316e-06	0.9809785	-4.3464533e-17	-2.9656758e+08	300
4.15e-12	0.19400904	-6.344683e-06	0.9809785	-4.3464546e-17	-3.3355462e+08	300
4.25e-12	0.194009	-6.7681553e-06	0.9809785	-4.346455e-17	-3.3355462e+08	300
4.35e-12	0.19400892	-7.217572e-06	0.98097855	-4.3464536e-17	-3.751545e+08	300
4.45e-12	0.19400889	-7.694521e-06	0.98097855	-4.3464543e-17	-3.751545e+08	300
4.55e-12	0.1940088	-8.200756e-06	0.98097855	-4.3464543e-17	-4.2194243e+08	300
4.65e-12	0.19400874	-8.7380195e-06	0.9809786	-4.3464546e-17	-4.2194243e+08	300
4.75e-12	0.19400866	-9.308204e-06	0.9809786	-4.3464546e-17	-4.7456547e+08	300
4.85e-12	0.19400854	-9.913305e-06	0.9809786	-4.3464543e-17	-4.7456547e+08	300
4.95e-12	0.19400845	-1.0555481e-05	0.9809786	-4.3464536e-17	-5.337513e+08	300
5.05e-12	0.19400834	-1.1237115e-05	0.9809786	-4.346454e-17	-5.337513e+08	300
5.15e-12	0.19400823	-1.1960529e-05	0.9809787	-4.3464546e-17	-6.003183e+08	300
5.25e-12	0.19400811	-1.2728187e-05	0.98097867	-4.3464543e-17	-6.003183e+08	300
5.35e-12	0.194008	-1.3542771e-05	0.9809787	-4.3464546e-17	-6.7518694e+08	300
5.45e-12	0.19400787	-1.4407076e-05	0.9809787	-4.3464553e-17	-6.7518694e+08	300
5.5499999999999996e-12	0.19400774	-1.5324153e-05	0.9809787	-4.346455e-17	-7.5939245e+08	300
5.6499999999999996e-12	0.19400758	-1.6297177e-05	0.9809788	-4.3464546e-17	-7.5939245e+08	300
5.7499999999999995e-12	0.19400743	-1.7329632e-05	0.9809788	-4.346454e-17	-8.5409914e+08	300
5.8499999999999995e-12	0.19400726	-1.8425108e-05	0.9809788	-4.3464536e-17	-8.5409914e+08	300
5.9499999999999995e-12	0.1940071	-1.9587356e-05	0.9809789	-4.3464533e-17	-9.606166e+08	300
6.0499999999999995e-12	0.19400692	-2.0820191e-05	0.98097897	-4.3464543e-17	-9.606166e+08	300
6.1499999999999994e-12	0.19400676	-2.212782e-05	0.980979	-4.3464533e-17	-1.0804173e+09	300
6.2499999999999994e-12	0.19400658	-2.3514753e-05	0.980979	-4.3464556e-17	-1.0804173e+09	300
6.349999999999999e-12	0.19400641	-2.4985718e-05	0.980979	-4.3464546e-17	-1.2151579e+09	300
6.449999999999999e-12	0.19400619	-2.6545722e-05	0.9809791	-4.3464543e-17	-1.2151579e+09	300
6.549999999999999e-12	0.194006	-2.820007e-05	0.9809791	-4.3464546e-17	-1.3667009e+09	300
6.649999999999999e-12	0.19400579	-2.9954392e-05	0.9809792	-4.346453e-17	-1.3667009e+09	300
6.749999999999999e-12	0.19400553	-3.1815052e-05	0.9809792	-4.3464553e-17	-1.5371415e+09	300
6.849999999999999e-12	0.1940053	-3.378839e-05	0.98097926	-4.346455e-17	-1.5371415e+09	300
6.949999999999999e-12	0.19400501	-3.5881207e-05	0.98097926	-4.346455e-17	-1.7288358e+09	300
7.049999999999999e-12	0.19400473	-3.8100978e-05	0.9809793	-4.346454e-17	-1.7288358e+09	300
7.149999999999999e-12	0.19400442	-4.04553e-05	0.98097944	-4.3464546e-17	-1.9444338e+09	300
7.249999999999999e-12	0.19400409	-4.295229e-05	0.9809795	-4.346454e-17	-1.9444338e+09	300
