# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	0.1940095	-3.768577e-08	0.98097837	-4.346452e-17	-2.9975744e+07	300
2e-13	0.1940095	-7.656513e-08	0.98097837	-4.346452e-17	-2.9975744e+07	300
3.4999999999999997e-13	0.1940095	-1.3726117e-07	0.98097837	-4.3464533e-17	-3.2165948e+07	300
4.4999999999999995e-13	0.1940095	-1.7938824e-07	0.98097837	-4.3464526e-17	-3.2165948e+07	300
5.5e-13	0.1940095	-2.2290092e-07	0.98097837	-4.3464533e-17	-3.5130096e+07	300
6.5e-13	0.1940095	-2.6784323e-07	0.98097837	-4.3464526e-17	-3.5130096e+07	300
7.499999999999999e-13	0.1940095	-3.1427484e-07	0.98097837	-4.3464526e-17	-3.7696908e+07	300
8.499999999999999e-13	0.1940095	-3.622438e-07	0.98097837	-4.3464526e-17	-3.7696908e+07	300
9.5e-13	0.1940095	-4.118085e-07	0.98097837	-4.3464526e-17	-4.1170744e+07	300
1.05e-12	0.1940095	-4.63024e-07	0.98097837	-4.3464526e-17	-4.1170744e+07	300
1.15e-12	0.1940095	-5.1595e-07	0.98097837	-4.3464533e-17	-4.4178924e+07	300
1.25e-12	0.1940095	-5.706536e-07	0.98097837	-4.3464526e-17	-4.4178924e+07	300
1.35e-12	0.1940095	-6.2719175e-07	0.98097837	-4.346454e-17	-4.7406892e+07	300
1.4499999999999999e-12	0.1940095	-6.856359e-07	0.98097837	-4.3464526e-17	-4.7406892e+07	300
1.5499999999999999e-12	0.1940095	-7.4605043e-07	0.98097837	-4.3464526e-17	-5.0870716e+07	300
1.6499999999999998e-12	0.1940095	-8.085107e-07	0.98097837	-4.3464526e-17	-5.0870716e+07	300
1.7499999999999998e-12	0.1940095	-8.730884e-07	0.98097837	-4.3464526e-17	-5.4587628e+07	300
1.85e-12	0.1940095	-9.3986125e-07	0.98097837	-4.3464526e-17	-5.4587628e+07	300
1.95e-12	0.1940095	-1.0089057e-06	0.98097837	-4.3464526e-17	-5.857612e+07	300
2.05e-12	0.1940095	-1.0803076e-06	0.98097837	-4.3464526e-17	-5.857612e+07	300
2.15e-12	0.1940095	-1.1541501e-06	0.98097837	-4.3464526e-17	-6.2856028e+07	300
