# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	0.1940095	-2.6789209e-08	0.98097837	-4.346452e-17	-2.098302e+07	300
2e-13	0.1940095	-5.506636e-08	0.98097837	-4.3464533e-17	-2.098302e+07	300
3.4999999999999997e-13	0.1940095	-1.0052393e-07	0.98097837	-4.3464533e-17	-2.36e+07	300
4.4999999999999995e-13	0.1940095	-1.3300846e-07	0.98097837	-4.3464526e-17	-2.36e+07	300
5.5e-13	0.1940095	-1.6735714e-07	0.98097837	-4.3464526e-17	-2.7334868e+07	300
6.5e-13	0.1940095	-2.0368415e-07	0.98097837	-4.3464526e-17	-2.7334868e+07	300
7.499999999999999e-13	0.1940095	-2.4211053e-07	0.98097837	-4.3464533e-17	-3.0744042e+07	300
8.499999999999999e-13	0.1940095	-2.8276065e-07	0.98097837	-4.3464526e-17	-3.0744042e+07	300
9.5e-13	0.1940095	-3.2577063e-07	0.98097837	-4.3464526e-17	-3.5609504e+07	300
1.05e-12	0.1940095	-3.7128183e-07	0.98097837	-4.3464533e-17	-3.5609504e+07	300
1.15e-12	0.1940095	-4.194504e-07	0.98097837	-4.3464526e-17	-4.0050676e+07	300
1.25e-12	0.1940095	-4.7043363e-07	0.98097837	-4.3464526e-17	-4.0050676e+07	300
1.35e-12	0.1940095	-5.2440413e-07	0.98097837	-4.346454e-17	-4.5045744e+07	300
1.4499999999999999e-12	0.1940095	-5.8154376e-07	0.98097837	-4.3464526e-17	-4.5045744e+07	300
1.5499999999999999e-12	0.1940095	-6.4204045e-07	0.98097837	-4.3464526e-17	-5.0663788e+07	300
1.6499999999999998e-12	0.19400948	-7.0610076e-07	0.98097837	-4.3464526e-17	-5.0663788e+07	300
1.7499999999999998e-12	0.1940095	-7.73943e-07	0.98097837	-4.3464526e-17	-5.6982508e+07	300
1.85e-12	0.1940095	-8.457939e-07	0.98097837	-4.3464526e-17	-5.6982508e+07	300
1.95e-12	0.1940095	-9.218976e-07	0.98097837	-4.3464526e-17	-6.4089284e+07	300
2.05e-12	0.1940095	-1.0025108e-06	0.98097837	-4.3464526e-17	-6.4089284e+07	300
2.15e-12	0.1940095	-1.0879044e-06	0.98097837	-4.3464526e-17	-7.20824e+07	300
2.25e-12	0.1940095	-1.1783716e-06	0.98097837	-4.3464526e-17	-7.20824e+07	300
2.35e-12	0.1940095	-1.2742199e-06	0.98097837	-4.3464526e-17	-8.10724e+07	300
2.45e-12	0.1940095	-1.3757715e-06	0.98097837	-4.3464526e-17	-8.10724e+07	300
2.55e-12	0.1940095	-1.4833763e-06	0.98097837	-4.3464526e-17	-9.118362e+07	300
2.65e-12	0.1940095	-1.5973989e-06	0.98097837	-4.3464526e-17	-9.118362e+07	300
2.7499999999999998e-12	0.1940095	-1.718231e-06	0.98097837	-4.3464526e-17	-1.0255587e+08	300
2.8499999999999998e-12	0.1940095	-1.8462798e-06	0.98097837	-4.3464526e-17	-1.0255587e+08	300
2.9499999999999997e-12	0.1940095	-1.9819859e-06	0.98097837	-4.3464526e-17	-1.1534645e+08	300
3.0499999999999997e-12	0.1940095	-2.1258134e-06	0.98097837	-4.3464526e-17	-1.1534645e+08	300
3.1499999999999997e-12	0.1940095	-2.2782483e-06	0.98097837	-4.3464526e-17	-1.29732216e+08	300
3.2499999999999997e-12	0.1940095	-2.4398187e-06	0.98097837	-4.3464526e-17	-1.29732216e+08	300
3.3499999999999997e-12	0.1940095	-2.6110752e-06	0.98097837	-4.3464526e-17	-1.4591214e+08	300
3.4499999999999996e-12	0.1940095	-2.7926055e-06	0.98097837	-4.3464526e-17	-1.4591214e+08	300
3.5499999999999996e-12	0.1940095	-2.9850294e-06	0.98097837	-4.3464526e-17	-1.6410995e+08	300
3.65e-12	0.1940095	-3.1890077e-06	0.98097837	-4.3464526e-17	-1.6410995e+08	300
3.75e-12	0.1940095	-3.4052423e-06	0.98097837	-4.3464526e-17	-1.8457734e+08	300
3.85e-12	0.1940095	-3.634474e-06	0.98097837	-4.3464526e-17	-1.8457734e+08	300
3.95e-12	0.1940095	-3.877491e-06	0.98097837	-4.3464526e-17	-2.0759731e+08	300
4.05e-12	0.1940095	-4.135124e-06	0.98097837	-4.3464526e-17	-2.0759731e+08	300
4.15e-12	0.1940095	-4.4082667e-06	0.98097837	-4.346454e-17	-2.3348824e+08	300
4.25e-12	0.19400948	-4.6978494e-06	0.98097837	-4.3464526e-17	-2.3348824e+08	300
4.35e-12	0.1940095	-5.004869e-06	0.98097837	-4.3464526e-17	-2.6260814e+08	300
4.45e-12	0.1940095	-5.3303806e-06	0.98097837	-4.3464526e-17	-2.6260814e+08	300
4.55e-12	0.1940095	-5.675505e-06	0.98097837	-4.3464526e-17	-2.953597e+08	300
4.65e-12	0.1940095	-6.04143e-06	0.98097837	-4.3464526e-17	-2.953597e+08	300
4.75e-12	0.1940095	-6.4294154e-06	0.98097837	-4.3464526e-17	-3.3219584e+08	300
4.85e-12	0.1940095	-6.8407976e-06	0.98097837	-4.3464526e-17	-3.3219584e+08	300
4.95e-12	0.19400948	-7.276993e-06	0.98097837	-4.3464533e-17	-3.7362592e+08	300
5.05e-12	0.1940095	-7.739477e-06	0.98097837	-4.3464533e-17	-3.7362592e+08	300
5.15e-12	0.1940095	-8.22987e-06	0.98097837	-4.3464533e-17	-4.2022282e+08	300
5.25e-12	0.1940095	-8.7498565e-06	0.98097837	-4.3464546e-17	-4.2022282e+08	300
5.35e-12	0.1940095	-9.301232e-06	0.98097837	-4.3464533e-17	-4.7263085e+08	300
5.45e-12	0.1940095	-9.885892e-06	0.98097837	-4.3464526e-17	-4.7263085e+08	300
5.5499999999999996e-12	0.1940095	-1.0505855e-05	0.98097837	-4.3464533e-17	-5.3157472e+08	300
5.6499999999999996e-12	0.1940095	-1.1163259e-05	0.98097837	-4.3464533e-17	-5.3157472e+08	300
5.7499999999999995e-12	0.1940095	-1.1860362e-05	0.98097837	-4.3464533e-17	-5.9786944e+08	300
5.8499999999999995e-12	0.1940095	-1.2599576e-05	0.98097837	-4.3464526e-17	-5.9786944e+08	300
5.9499999999999995e-12	0.1940095	-1.3383439e-05	0.98097837	-4.346454e-17	-6.7243155e+08	300
6.0499999999999995e-12	0.1940095	-1.4214665e-05	0.98097837	-4.3464533e-17	-6.7243155e+08	300
6.1499999999999994e-12	0.1940095	-1.5096121e-05	0.98097837	-4.3464533e-17	-7.562921e+08	300
6.2499999999999994e-12	0.1940095	-1.6030852e-05	0.98097837	-4.3464533e-17	-7.562921e+08	300
6.349999999999999e-12	0.1940095	-1.702211e-05	0.98097837	-4.3464533e-17	-8.506105e+08	300
6.449999999999999e-12	0.1940095	-1.8073286e-05	0.98097837	-4.3464533e-17	-8.506105e+08	300
6.549999999999999e-12	0.1940095	-1.9188014e-05	0.98097837	-4.3464526e-17	-9.566906e+08	300
6.649999999999999e-12	0.19400948	-2.0370135e-05	0.98097837	-4.3464526e-17	-9.566906e+08	300
6.749999999999999e-12	0.1940095	-2.1623724e-05	0.98097837	-4.3464533e-17	-1.0759991e+09	300
6.849999999999999e-12	0.19400948	-2.29531e-05	0.98097837	-4.3464533e-17	-1.0759991e+09	300
6.949999999999999e-12	0.1940095	-2.436285e-05	0.98097837	-4.3464533e-17	-1.2101851e+09	300
7.049999999999999e-12	0.1940095	-2.5857833e-05	0.98097837	-4.3464526e-17	-1.2101851e+09	300
7.149999999999999e-12	0.19400948	-2.7443219e-05	0.98097837	-4.3464526e-17	-1.3611036e+09	300
7.249999999999999e-12	0.19400947	-2.9124601e-05	0.98097837	-4.3464526e-17	-1.3611036e+09	300
7.35e-12	0.19400942	-3.090799e-05	0.98097837	-4.346452e-17	-1.5308407e+09	300
