# t (s)	mx ()	my ()	mz ()	E_total (J)	J (A/m2)	T (K)
0	0	0	1	-4.1875195e-17	0	300
1e-13	0.19286986	0.00071442826	0.97992224	-4.9907684e-17	-2.9975744e+07	300
2e-13	0.19260374	0.00055431906	0.9788078	-4.1198743e-17	-2.9975744e+07	300
3.4999999999999997e-13	0.19265313	-0.0004027772	0.97727126	-3.5839605e-17	-3.3714284e+07	300
4.4999999999999995e-13	0.19261202	-0.00050144526	0.9763522	-4.4591623e-17	-3.3714284e+07	300
5.5e-13	0.1919769	0.00022554424	0.97560114	-4.1484123e-17	-3.9049812e+07	300
6.5e-13	0.19101033	-0.0002343434	0.9748981	-3.847767e-17	-3.9049812e+07	300
7.499999999999999e-13	0.19095123	-0.0007080972	0.9740516	-3.611561e-17	-4.392006e+07	300
8.499999999999999e-13	0.19158676	-0.00047157326	0.9733091	-3.08083e-17	-4.392006e+07	300
9.5e-13	0.19129217	-0.0014331541	0.9728276	-3.8713935e-17	-5.0870716e+07	300
1.05e-12	0.19139335	-0.0021215125	0.9720672	-3.346943e-17	-5.0870716e+07	300
1.15e-12	0.19163866	-0.00070218975	0.971468	-2.8111035e-17	-5.7215252e+07	300
1.25e-12	0.19175184	-0.0012596471	0.9709232	-3.422545e-17	-5.7215252e+07	300
1.35e-12	0.19155695	-0.0012041626	0.9703109	-3.022755e-17	-6.4351064e+07	300
1.4499999999999999e-12	0.1915248	-0.0013101065	0.96974015	-1.8833184e-17	-6.4351064e+07	300
1.5499999999999999e-12	0.19071074	-0.00041885654	0.9693618	-3.0575765e-17	-7.237684e+07	300
1.6499999999999998e-12	0.19055817	-0.0009925312	0.96905357	-3.641698e-17	-7.237684e+07	300
1.7499999999999998e-12	0.19056982	-0.0013997656	0.96853256	-3.2465698e-17	-8.140358e+07	300
1.85e-12	0.19019368	-0.00196716	0.9681772	-2.991655e-17	-8.140358e+07	300
1.95e-12	0.19035354	-0.0025311154	0.96772814	-2.4857299e-17	-9.155612e+07	300
2.05e-12	0.18992242	-0.002180958	0.9675108	-3.6598732e-17	-9.155612e+07	300
2.15e-12	0.18918361	-0.0029386193	0.96745837	-3.018001e-17	-1.02974856e+08	300
2.25e-12	0.18912914	-0.0031488594	0.9670775	-2.8016902e-17	-1.02974856e+08	300
2.35e-12	0.18923728	-0.0033024438	0.9666892	-3.1130625e-17	-1.1581772e+08	300
2.45e-12	0.18999618	-0.0030235879	0.9663687	-2.9396755e-17	-1.1581772e+08	300
2.55e-12	0.18941192	-0.0031047952	0.9661328	-3.004967e-17	-1.302623e+08	300
2.65e-12	0.189714	-0.0029037264	0.965994	-3.4155575e-17	-1.302623e+08	300
2.7499999999999998e-12	0.18960674	-0.0028949666	0.9656926	-2.794101e-17	-1.4650838e+08	300
2.8499999999999998e-12	0.18900853	-0.0025434971	0.96563405	-2.9932685e-17	-1.4650838e+08	300
2.9499999999999997e-12	0.18878004	-0.0027190507	0.9653778	-4.1669812e-17	-1.6478064e+08	300
3.0499999999999997e-12	0.18906143	-0.0030819662	0.96519434	-3.1635347e-17	-1.6478064e+08	300
