# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1e+06
5e-13	0.19701043	-0.009749143	0.98035085	300.19507	1.5833504e+12	999742.8
1e-12	0.19481687	-0.023521489	0.98055553	300.97232	2.3132562e+12	998716.75
1.5499999999999999e-12	0.19222629	-0.044400733	0.9803437	302.30466	3.1357574e+12	996953.56
2.05e-12	0.18978977	-0.06946171	0.97936267	304.6081	4.0901314e+12	993892.5
2.55e-12	0.18739012	-0.10087492	0.9770905	308.29678	5.133437e+12	988956.7
3.0499999999999997e-12	0.18515582	-0.13877456	0.9728597	313.7677	6.19948e+12	981559.7
3.5499999999999996e-12	0.18320258	-0.18276301	0.96593565	321.28253	7.2040784e+12	971251.2
4.05e-12	0.18160869	-0.23183636	0.95565045	330.8417	8.055226e+12	957892.56
4.55e-12	0.18041508	-0.2843974	0.94157654	342.10153	8.6666867e+12	941807.44
5.05e-12	0.17966288	-0.3383807	0.92369807	354.3816	8.972317e+12	923837.56
5.5499999999999996e-12	0.17945541	-0.39149368	0.9025113	366.77945	8.937832e+12	905247.6
6.0499999999999995e-12	0.18000627	-0.44153494	0.8790011	378.36295	8.567141e+12	887476.5
6.549999999999999e-12	0.18163492	-0.48671097	0.8544701	388.37335	7.901613e+12	871808.44
7.049999999999999e-12	0.18470289	-0.5258566	0.8302754	396.36755	7.012481e+12	859091.2
7.500000000000003e-12	0.18894021	-0.5555375	0.8097386	402.25653	5.988303e+12	849607.2
8.000000000000011e-12	0.19550364	-0.5824117	0.7890316	406.24408	4.9205304e+12	843129.9
8.500000000000019e-12	0.20403422	-0.60339284	0.7708968	408.70724	3.8904175e+12	839106.44
9.000000000000027e-12	0.2144242	-0.61925405	0.755341	410.0707	2.9597607e+12	836872
9.500000000000035e-12	0.22645137	-0.63085985	0.74211	410.71466	2.1666717e+12	835814.9
1.0000000000000043e-11	0.23982663	-0.63905275	0.73081076	410.9295	1.5261798e+12	835461.94
1.0500000000000051e-11	0.2542391	-0.6445854	0.7210129	410.91034	1.0344141e+12	835493.4
1.1000000000000059e-11	0.26939186	-0.6480888	0.71231586	410.77423	6.746201e+11	835717
1.1500000000000067e-11	0.28502485	-0.65006465	0.70438546	410.5846	4.2335063e+11	836028.44
1.2000000000000075e-11	0.30092585	-0.65089315	0.6969654	410.3726	2.5563321e+11	836376.56
1.2500000000000083e-11	0.316932	-0.6508505	0.689872	410.1521	1.4852873e+11	836738.44
1.3000000000000091e-11	0.33292463	-0.65012914	0.6829827	409.92886	8.303854e+10	837104.7
1.3500000000000099e-11	0.3488215	-0.64885914	0.67622024	409.70505	4.4670943e+10	837471.75
1.4000000000000107e-11	0.36456758	-0.64712596	0.6695393	409.48135	2.312313e+10	837838.44
1.4500000000000115e-11	0.38012716	-0.6449856	0.6629155	409.25803	1.151713e+10	838204.44
1.500000000000011e-11	0.39547712	-0.6424757	0.6563372	409.01288	5.117473e+09	838606
1.55000000000001e-11	0.410602	-0.6396225	0.64980006	408.7461	2.0029108e+09	839042.9
1.6000000000000093e-11	0.42549407	-0.63644373	0.6433043	408.61295	1.227252e+09	839260.8
1.6500000000000085e-11	0.44014683	-0.6329548	0.63685167	408.3471	4.4199386e+08	839695.75
1.7000000000000077e-11	0.45455417	-0.62917054	0.6304448	408.08194	1.50597e+08	840129.44
1.750000000000007e-11	0.46871388	-0.6251021	0.62408733	407.9496	8.609649e+07	840345.8
1.800000000000006e-11	0.48262313	-0.6207612	0.6177823	407.6854	2.6993668e+07	840777.6
1.8500000000000052e-11	0.49627835	-0.6161607	0.61153275	407.42184	8.0067445e+06	841208.2
1.9000000000000044e-11	0.50967926	-0.61131036	0.60534215	407.2903	4.2709265e+06	841423
1.9500000000000036e-11	0.52282435	-0.60622096	0.5992136	407.02774	1.1657155e+06	841851.7
2.0000000000000028e-11	0.5357116	-0.60090435	0.59314954	406.76578	301009.8	842279.1
2.050000000000002e-11	0.5483415	-0.59536994	0.5871532	406.63507	149811.03	842492.4
2.100000000000001e-11	0.5607139	-0.5896273	0.5812271	406.37408	35596.582	842918
2.1500000000000003e-11	0.5728277	-0.58368814	0.57537365	406.11374	8001.849	843342.3
2.2049999999999994e-11	0.5858554	-0.57693815	0.5690217	405.9838	3715.7842	843554.06
2.2549999999999986e-11	0.5974304	-0.57061327	0.5633289	405.72443	768.6152	843976.56
2.3049999999999978e-11	0.6087488	-0.5641205	0.5577159	405.46567	150.41289	844397.9
2.354999999999997e-11	0.6198119	-0.55746865	0.5521844	405.33652	65.16917	844608.06
2.404999999999996e-11	0.630623	-0.55066323	0.54673743	405.07874	11.735312	845027.5
2.4549999999999953e-11	0.64118177	-0.5437153	0.5413758	404.82156	1.9992391	845445.75
2.5049999999999945e-11	0.6514901	-0.5366329	0.5361015	404.6932	0.80820006	845654.44
2.5549999999999937e-11	0.6615517	-0.5294205	0.5309169	404.43698	0.12669672	846070.9
2.604999999999993e-11	0.6713669	-0.52208865	0.5258229	404.18137	0.018790115	846486.1
2.654999999999992e-11	0.68093795	-0.5146444	0.520821	404.0538	0.007087296	846693.25
2.7049999999999912e-11	0.69026893	-0.5070914	0.51591325	403.79913	0.0009672106	847106.75
2.7549999999999904e-11	0.6993607	-0.49943933	0.5111004	403.5451	0.00012487604	847518.94
2.8049999999999896e-11	0.7082158	-0.49169436	0.5063838	403.4183	4.3946802e-05	847724.6
2.8549999999999888e-11	0.71683866	-0.4838596	0.50176513	403.1652	5.2210967e-06	848135.1
2.904999999999988e-11	0.7252304	-0.4759437	0.49724516	402.91272	5.868321e-07	848544.4
2.95499999999999e-11	0.7333949	-0.46794993	0.4928253	402.70276	9.100759e-08	848884.56
3.0049999999999925e-11	0.74133456	-0.45988485	0.48850632	402.49323	1.3580555e-08	849223.94
3.054999999999995e-11	0.74905217	-0.45175335	0.4842893	402.28412	1.9499953e-09	849562.5
3.104999999999997e-11	0.7565508	-0.44356015	0.48017517	402.07547	2.694174e-10	849900.25
3.155e-11	0.76383346	-0.43530986	0.4761646	401.86722	3.5817387e-11	850237.2
3.200000000000002e-11	0.77020556	-0.42783952	0.47264448	401.6594	4.5818223e-12	850573.3
3.250000000000004e-11	0.77708626	-0.4194923	0.46883333	401.452	5.639735e-13	850908.7
3.300000000000007e-11	0.7837595	-0.4110997	0.46512815	401.245	6.679674e-14	851243.2
3.350000000000009e-11	0.7902286	-0.40266538	0.4615296	401.03845	7.612511e-15	851576.9
3.4000000000000115e-11	0.7964965	-0.3941928	0.45803857	400.83234	8.3478903e-16	851909.8
3.450000000000014e-11	0.8025661	-0.38568524	0.45465556	400.62662	8.8084935e-17	852241.94
3.5000000000000163e-11	0.8084404	-0.3771456	0.45138118	400.42133	8.9434e-18	852573.25
3.550000000000019e-11	0.81412244	-0.3685768	0.44821602	400.21643	8.737351e-19	852903.75
3.600000000000021e-11	0.81961477	-0.35998145	0.44516063	400.012	8.21359e-20	853233.5
3.6500000000000236e-11	0.82492054	-0.35136202	0.4422157	399.80795	7.429547e-21	853562.44
3.700000000000026e-11	0.8300424	-0.34272087	0.43938157	399.60434	6.4664784e-22	853890.6
3.7500000000000284e-11	0.834983	-0.33406004	0.4366587	399.40112	5.415635e-23	854218
3.800000000000031e-11	0.839745	-0.3253815	0.43404773	399.19833	4.3642247e-24	854544.56
3.850000000000033e-11	0.84433115	-0.3166871	0.43154895	398.99594	3.384082e-25	854870.4
3.9000000000000356e-11	0.84874386	-0.3079785	0.42916298	398.79398	2.5249384e-26	855195.4
3.950000000000038e-11	0.85298556	-0.29925716	0.42689008	398.59244	1.8127454e-27	855519.6
4.0000000000000405e-11	0.8570586	-0.29052448	0.42473087	398.3913	1.2522728e-28	855843.06
4.050000000000043e-11	0.86096525	-0.2817817	0.4226855	398.19055	8.324098e-30	856165.75
4.100000000000045e-11	0.8647078	-0.27302995	0.42075464	397.99023	5.324165e-31	856487.7
4.150000000000048e-11	0.8682883	-0.2642702	0.41893855	397.7903	3.27674e-32	856808.9
4.20000000000005e-11	0.87170875	-0.25550327	0.41723755	397.59082	1.9404772e-33	857129.25
4.2500000000000525e-11	0.8749711	-0.24673004	0.41565216	397.39172	1.1057354e-34	857448.9
4.300000000000055e-11	0.8780772	-0.23795106	0.41418272	397.19302	6.062755e-36	857767.7
4.3500000000000574e-11	0.8810288	-0.22916694	0.4128296	396.99472	3.1986368e-37	858085.8
4.40000000000006e-11	0.88382745	-0.2203781	0.41159323	396.79684	1.6238127e-38	858403.1
4.450000000000062e-11	0.8864746	-0.21158499	0.4104739	396.59937	7.93201e-40	858719.7
4.5000000000000646e-11	0.8889716	-0.20278788	0.40947202	396.40228	3.7283e-41	859035.56
4.550000000000067e-11	0.89132017	-0.19398695	0.40858802	396.20563	1.686e-42	859350.6
4.6000000000000694e-11	0.893521	-0.18518236	0.40782225	396.00934	7.3e-44	859664.94
4.650000000000072e-11	0.8955755	-0.17637421	0.40717512	395.81348	3e-45	859978.5
4.700000000000074e-11	0.89748466	-0.16756254	0.40664697	395.618	0	860291.3
4.7500000000000767e-11	0.8992491	-0.15874727	0.40623823	395.4229	0	860603.4
4.800000000000079e-11	0.90086955	-0.14992832	0.40594926	395.22824	0	860914.7
4.8500000000000815e-11	0.9023468	-0.14110559	0.40578046	395.03397	0	861225.25
4.900000000000084e-11	0.9036813	-0.13227887	0.4057323	394.8401	0	861535.1
4.950000000000086e-11	0.9048734	-0.123448014	0.4058051	394.6466	0	861844.25
5.000000000000089e-11	0.9059231	-0.11461277	0.40599933	394.4535	0	862152.56
5.050000000000091e-11	0.90683097	-0.10577287	0.40631548	394.2608	0	862460.25
5.1000000000000935e-11	0.9075967	-0.09692811	0.40675375	394.0685	0	862767.1
5.150000000000096e-11	0.90822023	-0.08807816	0.40731478	393.8766	0	863073.3
5.2000000000000984e-11	0.9087014	-0.07922279	0.4079988	393.68506	0	863378.75
5.250000000000101e-11	0.9090397	-0.070361696	0.40880644	393.49393	0	863683.44
5.300000000000103e-11	0.9092345	-0.06149463	0.40973797	393.3032	0	863987.44
5.3500000000001056e-11	0.90928537	-0.052621346	0.4107939	393.11285	0	864290.7
5.400000000000108e-11	0.9091914	-0.04374162	0.41197464	392.92288	0	864593.25
5.4500000000001104e-11	0.9089519	-0.034855254	0.41328064	392.7333	0	864895.06
5.500000000000113e-11	0.90856546	-0.025962088	0.41471228	392.54413	0	865196.2
5.550000000000115e-11	0.9080311	-0.017062007	0.41626996	392.35532	0	865496.56
5.6000000000001177e-11	0.9073477	-0.008154937	0.41795418	392.1669	0	865796.25
5.65000000000012e-11	0.90651345	0.0007591265	0.41976532	391.97885	0	866095.25
5.7000000000001225e-11	0.9055271	0.009680137	0.42170376	391.7912	0	866393.5
5.750000000000125e-11	0.9043868	0.018607968	0.42376992	391.60394	0	866691.06
5.800000000000127e-11	0.9030908	0.027542418	0.4259642	391.41705	0	866987.9
5.85000000000013e-11	0.90163696	0.036483195	0.42828694	391.23056	0	867284.06
5.900000000000132e-11	0.9000233	0.04542991	0.43073848	391.04443	0	867579.5
5.950000000000135e-11	0.8982477	0.054382086	0.4333192	390.85867	0	867874.2
6.000000000000137e-11	0.89630765	0.0633391	0.43602937	390.6733	0	868168.25
6.05000000000014e-11	0.8942009	0.072300225	0.43886942	390.48834	0	868461.56
6.100000000000142e-11	0.89192474	0.08126462	0.44183946	390.30374	0	868754.25
6.150000000000144e-11	0.88947654	0.09023129	0.4449398	390.1195	0	869046.2
6.200000000000147e-11	0.8868535	0.09919907	0.44817063	389.93564	0	869337.44
