# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1e+06
5e-13	0.20166573	0.012980862	0.9793663	300.34677	-2.1111338e+12	999542.7
1e-12	0.20448756	0.031221258	0.97836906	301.72855	-3.0843415e+12	997716.6
1.5499999999999999e-12	0.2076491	0.058692843	0.9764388	304.09714	-4.1810096e+12	994572.9
2.05e-12	0.21035808	0.091390625	0.9733411	308.19217	-5.4535085e+12	989097.25
2.55e-12	0.21263894	0.13196543	0.9681762	314.74982	-6.8445825e+12	980222.1
3.0499999999999997e-12	0.21423924	0.18031122	0.9599917	324.4759	-8.2659734e+12	966819.06
3.5499999999999996e-12	0.21501021	0.23558746	0.94776756	337.8356	-9.605437e+12	947945.8
4.05e-12	0.21498545	0.29618013	0.93061924	354.8297	-1.0740301e+13	923173.44
4.55e-12	0.21438588	0.35978392	0.90806764	374.84717	-1.1555582e+13	892911.2
5.05e-12	0.21352713	0.42361134	0.8803131	396.67838	-1.1963089e+13	858593.06
5.5499999999999996e-12	0.21267325	0.4847171	0.8484161	418.71902	-1.191711e+13	822578
6.0499999999999995e-12	0.21193412	0.5404008	0.81427294	439.31192	-1.1422856e+13	787706.3
6.549999999999999e-12	0.21127293	0.58860326	0.78031945	457.1082	-1.0535485e+13	756632.56
7.049999999999999e-12	0.2105957	0.6281708	0.7490249	471.3201	-9.349975e+12	731200.3
7.500000000000003e-12	0.20993927	0.65621716	0.72476953	481.7894	-7.984404e+12	712118.1
8.000000000000011e-12	0.20908399	0.6794095	0.7033291	488.8784	-6.560707e+12	699030.94
8.500000000000019e-12	0.20815039	0.6951845	0.68802315	493.25732	-5.187223e+12	690880.2
9.000000000000027e-12	0.20715654	0.7047229	0.67855304	495.68124	-3.9463478e+12	686346.5
9.500000000000035e-12	0.20610695	0.70921654	0.67417544	496.82605	-2.8888956e+12	684199.9
1.0000000000000043e-11	0.20499344	0.70975655	0.673945	497.208	-2.0349064e+12	683482.9
1.0500000000000051e-11	0.2038032	0.70728487	0.6768964	497.17395	-1.3792189e+12	683546.8
1.1000000000000059e-11	0.20252629	0.7025811	0.68215597	496.93198	-8.9949346e+11	684001.06
1.1500000000000067e-11	0.20115897	0.69626737	0.68899786	496.59485	-5.644675e+11	684633.6
1.2000000000000075e-11	0.19970381	0.6888208	0.69685906	496.21793	-3.4084428e+11	685340.6
1.2500000000000083e-11	0.19816788	0.68059343	0.70532775	495.82596	-1.980383e+11	686075.4
1.3000000000000091e-11	0.19656011	0.6718335	0.7141189	495.4291	-1.1071806e+11	686818.8
1.3500000000000099e-11	0.19488996	0.6627086	0.72304493	495.0312	-5.956126e+10	687563.9
1.4000000000000107e-11	0.1931659	0.6533265	0.7319881	494.6335	-3.0830842e+10	688308.06
1.4500000000000115e-11	0.19139537	0.64375424	0.74087787	494.2365	-1.5356172e+10	689050.56
1.500000000000011e-11	0.18958563	0.63403124	0.7496732	493.8007	-6.823297e+09	689865.2
1.55000000000001e-11	0.18774356	0.62418026	0.7583506	493.3264	-2.6705477e+09	690751.2
1.6000000000000093e-11	0.18587051	0.61421484	0.7668982	493.08966	-1.636336e+09	691193.2
1.6500000000000085e-11	0.18397097	0.6041426	0.77530843	492.6171	-5.893251e+08	692075.06
1.7000000000000077e-11	0.18205214	0.593968	0.7835764	492.14566	-2.0079598e+08	692954.2
1.750000000000007e-11	0.1801152	0.5836944	0.7916997	491.9104	-1.1479531e+08	693392.7
1.800000000000006e-11	0.17816447	0.5733246	0.7996759	491.4407	-3.5991556e+07	694267.7
1.8500000000000052e-11	0.17620692	0.5628606	0.8075025	490.97217	-1.067566e+07	695140
1.9000000000000044e-11	0.17424399	0.5523049	0.8151783	490.73834	-5.694569e+06	695575.1
1.9500000000000036e-11	0.17228	0.54165995	0.8227015	490.2715	-1.5542874e+06	696443.4
2.0000000000000028e-11	0.17032209	0.5309277	0.8300698	489.80585	-401346.44	697308.9
2.050000000000002e-11	0.1683718	0.5201108	0.83728224	489.57343	-199748.05	697740.6
2.100000000000001e-11	0.16643365	0.50921166	0.8443373	489.10947	-47462.105	698602.1
2.1500000000000003e-11	0.16451475	0.4982327	0.85123295	488.64664	-10669.132	699460.94
2.2049999999999994e-11	0.16242954	0.48606673	0.85863274	488.41565	-4954.379	699889.3
2.2549999999999986e-11	0.16055928	0.4749293	0.8651901	487.95453	-1024.8203	700744.1
2.3049999999999978e-11	0.15872213	0.4637202	0.87158376	487.4945	-200.55052	701596.25
2.354999999999997e-11	0.15692252	0.45244247	0.8778127	487.26492	-86.89223	702021.4
2.404999999999996e-11	0.15516002	0.4410996	0.88387626	486.8066	-15.647083	702869.56
2.4549999999999953e-11	0.15344408	0.42969412	0.8897727	486.34943	-2.665652	703715.1
2.5049999999999945e-11	0.15177909	0.41822898	0.8955012	486.12125	-1.0776001	704136.9
2.5549999999999937e-11	0.15016481	0.4067082	0.9010609	485.66574	-0.16892895	704978.5
2.604999999999993e-11	0.1486104	0.3951344	0.9064507	485.21133	-0.025053486	705817.5
2.654999999999992e-11	0.14712012	0.38351077	0.9116697	484.98453	-0.009449728	706236.06
2.7049999999999912e-11	0.14569394	0.37184164	0.9167176	484.5318	-0.0012896141	707071.2
2.7549999999999904e-11	0.1443406	0.3601299	0.9215931	484.08017	-0.0001665014	707903.7
2.8049999999999896e-11	0.14306416	0.34837902	0.926296	483.85477	-5.8595735e-05	708319
2.8549999999999888e-11	0.14186476	0.3365935	0.93082577	483.40482	-6.9614625e-06	709147.6
2.904999999999988e-11	0.14075062	0.32477647	0.93518203	482.95593	-7.824427e-07	709973.75
2.95499999999999e-11	0.13972276	0.3129322	0.9393642	482.58267	-1.2134346e-07	710660.25
3.0049999999999925e-11	0.1387868	0.3010644	0.94337237	482.21017	-1.8107407e-08	711345
3.054999999999995e-11	0.13794658	0.28917706	0.94720596	481.83844	-2.5999936e-09	712028
3.104999999999997e-11	0.13720587	0.2772743	0.95086485	481.46747	-3.592232e-10	712709.25
