# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
0	0	0	1	300	0	1e+06
5e-13	-0.19633758	0.0130026955	0.9804481	300.34677	-2.1111338e+12	999542.7
1e-12	-0.19339167	0.031393908	0.9806173	301.72855	-3.0843415e+12	997716.6
1.5499999999999999e-12	-0.18986219	0.059320934	0.98001516	304.09714	-4.1810096e+12	994572.9
2.05e-12	-0.18643329	0.09291308	0.9780625	308.19217	-5.4535085e+12	989097.25
2.55e-12	-0.18282577	0.13512504	0.97381353	314.74982	-6.8445825e+12	980222.1
3.0499999999999997e-12	-0.17900002	0.18619741	0.9660677	324.4759	-8.2659734e+12	966819.06
3.5499999999999996e-12	-0.17477915	0.24563953	0.95347327	337.8356	-9.605437e+12	947945.8
4.05e-12	-0.16982	0.3120822	0.93475336	354.8297	-1.0740301e+13	923173.44
4.55e-12	-0.16368389	0.3832354	0.90903056	374.84717	-1.1555582e+13	892911.2
5.05e-12	-0.15603124	0.4560214	0.87618333	396.67838	-1.1963089e+13	858593.06
5.5499999999999996e-12	-0.14687091	0.52694386	0.8371127	418.71902	-1.191711e+13	822578
6.0499999999999995e-12	-0.13670689	0.59267	0.793758	439.31192	-1.1422856e+13	787706.3
6.549999999999999e-12	-0.12645443	0.65065974	0.748765	457.1082	-1.0535485e+13	756632.56
7.049999999999999e-12	-0.11715478	0.6995804	0.70488256	471.3201	-9.349975e+12	731200.3
7.500000000000003e-12	-0.11028436	0.7357739	0.6681848	481.7894	-7.984404e+12	712118.1
8.000000000000011e-12	-0.10485472	0.76796764	0.6318444	488.8784	-6.560707e+12	699030.94
8.500000000000019e-12	-0.10183151	0.79302037	0.60062	493.25732	-5.187223e+12	690880.2
9.000000000000027e-12	-0.10107698	0.8123795	0.57429737	495.68124	-3.9463478e+12	686346.5
9.500000000000035e-12	-0.10228883	0.8273956	0.5522199	496.82605	-2.8888956e+12	684199.9
1.0000000000000043e-11	-0.10509998	0.8392093	0.5335484	497.208	-2.0349064e+12	683482.9
1.0500000000000051e-11	-0.10914462	0.8487236	0.5174423	497.17395	-1.3792189e+12	683546.8
1.1000000000000059e-11	-0.114095144	0.8566211	0.5031621	496.93198	-8.9949346e+11	684001.06
1.1500000000000067e-11	-0.11967906	0.8633976	0.4901116	496.59485	-5.644675e+11	684633.6
1.2000000000000075e-11	-0.12568265	0.86940026	0.47784233	496.21793	-3.4084428e+11	685340.6
1.2500000000000083e-11	-0.1319469	0.8748624	0.46603677	495.82596	-1.980383e+11	686075.4
1.3000000000000091e-11	-0.13835897	0.8799348	0.4544821	495.4291	-1.1071806e+11	686818.8
1.3500000000000099e-11	-0.14484219	0.8847111	0.4430434	495.0312	-5.956126e+10	687563.9
1.4000000000000107e-11	-0.1513464	0.8892469	0.43163946	494.6335	-3.0830842e+10	688308.06
1.4500000000000115e-11	-0.15783973	0.89357406	0.42022407	494.2365	-1.5356172e+10	689050.56
1.500000000000011e-11	-0.16430135	0.89771056	0.4087724	493.8007	-6.823297e+09	689865.2
1.55000000000001e-11	-0.1707175	0.90166634	0.3972721	493.3264	-2.6705477e+09	690751.2
1.6000000000000093e-11	-0.17708214	0.9054461	0.38571867	493.08966	-1.636336e+09	691193.2
1.6500000000000085e-11	-0.18338898	0.90905297	0.3741103	492.6171	-5.893251e+08	692075.06
1.7000000000000077e-11	-0.18963122	0.9124896	0.36244696	492.14566	-2.0079598e+08	692954.2
1.750000000000007e-11	-0.19580658	0.91575706	0.3507299	491.9104	-1.1479531e+08	693392.7
1.800000000000006e-11	-0.20191097	0.91885686	0.33896086	491.4407	-3.5991556e+07	694267.7
1.8500000000000052e-11	-0.20793892	0.9217908	0.32714075	490.97217	-1.067566e+07	695140
1.9000000000000044e-11	-0.21388848	0.92456	0.3152717	490.73834	-5.694569e+06	695575.1
